
[00:00:00.000 --> 00:00:01.360]  基隆祖妹平安
[00:00:01.360 --> 00:00:05.520]  有一年的聖誕節呢
[00:00:05.520 --> 00:00:09.840]  有一名記者走在東京的街道上面
[00:00:09.840 --> 00:00:12.200]  那麼跟美國一樣啊
[00:00:12.200 --> 00:00:16.520]  這個聖誕節為日本也帶來巨大的商機
[00:00:16.520 --> 00:00:20.840]  那麼這一名記者在人行道上面就
[00:00:20.840 --> 00:00:25.800]  攔住了一名剛從商場購物出來的一個年輕女孩
[00:00:26.300 --> 00:00:30.300]  就問她說:聖誕節是什麼樣的節日啊?
[00:00:30.300 --> 00:00:35.660]  那麼這個女孩回了一個大家笑不出來的答案
[00:00:35.660 --> 00:00:38.560]  她說:我不知道啊
[00:00:38.560 --> 00:00:41.600]  是不是耶穌去世的那一天?
[00:00:41.600 --> 00:00:46.240]  其實這個回答真的是讓人家哭笑不得,對不對?
[00:00:46.240 --> 00:00:49.440]  但是對很多人來說
[00:00:49.440 --> 00:00:53.760]  耶穌在他們的生命當中像是不存在一樣的
[00:00:54.860 --> 00:00:56.600]  對很多人來說
[00:00:56.600 --> 00:01:01.680]  耶穌不是他們聖誕節當中的一部分
[00:01:01.680 --> 00:01:06.920]  對很多人來說這個是一個吃喝玩樂的季節
[00:01:06.920 --> 00:01:09.240]  是一個購物的季節
[00:01:09.240 --> 00:01:10.880]  對商人來說
[00:01:10.880 --> 00:01:13.640]  兩千年前耶穌的降生
[00:01:13.640 --> 00:01:18.160]  只為他們帶來一個賺錢的機會而已
[00:01:18.160 --> 00:01:23.160]  很顯然的很多人弄錯了聖誕節的意義
[00:01:23.920 --> 00:01:25.920]  那麼弟兄姊妹對你來說
[00:01:25.920 --> 00:01:27.920]  聖誕節又是什麼樣的意義呢?
[00:01:27.920 --> 00:01:30.920]  當我在預備這一篇講到的時候呢
[00:01:30.920 --> 00:01:32.920]  我回到聖經去思考
[00:01:32.920 --> 00:01:35.920]  聖誕節的意義是什麼?
[00:01:35.920 --> 00:01:39.920]  而我發現聖誕節應該讓我們想起三件事情
[00:01:39.920 --> 00:01:42.920]  三件很重要的事情
[00:01:42.920 --> 00:01:45.920]  首先聖誕節應該讓我們想起
[00:01:45.920 --> 00:01:48.920]  我們身處在黑暗的世界
[00:01:48.920 --> 00:01:52.920]  跟你旁邊的說我們身處在黑暗的世界
[00:01:54.920 --> 00:01:59.920]  聖誕節的故事是從黑暗中開始的
[00:01:59.920 --> 00:02:02.920]  在耶穌降生的故事裡面
[00:02:02.920 --> 00:02:04.920]  我們經常忘記一名瘋子
[00:02:04.920 --> 00:02:09.920]  就是當時統治猶太地的這個大西旅王
[00:02:09.920 --> 00:02:14.920]  他的偏執、不安全感跟權力、慾望
[00:02:14.920 --> 00:02:16.920]  讓他成為另類的傳奇
[00:02:16.920 --> 00:02:20.920]  當他察覺彌賽亞的男靈
[00:02:20.920 --> 00:02:23.920]  他用難以置信的暴力來回應
[00:02:23.920 --> 00:02:29.920]  他下令殺死伯利恆四徑兩歲以下的嬰孩
[00:02:29.920 --> 00:02:35.920]  而伯利恆的四徑就帶來一片哀哭跟痛苦
[00:02:35.920 --> 00:02:43.920]  所以耶穌降生的時代是籠罩在黑暗、痛苦跟眼淚當中
[00:02:43.920 --> 00:02:49.920]  而今天其實那個黑暗也會侵入我們的生活
[00:02:49.920 --> 00:02:52.920]  並帶來痛苦的變化,不是嗎?
[00:02:52.920 --> 00:02:57.920]  在許多我們看見或者沒有看見的地方
[00:02:57.920 --> 00:03:03.920]  黑暗正在那些充滿淚水跟破碎的靈魂當中展示他的力量
[00:03:03.920 --> 00:03:10.920]  在戰火的當中、在自然災害當中、在新冠肺炎的恐懼當中
[00:03:10.920 --> 00:03:15.920]  在那些因著罪的邪惡而受傷的家庭當中
[00:03:16.920 --> 00:03:21.920]  黑暗好像透過混亂來炫耀他死亡的力量
[00:03:21.920 --> 00:03:25.920]  而這個只是我們外在所能夠感受到的黑暗
[00:03:25.920 --> 00:03:32.920]  比起外在的黑暗,其實人心靈的黑暗更普遍,不是嗎?
[00:03:32.920 --> 00:03:36.920]  保羅在哥林多後書四章三到四節說
[00:03:36.920 --> 00:03:41.920]  如果我們的福音蒙蔽就是蒙蔽在滅亡的人身上
[00:03:41.920 --> 00:03:49.920]  此等不幸之人被世界的神弄瞎了心眼,不叫基督榮耀福音的光照著他們
[00:03:49.920 --> 00:03:51.920]  基督本是神的相
[00:03:51.920 --> 00:03:59.920]  保羅說當人沒有基督福音的光照著他們,他們的心就一片黑暗
[00:03:59.920 --> 00:04:08.920]  看不清事情的真相,看不見前面的危險,看不懂魔鬼邪惡的意圖
[00:04:09.920 --> 00:04:12.920]  而我們都知道心靈的黑暗就帶來很多的問題
[00:04:12.920 --> 00:04:20.920]  孤獨、抑鬱、無助、被某些事物捆綁,或者不由自主的犯罪
[00:04:20.920 --> 00:04:27.920]  我聽到有個人提到他半夜在一條高速公路上面開車
[00:04:27.920 --> 00:04:31.920]  開著開著他就打開一顆巧克力的包裝
[00:04:31.920 --> 00:04:38.920]  然後心不在焉的吃了這個巧克力,然後搖下了這個車窗
[00:04:38.920 --> 00:04:40.920]  就把包裝紙往外一丟
[00:04:40.920 --> 00:04:43.920]  我不知道有多少人做過類似的事情
[00:04:43.920 --> 00:04:50.920]  但這個人分享說,當他把包裝紙丟出窗外的那一瞬間
[00:04:50.920 --> 00:04:54.920]  他才意識到說自己做了多麼糟糕的事情
[00:04:54.920 --> 00:05:00.920]  而且他還意識到說,他絕對不會在白天這麼做
[00:05:00.920 --> 00:05:07.920]  但黑暗好像就鼓勵他說,可以斷丟垃圾了
[00:05:07.920 --> 00:05:09.920]  這個是真的
[00:05:09.920 --> 00:05:14.920]  黑暗會誘導一個人去犯他在光明當中不會犯的罪
[00:05:14.920 --> 00:05:24.920]  心靈的黑暗不單會誘導犯罪,而且還會帶來欺騙
