
[00:00:00.000 --> 00:00:04.740]  靈姐妹你們好 很開心和你們分享上禮的說話
[00:00:04.740 --> 00:00:09.920]  今天會和大家分享《約翰一書》二章三至十七節
[00:00:09.920 --> 00:00:14.340]  我給它的主題是「商交的憑據」
[00:00:14.340 --> 00:00:18.280]  我不知道對你們來說 你們來到英國之後
[00:00:18.280 --> 00:00:24.360]  會不會發現往往都會有一個情況
[00:00:24.360 --> 00:00:30.160]  我們來英國的時候不是很認識我們身邊的人
[00:00:30.160 --> 00:00:35.500]  我不知道你們當中有沒有人是完全什麼人都不認識
[00:00:35.500 --> 00:00:36.960]  而來了英國
[00:00:36.960 --> 00:00:45.220]  我來了大概五年 其實當初決定選擇來英國
[00:00:45.220 --> 00:00:50.820]  不是因為有任何的朋友而來到這裡
[00:00:50.820 --> 00:00:55.960]  而是我先生看完Google之後就和我分享
[00:00:55.960 --> 00:01:00.400]  利斯這個地方它的道路建設都很好
[00:01:00.400 --> 00:01:06.740]  所以他就叫我看看教會各方面的配套
[00:01:06.740 --> 00:01:11.580]  會不會都可以讓我們來這裡居住
[00:01:11.580 --> 00:01:18.700]  所以我們最後就選擇在利斯這個地方落腳
[00:01:18.700 --> 00:01:21.260]  當初一個人都不認識
[00:01:21.260 --> 00:01:29.760]  但慢慢就認識到不同的朋友 不同的弟兄姊妹
[00:01:29.760 --> 00:01:36.060]  在過程裡面 有一些人可能只是認識名字
[00:01:36.060 --> 00:01:42.080]  而有一些人是會多一些的聯繫
[00:01:42.080 --> 00:01:46.020]  認識對方是一個怎樣的人 認識生命
[00:01:46.020 --> 00:01:50.760]  同樣地 其實認識上帝都是一樣的
[00:01:50.760 --> 00:01:54.340]  我們可以知道很多關於上帝的事
[00:01:54.340 --> 00:01:59.140]  回教會很多年 甚至是侍奉都很多年
[00:01:59.140 --> 00:02:06.880]  但是我們是不是真正知道我們這位主是怎樣呢?
[00:02:06.880 --> 00:02:11.180]  今天很想透過《約翰一書》二章三至十七節
[00:02:11.180 --> 00:02:16.260]  約翰給我們一個很直接的問題去挑戰我們
[00:02:16.260 --> 00:02:18.300]  我們說自己認識神
[00:02:18.300 --> 00:02:23.800]  我們的生命有沒有證明我們真正認識神呢?
[00:02:23.800 --> 00:02:28.640]  因為真正認識神不會只是停留在頭腦裡面
[00:02:28.640 --> 00:02:32.580]  而是會慢慢進入我們的生活當中
[00:02:32.580 --> 00:02:34.240]  求主去幫助我們
[00:02:34.240 --> 00:02:38.380]  今天我希望透過三方面去檢視我們
[00:02:38.380 --> 00:02:41.600]  是不是真正和上帝相交
[00:02:41.600 --> 00:02:46.500]  求上帝去幫助我們 讓我們一起祈禱
[00:02:46.500 --> 00:02:48.060]  天父上帝我們謝謝祢
[00:02:48.060 --> 00:02:52.020]  祢讓我們有一起敬拜祢的時間
[00:02:52.020 --> 00:02:56.260]  祢也讓我們有聖經學習的時間
[00:02:56.260 --> 00:02:58.980]  主我求祢 祢就透過這段經文
[00:02:58.980 --> 00:03:02.600]  讓我們更深的明白祢的心意
[00:03:02.600 --> 00:03:04.260]  更加的認識祢
[00:03:04.260 --> 00:03:09.320]  更加看見我們怎樣去同神主祢相交
[00:03:09.320 --> 00:03:12.420]  主我求祢 祢就去幫助我們每一位
[00:03:12.420 --> 00:03:15.920]  無論聽的、說的 我們都一同去學習
[00:03:15.920 --> 00:03:21.040]  一同去彼此鼓勵、彼此提醒
[00:03:21.040 --> 00:03:23.360]  我們求主去看顧引領
[00:03:23.360 --> 00:03:28.460]  我們將到禱告交托 奉主明求 阿門
[00:03:28.460 --> 00:03:33.920]  我們一起讀一下二章三至六節
[00:03:33.920 --> 00:03:38.840]  「我們若遵守他的誡命 就曉得是認識他
[00:03:38.840 --> 00:03:42.820]  人若說我認識他 卻不遵守他的誡命
[00:03:42.820 --> 00:03:47.860]  便是說謊話的 真理也不在他心裡了
[00:03:47.860 --> 00:03:52.380]  凡遵守主導的 愛上帝的心在他裡面
[00:03:52.380 --> 00:03:56.300]  實在是完全的 從此我們知道
[00:03:56.300 --> 00:03:59.140]  我們是在主裡面
[00:03:59.140 --> 00:04:01.840]  人若說他住在主裡面
[00:04:01.840 --> 00:04:08.060]  就該自己照主所行的去行」
[00:04:08.060 --> 00:04:12.980]  約翰在第三節一開始說
[00:04:12.980 --> 00:04:18.420]  「我們若遵守他的誡命 就曉得是認識他」
[00:04:18.420 --> 00:04:21.480]  你說自己是認識神
[00:04:21.480 --> 00:04:24.280]  我們有沒有證據呢?
[00:04:24.280 --> 00:04:28.400]  約翰這個問題不是憑空去說
[00:04:28.400 --> 00:04:32.660]  而是當我們看回約翰一書的寫作背景時
[00:04:32.660 --> 00:04:34.740]  我們就會明白更多
[00:04:34.740 --> 00:04:39.220]  當時教會裡面出現了一群頂姐妹
[00:04:39.220 --> 00:04:43.140]  但他們後來以一章十九節說
[00:04:43.140 --> 00:04:47.480]  「他們從我們中間出去 卻不是屬於我們」
[00:04:47.480 --> 00:04:51.440]  這群人原本是在返回這間教會
[00:04:51.440 --> 00:04:54.880]  但後來離開了教會
[00:04:54.880 --> 00:05:01.800]  學者認為這群人很可能是受早期諾斯底思想的影響
[00:05:01.800 --> 00:05:07.140]  他們強調自己擁有一種特別高深的屬靈知識
[00:05:07.140 --> 00:05:10.680]  甚至宣稱自己已經是認識神
[00:05:10.680 --> 00:05:16.680]  但生活方式與這個宣稱完全脫節
[00:05:16.680 --> 00:05:19.920]  覺得肉身怎麼做都不重要
[00:05:19.920 --> 00:05:22.360]  只要知道就夠了
[00:05:22.360 --> 00:05:26.820]  所以我們留意到約翰在第四節和第六節
[00:05:26.820 --> 00:05:31.780]  他都分別用「人若說」一些東西
[00:05:31.780 --> 00:05:34.960]  「卻」一些東西這個句式
[00:05:34.960 --> 00:05:40.520]  他這樣說其實是直接回應教會裡面這群人的主張
[00:05:40.520 --> 00:05:42.600]  約翰要拆穿的
[00:05:42.600 --> 00:05:48.400]  正正就是這種說一套做一套的假冒的屬靈觀
[00:05:48.400 --> 00:05:50.640]  當我們明白這個背景時
[00:05:50.640 --> 00:05:54.840]  我們就會明白約翰為什麼這麼緊張這麼直接
[00:05:54.840 --> 00:06:02.000]  甚至第四節他用「說謊話」這麼重的字眼
[00:06:02.000 --> 00:06:04.840]  因為他很想保護教會
[00:06:04.840 --> 00:06:10.000]  不要被這種知識化脫離生活的假信仰入侵
[00:06:10.000 --> 00:06:13.320]  這個提醒對我們今天都很貼心
[00:06:13.320 --> 00:06:16.720]  我們可能很會說屬靈的事情
[00:06:16.720 --> 00:06:21.720]  很會祈禱、上教會很多年、聖經知識很豐富
[00:06:21.720 --> 00:06:27.360]  但約翰問的是一個更根本的問題
[00:06:27.360 --> 00:06:33.920]  這些「知」有沒有變成在我們生活裡面的「行」出來呢?
[00:06:33.920 --> 00:06:39.160]  第三節他說「我們若遵守他的誡命
[00:06:39.160 --> 00:06:42.840]  就曉得是認識他」
[00:06:42.840 --> 00:06:50.040]  「認識」這個字原文不單單是知道一些關於神的資料
[00:06:50.040 --> 00:06:54.440]  而是一種真正的認識一段的關係
[00:06:54.440 --> 00:06:58.000]  所以約翰不是問你知不知道神是誰
[00:06:58.000 --> 00:07:01.560]  而是問你所說你認識神
[00:07:01.560 --> 00:07:05.960]  祂有沒有開始進入你的生命裡面
[00:07:05.960 --> 00:07:08.480]  而第四節更加的直接
[00:07:08.480 --> 00:07:13.440]  他說「人若說我認識他,卻不遵守他的誡命
[00:07:13.440 --> 00:07:18.480]  便是說謊話的,真理也不在他心裡」
[00:07:18.480 --> 00:07:21.400]  約翰不是說你一定要做到很完美
[00:07:21.400 --> 00:07:23.200]  上帝才會接納你
[00:07:23.200 --> 00:07:27.320]  他在說的是如果一個人真的認識上帝
[00:07:27.320 --> 00:07:33.000]  這份認識一定會慢慢產生一份的順從
[00:07:33.000 --> 00:07:35.680]  就好像一棵蘋果樹一樣
[00:07:35.680 --> 00:07:39.960]  不是因為結出了蘋果它才是蘋果樹
[00:07:39.960 --> 00:07:42.680]  而是它本身就是蘋果樹
[00:07:42.680 --> 00:07:47.640]  所以生命會慢慢結出相應的果子
[00:07:47.640 --> 00:07:51.440]  同樣地,如果上帝是我們的主
[00:07:51.440 --> 00:07:57.480]  我們的生命就會慢慢願意順從我們的上帝
[00:07:57.480 --> 00:08:00.720]  這份順從不單止是知道
[00:08:00.720 --> 00:08:04.120]  而是可以活出來
[00:08:04.120 --> 00:08:07.400]  第五節他說「凡遵守主導的
[00:08:07.400 --> 00:08:11.800]  愛上帝的心在他裡面實在是完全的」
[00:08:11.800 --> 00:08:16.360]  遵守這個字有持守、遵行的意思
[00:08:16.360 --> 00:08:21.960]  意思是上帝的話開始進入我們的生命裡面
[00:08:21.960 --> 00:08:26.600]  我們的生活會受上帝的話語影響
[00:08:26.600 --> 00:08:29.440]  我們可能認識很多聖經金句
[00:08:29.440 --> 00:08:32.200]  但真正我們要問自己的問題是
[00:08:32.200 --> 00:08:37.560]  上帝的話有沒有開始改變我們的選擇呢?
[00:08:37.560 --> 00:08:45.960]  而約翰也在這裡將遵行主導和愛上帝連在一起
[00:08:45.960 --> 00:08:50.600]  他暗示愛上帝不單止是一種感覺
[00:08:50.600 --> 00:08:54.600]  是會慢慢反映在我們的生活裡面
[00:08:54.600 --> 00:08:58.440]  因為當我們越認識上帝、越愛上帝
[00:08:58.440 --> 00:09:05.000]  就會越在意上帝喜悅我們怎樣去做
[00:09:05.000 --> 00:09:09.320]  第六節他說「人若說他住在主裡面
[00:09:09.320 --> 00:09:14.920]  就該自己照主所行的去行」
[00:09:14.920 --> 00:09:19.960]  約翰不是要求我們馬上變成一個很完美的人
[00:09:19.960 --> 00:09:23.320]  而是在問我們的生命方向
[00:09:23.320 --> 00:09:28.040]  是否開始跟著耶穌基督去行
