
[00:00:00.000 --> 00:00:05.000]  感謝神今天可以和大家分享神自己的話語
[00:00:05.000 --> 00:00:08.000]  今天要和大家分享的故事
[00:00:08.000 --> 00:00:11.000]  我相信對大家不陌生
[00:00:11.000 --> 00:00:14.000]  亞伯拉罕獻以煞的故事
[00:00:14.000 --> 00:00:17.000]  記載在創世紀第二十二章
[00:00:17.000 --> 00:00:20.000]  這個故事記錄了亞伯拉罕
[00:00:20.000 --> 00:00:24.000]  他信心的旅程裏面的最高峰
[00:00:24.000 --> 00:00:26.000]  他對神的信心
[00:00:26.000 --> 00:00:30.000]  表現在他信服和絕對信服
[00:00:30.000 --> 00:00:32.000]  在神自己的旨意裏面
[00:00:32.000 --> 00:00:35.000]  神在他的心裏面是居守衛的
[00:00:35.000 --> 00:00:37.000]  沒有任何的事物
[00:00:37.000 --> 00:00:39.000]  甚至他的獨生子
[00:00:39.000 --> 00:00:42.000]  可以和神相比
[00:00:42.000 --> 00:00:43.000]  我感謝神
[00:00:43.000 --> 00:00:47.000]  因為聖經不是單單一堆的真理
[00:00:47.000 --> 00:00:49.000]  有很多的道理
[00:00:49.000 --> 00:00:51.000]  聖經很多時給我們看到
[00:00:51.000 --> 00:00:54.000]  這些真實的人的生命
[00:00:54.000 --> 00:00:57.000]  讓我們在他們的生命裏面
[00:00:57.000 --> 00:01:01.000]  可以明白一些很抽象的概念
[00:01:01.000 --> 00:01:04.000]  其實信心真的很抽象
[00:01:04.000 --> 00:01:07.000]  我們有多少信心呢
[00:01:07.000 --> 00:01:12.000]  但是我們時時對這個故事有點怕
[00:01:12.000 --> 00:01:14.000]  你怕不怕這個故事
[00:01:14.000 --> 00:01:17.000]  我記得我小時候在教會成長的時候
[00:01:17.000 --> 00:01:20.000]  每一次牧師講這個故事的時候
[00:01:20.000 --> 00:01:22.000]  我們都害怕
[00:01:22.000 --> 00:01:24.000]  害怕什麼呢
[00:01:24.000 --> 00:01:26.000]  就是害怕神要我們
