
[00:00:00.000 --> 00:00:01.440]  各位電影主媒《平安》
[00:00:01.440 --> 00:00:03.040]  在2023年
[00:00:03.040 --> 00:00:06.360]  我每一個星期會拍三條短片
[00:00:06.360 --> 00:00:11.000]  每逢星期三就拍《舊約仍然在說話》
[00:00:11.000 --> 00:00:12.360]  原來在《舊約聖經》
[00:00:12.360 --> 00:00:19.120]  我們很多時候對一些回眸、聖殿、獻祭、節祈
[00:00:19.120 --> 00:00:21.560]  或者在《舊約》裡面的一些物品
[00:00:21.560 --> 00:00:23.160]  我們都覺得很神秘
[00:00:23.160 --> 00:00:24.760]  不知道為什麼
[00:00:24.760 --> 00:00:27.200]  原來在《舊約》裡面
[00:00:27.200 --> 00:00:33.240]  好像是一個先導
[00:00:33.240 --> 00:00:37.440]  讓我們透過《舊約》的一些物品節祈
[00:00:37.440 --> 00:00:40.840]  其實是更多去認識新約
[00:00:40.840 --> 00:00:43.080]  原來有了新約之後
[00:00:43.080 --> 00:00:45.440]  《舊約》這些物品節祈
[00:00:45.440 --> 00:00:46.680]  各樣的獻祭
[00:00:46.680 --> 00:00:49.640]  就好像發出亮光一樣
[00:00:49.640 --> 00:00:51.960]  今天第一天我要講的
[00:00:51.960 --> 00:00:54.480]  就有關藥櫃
[00:00:54.480 --> 00:00:57.680]  在我手上有一件紀念品
[00:00:57.680 --> 00:01:00.320]  製作得很精美的
[00:01:00.320 --> 00:01:04.360]  是道金的
[00:01:04.360 --> 00:01:07.800]  下面這個就叫做藥櫃
[00:01:07.800 --> 00:01:12.280]  有兩條鋼是可以給人抬的
[00:01:12.280 --> 00:01:16.800]  上面這個就叫做絲印狀
[00:01:16.800 --> 00:01:19.120]  有兩個肌肉柏
[00:01:19.120 --> 00:01:22.240]  是張開了他們的翅膀
[00:01:22.240 --> 00:01:24.560]  面對面的
[00:01:24.560 --> 00:01:29.160]  所以放在繪墨的致聖鎖裡面
[00:01:29.160 --> 00:01:32.320]  就有這兩件物品
[00:01:32.320 --> 00:01:33.640]  就是藥櫃
[00:01:33.640 --> 00:01:37.560]  以及它上面的絲印狀
[00:01:37.560 --> 00:01:42.480]  首先我們講一講藥櫃的建造
[00:01:42.480 --> 00:01:46.200]  原來一切都要照摩西
[00:01:46.200 --> 00:01:48.840]  當它上了西奶山之後
[00:01:48.840 --> 00:01:53.880]  在山上神指示它的樣式
[00:01:53.880 --> 00:01:56.440]  譬如說這個藥櫃
[00:01:56.440 --> 00:01:59.720]  是要用醋甲木做的
[00:01:59.720 --> 00:02:04.080]  醋甲木其實是當時一種很普通
[00:02:04.080 --> 00:02:06.440]  很不起眼的木材
[00:02:06.440 --> 00:02:09.840]  而且價錢是很經濟的
[00:02:09.840 --> 00:02:12.200]  就是不貴的木材
[00:02:12.200 --> 00:02:14.680]  但是最特別的地方
[00:02:14.680 --> 00:02:20.800]  就在醋甲木外面包而製金
[00:02:20.800 --> 00:02:24.000]  這個有一個很重要的代表性
[00:02:24.000 --> 00:02:27.200]  我們都是軟弱的
[00:02:27.200 --> 00:02:30.600]  我們都是好像一個瓦器一樣
[00:02:30.600 --> 00:02:32.280]  但是最寶貴
[00:02:32.280 --> 00:02:33.800]  最貴重的
[00:02:33.800 --> 00:02:37.480]  就是神將我們分別出來
[00:02:37.480 --> 00:02:41.120]  分別成為聖結
[00:02:41.120 --> 00:02:42.960]  所以這個藥櫃
[00:02:42.960 --> 00:02:46.040]  是用一種很普通的木材
[00:02:46.040 --> 00:02:49.880]  但是卻包而製金
[00:02:49.880 --> 00:02:54.320]  然後藥櫃上面放有一個絲印狀
[00:02:54.320 --> 00:02:57.720]  絲印狀好像一個寶座一樣
