
[00:00:00.000 --> 00:00:03.000]  第一節目早晨,主佬平安
[00:00:03.000 --> 00:00:09.000]  今日是敬老主日,我今早都講錯了,我今早都講了長者主日
[00:00:09.000 --> 00:00:16.000]  今日是敬老主日,所以特別在聖經裏面有一個長者
[00:00:16.000 --> 00:00:23.000]  這個長者由年輕到年老,其實他都保持對神的熱情
[00:00:23.000 --> 00:00:29.000]  即使去到85歲,他仍然是寶刀未老,這個人就叫做迦勒
[00:00:29.000 --> 00:00:34.000]  其實在文素記十四章二十四節,就這樣對他的評語和應許
[00:00:34.000 --> 00:00:41.000]  唯獨我的僕人迦勒,因心另有一個心志,專心跟從我
[00:00:41.000 --> 00:00:48.000]  我要領他進入他所去過的那地,他的後裔必得那地為業
[00:00:48.000 --> 00:00:52.000]  在這裏神去稱讚迦勒,他另外有一個心志
[00:00:52.000 --> 00:00:57.000]  這個心志是與眾不同的,其他人都未必有
[00:00:57.000 --> 00:01:01.000]  這個心志就是專一的去跟從神的心志
[00:01:01.000 --> 00:01:09.000]  所以神就應許要領他進入迦勒的地方,並且將那個地方給他的後裔為業
[00:01:09.000 --> 00:01:15.000]  現在讓我們去看一些經文,今日都會較為多一些經文
[00:01:15.000 --> 00:01:21.000]  不過我們都是看螢幕,亦都可能會讀多一些,希望大家可以忍耐
[00:01:21.000 --> 00:01:27.000]  今日我選讀的經文是約書亞記十四章第六節至十五節
[00:01:27.000 --> 00:01:34.000]  我用了和合本的修訂版,和大家平時看的和合本有少許不同
[00:01:34.000 --> 00:01:37.000]  我讀雙節數,大家讀單節數
[00:01:37.000 --> 00:01:54.000]  「由大人來到吉格約書亞那裏,基利洗俗耶夫尼的兒子迦勒對約書亞說:若話在迦底斯巴尼亞指著我和你對神人摩西所說的話,你都知道」
[00:02:07.000 --> 00:02:16.000]  「雖然同我上去的眾弟兄使百姓膽戰心驚,我仍然專心跟從耶和華我的神」
[00:02:29.000 --> 00:02:45.000]  「現在看啊,耶和華照他所說的使我活了這四十五年,當以色列人在曠野漂流的時候,耶和華曾對摩西說了這話:現在看啊,我已經八十五歲了」
[00:02:58.000 --> 00:03:14.000]  「請你將耶和華那日所說的這山區給我,那日你也曾聽說這裏有亞納族人,以及寬大堅固的城,或許耶和華會照他所說的與我同在,我就把他們趕出去」
[00:03:21.000 --> 00:03:31.000]  「所以希伯倫成了基里洗族耶夫尼的兒子迦勒的產業,直到今日,因為他專心跟從耶和華以色列的神」
[00:03:42.000 --> 00:04:11.000]  「約書亞為以色列分地總共有兩次,一次是約書亞記第十四章至十七章,地方在吉格,即是我們剛才讀的經文,分給猶大、以法連和馬來西的半個支派,另一次在士羅,是約書亞記第十八章至二十一章,就是分地給剩下的其他支派,在這段經文的背景,我們看見約書亞已經帶著以色列人進入加南地,已經在那裏征戰了五年多的時間」
[00:04:12.000 --> 00:04:39.000]  「我們可以看前一點,第十四章一到五節,就會發現當時約書亞和其他支派正正在吉格的地方,是想跟大家說說怎樣去分配那些土地,在十四章第六節,就突然出現了一個人物,就是迦勒,在約書亞記的第一章至十四章的第五節,都從來沒有出現過迦勒這個名字」
[00:04:39.000 --> 00:04:42.000]  「為甚麼這個人會突然走出來呢?」
[00:04:42.000 --> 00:05:08.000]  「但如果我們了解歷史的時候,其實早在四十五年前,在文素記十三章第六節,他已經出現過了,當時摩西帶領以色列人出埃及過紅海,在海裏神讓以色列人經歷了海中行走乾地的神跡,在這個神跡裏面,神擊殺了當時埃及的法老軍兵,這件事震驚了當時的國際」
[00:05:08.000 --> 00:05:27.000]  「當然當時的國際不是我們現在所知的整個地球圈,而是他們在巴勒斯坦一帶的地方,在出埃及記十五章第十五節,就是摩西之歌,當他們過了紅海之後,摩西就用一首詩歌去講述當中一些的片段」
[00:05:27.000 --> 00:05:40.000]  「驚駭恐懼臨到他們,耶和華因你傍臂的大能,他們如石頭,寂靜不動,等候你所屬的百姓過去」
[00:05:40.000 --> 00:05:46.000]  「所有巴勒斯坦的地區和西內半島地區的鄰近國家都知道這件事情」
[00:05:46.000 --> 00:06:03.000]  「哇,這群人很厲害」「以色列人經歷了這麼大的神蹟之後,就進入了西內半島的曠野,在西內山的地方,神就給了他們一本律例典章,特別有十節」
[00:06:03.000 --> 00:06:17.000]  「以色列人這樣進入了曠野,然後就在北端的加底斯巴利亞,剛剛讀的經文裡面有提及的地方,面對近在咫尺的迦南地,要準備進入神要賜給以色列人的應許之地」
[00:06:17.000 --> 00:06:31.000]  「但為了去了解一下那個地方是怎樣的時候,當時摩西就要十二個支派,各派一個勇士,進入迦南去窺探,究竟什麼人才有資格做探子呢?」
[00:06:31.000 --> 00:06:40.000]  「原來不是一般人可以做的,是要每一族裡面最厲害最好的那個」
[00:06:40.000 --> 00:06:48.000]  「按照文數記十三章,他們都要自己所屬的支派裡面去找一個領袖,這個領袖是最傑出的男人」
[00:06:48.000 --> 00:06:58.000]  「當時迦勒和約書亞就是當時年輕一輩的領袖,約書亞就代表以法連支派,迦勒就代表猶大支派」
[00:06:58.000 --> 00:07:04.000]  「因為今天我們的經文主要是看迦勒,所以我們就看一下迦勒的猶大支派是怎樣呢?」
[00:07:04.000 --> 00:07:17.000]  「當時猶大支派男兵總共都有七萬多人,你想一下在七萬多人裡面選中出來的那個領袖,他一定有他個人之處,迦勒就是這樣」
[00:07:17.000 --> 00:07:27.000]  「當時迦勒出來做探子只是四十歲,對於現代人來說四十歲已經叫做中年,甚至有些人告訴我他想四十歲退休」
[00:07:27.000 --> 00:07:34.000]  「但原來在當時的社會,四十歲才是成熟的青年期」
[00:07:34.000 --> 00:07:39.000]  「換句話來說,迦勒也是一個傑出的年輕領袖」
[00:07:39.000 --> 00:07:47.000]  「如是者,四十天之後,這十二個探子就回來了,他們十二個人一致看到兩件事」
[00:07:47.000 --> 00:08:04.000]  「他們一致的看法就是,哇,那裡真的是流瀨與物之地,他們帶回來的葡萄,你看不看到裡面有很多人,但是只有那一串葡萄,多少人才可以擔起」
[00:08:04.000 --> 00:08:15.000]  「兩個,不是我們平時在街市買的那兩串葡萄,是很多很大,代表那個地方的土地是非常肥沃的」
[00:08:15.000 --> 00:08:29.000]  「但是他們同樣帶來另一個消息,就是住在那裡的百姓非常強壯,是大巨人的後裔,他們的城一建築非常堅固和寬大」
[00:08:29.000 --> 00:08:37.000]  「大家看不看到,零零碎碎有一個高頭大馬,其他的頭頭就是探子」
[00:08:37.000 --> 00:08:45.000]  「這十二個探子中有十個人,他們就用了很消極的說話去恐嚇當時的以色列百姓」
[00:08:45.000 --> 00:08:59.000]  「我們看到他們是巨人來的,我看到自己就好像小蚱蜢一樣,進去之後我們的妻兒子女一定會被他們打死的,因為我們根本都不夠他們打的」
[00:08:59.000 --> 00:09:10.000]  「這番說話令到當時的百姓聽了很害怕,甚至在那裡哭號,最後去到摩西的面前去鎮壓,說什麼呢?」
[00:09:10.000 --> 00:09:14.000]  「我們還是不進去迦南地了,我們回去埃及了」
[00:09:14.000 --> 00:09:23.000]  「在這個混亂之際還有兩個,迦勒和約書亞兩個人就跳了出來,極力的安慰和鼓勵那些百姓」
[00:09:23.000 --> 00:09:34.000]  「他說神要給我們的那個地真是一個很好的地方,神如果幫助我們,必定會帶我們進去,將這個地賜給我們」
[00:09:34.000 --> 00:09:38.000]  「其實那個地方的人其實是我們的食物來的」
[00:09:38.000 --> 00:09:41.000]  「兩個很不同的調子」
[00:09:41.000 --> 00:09:50.000]  「這個就是迦勒和約書亞在面對反對聲音的裡面,仍然很勇敢的站在神的那一邊,勸那班百姓要對神有信心」
[00:09:50.000 --> 00:09:55.000]  「很可惜,我們知道這班情緒激動的百姓根本聽不進去」
[00:09:55.000 --> 00:09:59.000]  「聖經說他們想找石頭打死他們兩個」
[00:09:59.000 --> 00:10:03.000]  「弟子妹,你看到這班百姓,他們怎麼來的?」
[00:10:03.000 --> 00:10:09.000]  「其實就是昔日他們在埃及受苦,神聽了他們的禱告,帶領他們出埃及」
[00:10:09.000 --> 00:10:15.000]  「還是要花了十災,十個神跡去帶領他們出來」
[00:10:15.000 --> 00:10:20.000]  「在曠野裡面,神去賜馬拿給他們做食物」
