
[00:00:00.000 --> 00:00:05.000]  我們繼續去看傳道書
[00:00:05.000 --> 00:00:09.000]  上星期說傳道書第四章
[00:00:09.000 --> 00:00:11.000]  今天我們說第五章
[00:00:11.000 --> 00:00:13.000]  第五章我覺得篇幅太長
[00:00:13.000 --> 00:00:15.000]  因為我趕不上時間
[00:00:15.000 --> 00:00:17.000]  所以說下半部分
[00:00:17.000 --> 00:00:19.000]  主要說金錢的部分
[00:00:19.000 --> 00:00:21.000]  在金錢的部分
[00:00:21.000 --> 00:00:24.000]  最近我看了一些新聞
[00:00:24.000 --> 00:00:28.000]  在WhatsApp group突然看了一張圖畫
[00:00:28.000 --> 00:00:32.000]  其實當中有些感想
[00:00:32.000 --> 00:00:33.000]  給大家看看
[00:00:33.000 --> 00:00:36.000]  裡面有一幅這樣的圖畫
[00:00:36.000 --> 00:00:38.000]  當有些名字我蓋著
[00:00:38.000 --> 00:00:39.000]  免得幫他賣廣告
[00:00:39.000 --> 00:00:41.000]  他說自助餐買一送一
[00:00:41.000 --> 00:00:44.000]  記得輸入優惠碼
[00:00:44.000 --> 00:00:46.000]  結帳不用八萬元
[00:00:46.000 --> 00:00:48.000]  我看完又不太明白
[00:00:48.000 --> 00:00:49.000]  什麼八萬元
[00:00:49.000 --> 00:00:51.000]  結帳八萬元的自助餐
[00:00:51.000 --> 00:00:52.000]  哪裡有
[00:00:52.000 --> 00:00:54.000]  原來發生什麼事
[00:00:54.000 --> 00:00:56.000]  我澄清一下
[00:00:56.000 --> 00:00:58.000]  我不是很跟得上這些新聞
[00:00:58.000 --> 00:00:59.000]  不是今天播出就看
[00:00:59.000 --> 00:01:01.000]  有時候要延遲幾天
[00:01:01.000 --> 00:01:02.000]  原來發生什麼事
[00:01:02.000 --> 00:01:04.000]  我想大家比我更清楚
[00:01:04.000 --> 00:01:06.000]  原來最近香港有很多事情發生
[00:01:06.000 --> 00:01:08.000]  讓我們很震驚
[00:01:08.000 --> 00:01:10.000]  或者讓我們對社會
[00:01:10.000 --> 00:01:13.000]  或者對人性的一個理解
[00:01:13.000 --> 00:01:15.000]  超乎我們的想像
[00:01:15.000 --> 00:01:17.000]  可能至少超乎我的想像
[00:01:17.000 --> 00:01:19.000]  原來有人發生什麼事
[00:01:19.000 --> 00:01:20.000]  吃了一頓飯
[00:01:20.000 --> 00:01:22.000]  在某一間酒店裡面
[00:01:22.000 --> 00:01:24.000]  你看到銀碼多少
[00:01:24.000 --> 00:01:26.000]  八萬四千多
[00:01:26.000 --> 00:01:28.000]  真是八萬四千多
[00:01:28.000 --> 00:01:30.000]  你用八萬四千多來做什麼
[00:01:30.000 --> 00:01:31.000]  一般來說
[00:01:31.000 --> 00:01:32.000]  很誇張
[00:01:32.000 --> 00:01:34.000]  你仔細看的時候
