
[00:00:00.000 --> 00:00:01.540]  好 那麼
[00:00:01.540 --> 00:00:06.840]  2021年過去了
[00:00:06.840 --> 00:00:09.700]  當你想到2021年的時候
[00:00:09.700 --> 00:00:11.200]  大概一個什麼印象
[00:00:11.200 --> 00:00:14.340]  可能很多人2021年
[00:00:14.340 --> 00:00:17.600]  大概 特別我們這連長的弟兄姊妹
[00:00:17.600 --> 00:00:22.140]  可能看到的多數都是自己的家的天花板
[00:00:22.140 --> 00:00:26.240]  多數都是自己這個家裡面的情形
[00:00:26.240 --> 00:00:28.940]  甚至很少有機會出去
[00:00:28.940 --> 00:00:30.640]  也許我們當中有些弟兄姊妹們
[00:00:30.640 --> 00:00:33.240]  想起這個2021年的時候
[00:00:33.240 --> 00:00:35.440]  我不知道有多少人想起2021年的時候
[00:00:35.440 --> 00:00:39.340]  哎呀 這是我一生當中最值得紀念的一年
[00:00:39.340 --> 00:00:40.700]  最值得回憶的一年
[00:00:40.700 --> 00:00:42.300]  有沒有這樣 弟兄姊妹
[00:00:42.300 --> 00:00:44.040]  感謝讚美組
[00:00:44.040 --> 00:00:49.140]  會後訪問一下他 Helen
[00:00:49.140 --> 00:00:49.740]  親愛的弟兄姊妹
[00:00:49.740 --> 00:00:52.400]  2021年我想對很多人來講
[00:00:52.400 --> 00:00:54.700]  可以說是失望的一年
[00:00:56.500 --> 00:01:00.300]  那麼當這個2021年要結束的時候呢
[00:01:00.300 --> 00:01:01.400]  大家心想說
[00:01:01.400 --> 00:01:05.640]  因為我還記得拜登總統他一上任的時候
[00:01:05.640 --> 00:01:07.200]  他曾經說過
[00:01:07.200 --> 00:01:09.940]  他說2021年的7月
[00:01:09.940 --> 00:01:12.700]  我們就可以恢復正常生活
[00:01:12.700 --> 00:01:15.040]  因為那時候全民都打了針了
[00:01:15.040 --> 00:01:17.200]  有沒有 還記不記得
[00:01:17.200 --> 00:01:18.700]  還記得嗎
[00:01:18.700 --> 00:01:24.400]  結果現在2021年都過去了
[00:01:24.400 --> 00:01:28.160]  全民還是沒有多打針
[00:01:28.160 --> 00:01:29.460]  但是呢
[00:01:29.460 --> 00:01:31.600]  沒有想到
[00:01:31.600 --> 00:01:34.060]  就在這樣子的一個情況之下
[00:01:34.060 --> 00:01:37.400]  又來了一個什麼
[00:01:37.400 --> 00:01:40.260]  Omicron
[00:01:40.260 --> 00:01:45.300]  有人把它翻成Omicron
[00:01:45.300 --> 00:01:47.360]  控制的控
[00:01:47.360 --> 00:01:49.100]  又來了一個病毒
[00:01:49.100 --> 00:01:51.340]  這個病毒一來呢
[00:01:51.340 --> 00:01:55.060]  那麼2022年
[00:01:55.060 --> 00:01:57.040]  又有一個希望
[00:01:57.040 --> 00:01:58.760]  我們的這個
[00:01:58.760 --> 00:02:01.600]  這個我們國家的最高的
[00:02:01.600 --> 00:02:04.660]  這個衛生的這個首長
[00:02:04.660 --> 00:02:07.060]  佛奇說
[00:02:07.060 --> 00:02:10.660]  到2022年7月 又是7月
[00:02:10.660 --> 00:02:13.760]  到2022年7月
[00:02:13.760 --> 00:02:18.900]  我們要恢復正常生活
[00:02:18.900 --> 00:02:21.760]  你盼望嗎
[00:02:21.760 --> 00:02:24.260]  盼不盼望
[00:02:24.260 --> 00:02:27.900]  但是你要知道他說的是什麼樣一個條件之下
[00:02:27.900 --> 00:02:30.000]  他說在那個時候
[00:02:30.000 --> 00:02:33.660]  大概除了已經打了疫苗的
[00:02:33.660 --> 00:02:36.200]  這些美國人之外
[00:02:36.200 --> 00:02:38.800]  大概全美國
[00:02:38.800 --> 00:02:41.260]  很多的人
[00:02:41.260 --> 00:02:44.940]  都會 他甚至說超過一半的人
[00:02:44.940 --> 00:02:51.340]  都會得到這個Omicron
[00:02:51.340 --> 00:02:52.340]  換句話說
[00:02:52.340 --> 00:02:54.400]  那個意思就是說
[00:02:54.400 --> 00:02:57.300]  打了疫苗的加上染了疫的
[00:02:57.300 --> 00:03:01.540]  加起來就全民免疫了
[00:03:01.540 --> 00:03:05.300]  你期待這樣子的一個情形發生嗎
[00:03:05.300 --> 00:03:07.600]  你期待這樣的一個情形發生嗎
[00:03:07.600 --> 00:03:08.840]  那個意思就是說
[00:03:08.840 --> 00:03:12.160]  可能有30%美國沒有打疫苗的人
[00:03:12.160 --> 00:03:15.360]  他們也會得到這個病毒
[00:03:15.360 --> 00:03:17.100]  得了這個病毒的時候
[00:03:17.100 --> 00:03:19.840]  也有可能這個病毒就帶來了一些
[00:03:19.840 --> 00:03:21.140]  我們不希望看見的事情
[00:03:21.140 --> 00:03:23.040]  你懂這些事嗎
[00:03:23.040 --> 00:03:27.240]  這是要付上很大的代價的
[00:03:27.240 --> 00:03:28.660]  親愛的兄弟妹妹
[00:03:28.660 --> 00:03:31.260]  當我們聽了這些消息的時候
[00:03:31.260 --> 00:03:36.900]  請問2022年有盼望嗎
[00:03:36.900 --> 00:03:42.760]  今年我們教會的主題是什麼
[00:03:42.760 --> 00:03:44.800]  前面
[00:03:44.800 --> 00:03:47.860]  我們的主題是什麼 大家知道嗎
[00:03:47.860 --> 00:03:49.260]  來 我們一起來練練看
[00:03:49.260 --> 00:03:50.600]  這一句的主題好不好
[00:03:50.600 --> 00:03:52.100]  來 預備 請
[00:03:52.100 --> 00:03:54.500]  因性大有盼望
[00:03:54.500 --> 00:04:02.060]  跟你旁邊說 因性大有盼望
[00:04:02.060 --> 00:04:06.300]  羅寶書15章13節
[00:04:06.300 --> 00:04:08.800]  請你看一下你的聖經 好嗎
[00:04:08.800 --> 00:04:10.600]  我沒有列在這個地方
[00:04:10.600 --> 00:04:11.840]  因性大有盼望
