
[00:00:00.000 --> 00:00:02.060]  鳳子明問候鼎姊妹平安
[00:00:02.060 --> 00:00:04.060]  鳳姐問候鼎姊妹平安
[00:00:04.060 --> 00:00:07.360]  今天很多電影劇集
[00:00:07.360 --> 00:00:09.700]  今天很多電影劇集
[00:00:09.700 --> 00:00:11.420]  多數講一個悲劇的
[00:00:11.420 --> 00:00:13.060]  多數是講悲劇
[00:00:13.060 --> 00:00:14.420]  裡面的人亂七八糟
[00:00:14.420 --> 00:00:16.420]  所以說一切都爛了套
[00:00:16.420 --> 00:00:17.900]  但到最後呢
[00:00:17.900 --> 00:00:18.860]  到最後呢
[00:00:18.860 --> 00:00:22.060]  總是要帶團員來到現場的
[00:00:22.060 --> 00:00:24.060]  所以說是要以大團圓來結束
[00:00:24.060 --> 00:00:25.760]  因為我知道香港的劇集呢
[00:00:25.760 --> 00:00:28.260]  如果不是這樣完場呢
[00:00:28.260 --> 00:00:30.500]  收視率低
[00:00:30.500 --> 00:00:32.000]  收視率就會不低
[00:00:32.000 --> 00:00:36.000]  就是說人的心是很希望有完美的收場
[00:00:36.000 --> 00:00:38.460]  就是人希望有完美的收場
[00:00:38.460 --> 00:00:40.760]  其實我們上帝知道我們這個心態
[00:00:40.760 --> 00:00:43.000]  但是上帝知道我們這個心意
[00:00:43.000 --> 00:00:45.260]  在《耶利米蘇》
[00:00:45.260 --> 00:00:46.260]  在《耶利米蘇》
[00:00:46.260 --> 00:00:48.260]  上帝和耶利米說話
[00:00:48.260 --> 00:00:50.260]  上帝和耶利米蘇說話
[00:00:50.260 --> 00:00:51.500]  就露出這個樣子
[00:00:51.500 --> 00:00:52.500]  就說了這一點
[00:00:52.500 --> 00:00:55.260]  所以我們說劇集是在聖經裡面學的
[00:00:55.260 --> 00:00:57.760]  劇集是在聖經裡面學的
[00:00:57.760 --> 00:00:58.760]  還有
[00:00:58.760 --> 00:01:04.260]  《耶利米蘇》第三章還提到離婚的問題
[00:01:04.260 --> 00:01:08.260]  《耶利米蘇》第三章講到離婚的問題
[00:01:08.260 --> 00:01:09.760]  大家知道一個家庭
[00:01:09.760 --> 00:01:13.000]  最悲哀的就是家庭婚姻破裂
[00:01:13.000 --> 00:01:16.000]  就是家庭最悲劇的問題就是婚姻破裂
[00:01:16.000 --> 00:01:19.760]  子女也都是受苦的
[00:01:19.760 --> 00:01:21.000]  子女也受苦
[00:01:21.000 --> 00:01:23.500]  人是沒有辦法來到圓場的
[00:01:23.500 --> 00:01:25.500]  人是沒有辦法圓場的
[00:01:25.500 --> 00:01:28.260]  但是在《耶利米蘇》第三章
[00:01:28.260 --> 00:01:31.760]  但是在《耶利米蘇》第三章
[00:01:31.760 --> 00:01:33.760]  這一個離婚的主題
[00:01:33.760 --> 00:01:35.500]  但是這個離婚的主題
[00:01:35.500 --> 00:01:36.760]  是prevailing的
[00:01:36.760 --> 00:01:38.260]  一直在流行的
[00:01:38.260 --> 00:01:39.760]  就一直在流行
[00:01:39.760 --> 00:01:41.760]  到最後的時候呢
[00:01:41.760 --> 00:01:43.260]  但是在結尾的時候呢
[00:01:43.260 --> 00:01:44.260]  可以復合
[00:01:44.260 --> 00:01:45.260]  可以復合
[00:01:45.260 --> 00:01:46.500]  這是一個miracle
[00:01:46.500 --> 00:01:47.760]  這是一個神蹟
[00:01:47.760 --> 00:01:49.260]  你見到我的題目嗎
[00:01:49.260 --> 00:01:52.260]  你有沒有看到我的題目
[00:01:52.260 --> 00:01:55.760]  在這章的第三章 上帝叫猶大悔改
[00:01:55.760 --> 00:01:58.260]  上帝呼喚猶大悔改
[00:01:58.260 --> 00:02:00.260]  而且上帝是繼續透露
[00:02:00.260 --> 00:02:01.760]  以色列
[00:02:01.760 --> 00:02:03.760]  上帝透露以色列
[00:02:03.760 --> 00:02:05.760]  亡國的以色列
[00:02:05.760 --> 00:02:07.260]  亡國的以色列
[00:02:07.260 --> 00:02:08.760]  會歸回
[00:02:08.760 --> 00:02:10.760]  歸回這個字有兩個意思
[00:02:10.760 --> 00:02:12.760]  歸回這個字有兩個意思
[00:02:12.760 --> 00:02:14.760]  悔改
[00:02:14.760 --> 00:02:16.760]  回家
[00:02:16.760 --> 00:02:18.760]  和回家兩個意思
[00:02:18.760 --> 00:02:20.260]  和回家
[00:02:20.260 --> 00:02:22.760]  在新約你見到哪一個人是這麼做的
[00:02:22.760 --> 00:02:25.260]  在新約當中有誰這麼做
[00:02:25.260 --> 00:02:26.760]  浪子
[00:02:26.760 --> 00:02:27.760]  浪子
[00:02:27.760 --> 00:02:28.760]  記不記得
[00:02:28.760 --> 00:02:29.760]  大家記不記得
[00:02:29.760 --> 00:02:30.760]  先悔改
[00:02:30.760 --> 00:02:32.260]  先悔改
[00:02:32.260 --> 00:02:33.260]  然後回家
[00:02:33.260 --> 00:02:34.260]  然後回家
[00:02:34.260 --> 00:02:35.260]  回家見爸爸
[00:02:35.260 --> 00:02:36.760]  回家見父親
