
[00:00:00.000 --> 00:00:02.760]  鼎姐妹早晨 新年快樂
[00:00:02.760 --> 00:00:06.760]  在這裏2021年第一個主日
[00:00:06.760 --> 00:00:10.800]  向大家祝賀 鼓勵
[00:00:10.800 --> 00:00:13.280]  讓我們在新年進步
[00:00:13.280 --> 00:00:17.080]  今年我特別思想的如何進步呢
[00:00:17.080 --> 00:00:19.560]  就是我們更像恩主
[00:00:19.560 --> 00:00:24.080]  願大家在2021年能夠新年進步
[00:00:24.080 --> 00:00:27.080]  在整年當中更像恩主
[00:00:27.080 --> 00:00:32.080]  當然在疫症期間非常厲害的時候
[00:00:32.080 --> 00:00:33.840]  也是求神保守
[00:00:33.840 --> 00:00:36.840]  救鼎姐妹有健康與平安
[00:00:36.840 --> 00:00:41.840]  蒙主保守 每一天靠主喜樂
[00:00:41.840 --> 00:00:44.840]  今天和大家思想的題目就是
[00:00:44.840 --> 00:00:48.080]  以喜樂代替憂傷
[00:00:48.080 --> 00:00:53.080]  在2020年實在是一個難忘的一年
[00:00:53.080 --> 00:00:57.080]  我相信也是充滿很多憂傷憂患的一年
[00:00:57.080 --> 00:01:01.080]  有很多人都是在眼淚洗面
[00:01:01.080 --> 00:01:03.080]  或者困難極度
[00:01:03.080 --> 00:01:07.080]  甚至是有些不幸離世
[00:01:07.080 --> 00:01:12.080]  所以我們見到很多這些事情
[00:01:12.080 --> 00:01:16.080]  但同時也讓我們知道人生就是這樣
[00:01:16.080 --> 00:01:18.080]  充滿着憂患
[00:01:18.080 --> 00:01:21.080]  2020年更加是
[00:01:21.080 --> 00:01:24.080]  感謝主讓我們來到踏入新的一年
[00:01:24.080 --> 00:01:26.080]  求主幫助我們
[00:01:26.080 --> 00:01:30.080]  今天和大家來到思想詩篇30篇
[00:01:30.080 --> 00:01:32.080]  全篇的詩篇有12節
[00:01:32.080 --> 00:01:36.080]  讓我們也好像大衛的禱告一樣
[00:01:36.080 --> 00:01:38.080]  感恩的祈禱
[00:01:38.080 --> 00:01:41.080]  願以喜樂代替憂傷
[00:01:41.080 --> 00:01:43.080]  我們先來讀經 好不好?
[00:01:43.080 --> 00:01:47.080]  大家看看詩篇30篇
[00:01:47.080 --> 00:01:49.080]  詩篇30篇一開始
[00:01:49.080 --> 00:01:52.080]  大家是中文聖經和盒本的經文
[00:01:52.080 --> 00:01:54.080]  它用一個標題
[00:01:54.080 --> 00:01:57.080]  就是感恩的禱告
[00:01:57.080 --> 00:01:59.080]  這個是何時寫的呢?
[00:01:59.080 --> 00:02:01.080]  是大衛在獻殿的時候
[00:02:01.080 --> 00:02:04.080]  作者詩歌
[00:02:04.080 --> 00:02:07.080]  有學者認爲這段獻殿
[00:02:07.080 --> 00:02:08.080]  未必一定是聖殿
[00:02:08.080 --> 00:02:12.080]  因爲當時鎖羅門的聖殿還未建好
[00:02:12.080 --> 00:02:16.080]  當然也有可能是大衛爲着殿
