
[00:00:00.000 --> 00:00:03.200]  好,等師妹讓我們先聽神的道義,讓我們先同心地禱告
[00:00:03.200 --> 00:00:06.400]  請師姐們在我聽神的道之前先同心禱告
[00:00:06.400 --> 00:00:12.400]  菩薩,多謝祢讓我們能夠再次回到祢的說話的根前
[00:00:12.400 --> 00:00:15.600]  去明白怎樣去做一個基督徒
[00:00:15.600 --> 00:00:18.000]  也讓我們明白
[00:00:18.000 --> 00:00:21.600]  怎樣去顯明上帝祢給我們的生命
[00:00:21.600 --> 00:00:25.000]  上帝祢是一位充滿智慧的主
[00:00:25.000 --> 00:00:28.200]  所以求祢讓我們在這個
[00:00:28.600 --> 00:00:30.800]  充滿罪惡的世界當中
[00:00:30.800 --> 00:00:33.400]  仍然顯出祢的智慧
[00:00:33.400 --> 00:00:35.800]  讓我們能夠真是
[00:00:35.800 --> 00:00:38.600]  藉此讓人看見
[00:00:38.600 --> 00:00:42.400]  應該怎樣歸回上帝的路向
[00:00:42.400 --> 00:00:45.200]  我們沒辦法去拯救人
[00:00:45.200 --> 00:00:47.400]  只有上帝祢才可以拯救人
[00:00:47.400 --> 00:00:50.800]  但是讓我們至少可以成為一個
[00:00:50.800 --> 00:00:53.200]  上帝祢能夠所用的路標
[00:00:53.200 --> 00:00:55.400]  能夠讓人知道
[00:00:56.000 --> 00:01:00.400]  哪個方向才可以得到上帝祢的請求
[00:01:00.400 --> 00:01:04.800]  我們親愛的父神,多謝祢讓我們今天能夠再次
[00:01:04.800 --> 00:01:06.800]  在祢的說話的根前
[00:01:06.800 --> 00:01:09.600]  來認識怎樣做一個基督徒
[00:01:09.600 --> 00:01:11.800]  也讓我們明白
[00:01:11.800 --> 00:01:16.200]  我們應該怎樣來彰顯我們這位主
[00:01:16.200 --> 00:01:18.800]  祢是一位充滿智慧的神
[00:01:18.800 --> 00:01:23.200]  就讓我們在這個充滿罪惡的世界
[00:01:23.600 --> 00:01:26.600]  讓我們活出上帝祢的機會
[00:01:26.600 --> 00:01:29.600]  能夠有洞視這個世界的能力
[00:01:29.600 --> 00:01:31.600]  我們明白到
[00:01:31.600 --> 00:01:34.000]  在這個今天的世代裡面
[00:01:34.000 --> 00:01:36.600]  我們所面對的
[00:01:36.600 --> 00:01:40.200]  有處於很多使我們為難的事
[00:01:40.200 --> 00:01:44.200]  好像我們已經無能為力
[00:01:44.200 --> 00:01:47.600]  特別是為了救恩的緣故
[00:01:47.600 --> 00:01:49.800]  我們根本上沒有能力
[00:01:49.800 --> 00:01:53.000]  把人救出罪惡的深淵的裡面
[00:01:53.400 --> 00:01:56.000]  但是主啊,求祢幫助
[00:01:56.000 --> 00:02:01.000]  至少使用我們成為上帝祢救恩上面
[00:02:01.000 --> 00:02:03.000]  路上的一個路標
[00:02:03.000 --> 00:02:07.000]  指向那一條路
[00:02:07.000 --> 00:02:10.000]  才是得到上帝祢的救恩
[00:02:10.000 --> 00:02:11.600]  求祢的幫助
[00:02:11.600 --> 00:02:14.000]  我現在同心禱告
[00:02:14.000 --> 00:02:16.400]  奉靠主耶穌基督,得聖名至以求
[00:02:16.400 --> 00:02:17.400]  阿們
[00:02:17.400 --> 00:02:21.800]  上個禮拜我們已經開始看到
[00:02:21.800 --> 00:02:25.000]  我們活在一個充滿罪惡的世界裡面
[00:02:25.000 --> 00:02:26.400]  上個禮拜我們也提到
[00:02:26.400 --> 00:02:27.800]  我們已經生活在一個
[00:02:27.800 --> 00:02:30.800]  提到我們生活在一個充滿罪惡的世界裡面
[00:02:30.800 --> 00:02:33.200]  上個禮拜我們也都同樣看見
[00:02:33.200 --> 00:02:37.800]  原來上帝是會用一些罪人成就他的事情
[00:02:37.800 --> 00:02:40.800]  上帝也會用一些罪人來成就他的事情
[00:02:40.800 --> 00:02:43.200]  這一點是一個很重要的神學
[00:02:43.200 --> 00:02:45.000]  這是一個很重要的神學
[00:02:45.000 --> 00:02:47.000]  今天很多基督徒其實是
[00:02:47.000 --> 00:02:50.400]  很容易跌入了一個自大的狀態
[00:02:50.600 --> 00:02:52.800]  今天很多基督徒很容易
[00:02:52.800 --> 00:02:54.600]  跌入一個很自大的狀態
[00:02:54.600 --> 00:02:57.400]  認為只有我們才可以拯救這個世界
[00:02:57.400 --> 00:02:59.600]  認為只有自己才能拯救這個世界
[00:02:59.600 --> 00:03:01.800]  首先我們沒有辦法拯救這個世界
[00:03:01.800 --> 00:03:04.200]  首先我們沒有辦法拯救這個世界
[00:03:04.200 --> 00:03:06.200]  我們沒有辦法改變人心
[00:03:06.200 --> 00:03:08.200]  我們沒有辦法改變人心
[00:03:08.200 --> 00:03:10.600]  人的心怎麼能夠迴轉
[00:03:10.600 --> 00:03:12.800]  只有上帝才能做得到
[00:03:12.800 --> 00:03:14.600]  人的心怎樣迴轉
[00:03:14.600 --> 00:03:16.200]  只有上帝才能做得到
[00:03:16.400 --> 00:03:21.800]  於是很多基督徒就以為自己是很了不起
[00:03:21.800 --> 00:03:24.600]  有些基督徒認為自己很了不起
[00:03:24.600 --> 00:03:28.000]  但是上帝原來在整個拯救救恩的歷史裏面
[00:03:28.000 --> 00:03:30.800]  在上帝在整個歷史的拯救救恩裏面
[00:03:30.800 --> 00:03:33.000]  都用了不少的罪人
[00:03:33.000 --> 00:03:34.600]  都用了不少的罪人
[00:03:34.600 --> 00:03:35.600]  惡人
[00:03:35.600 --> 00:03:36.200]  惡人
[00:03:36.200 --> 00:03:38.000]  去成就他救恩的事情
[00:03:38.000 --> 00:03:39.800]  去成就他的救恩的事情
[00:03:39.800 --> 00:03:42.000]  給幾個例子大家看一下
[00:03:42.000 --> 00:03:43.200]  給個例子大家
[00:03:43.200 --> 00:03:44.400]  求約的
[00:03:44.400 --> 00:03:46.000]  在救恩
[00:03:46.000 --> 00:03:47.800]  有尼布賈尼撒王
[00:03:47.800 --> 00:03:49.200]  有尼布賈尼撒王
[00:03:49.200 --> 00:03:52.200]  在整個舊的歷史
[00:03:52.200 --> 00:03:53.800]  即是救約的歷史裏面
[00:03:53.800 --> 00:03:55.400]  在整個救約歷史當中
[00:03:55.400 --> 00:03:56.800]  我們已經知道
[00:03:56.800 --> 00:03:57.800]  我們知道
[00:03:57.800 --> 00:04:02.000]  尼布賈尼撒王是怎樣去真是殘酷對待
[00:04:02.000 --> 00:04:04.400]  當時被擄的以色列民
[00:04:04.400 --> 00:04:09.200]  尼布賈尼撒王是怎樣殘酷的壓榨當時的猶太人
[00:04:09.200 --> 00:04:11.400]  數惡人他必定是其中一個
[00:04:11.400 --> 00:04:14.800]  如果數世界惡人
