
[00:00:00.000 --> 00:00:03.000]  各位姐妹早
[00:00:03.000 --> 00:00:07.200]  相信大家都很同意
[00:00:07.200 --> 00:00:13.760]  很多時候當我們要拼搏的時候
[00:00:13.760 --> 00:00:17.040]  都需要其他人的幫助
[00:00:17.040 --> 00:00:20.280]  我們需要有戰友
[00:00:20.280 --> 00:00:25.360]  舉個例子,比如說有項運動叫籃球比賽
[00:00:25.360 --> 00:00:42.360]  這個籃球比賽的球員目的就是要努力把籃球一直直衝,衝到對方的底線
[00:00:42.360 --> 00:00:50.160]  這個比賽就是說要把這個籃球帶著衝到別人的底線後面
[00:00:50.160 --> 00:01:02.160]  要成功把這個籃球帶到別人的底線後面的話
[00:01:02.160 --> 00:01:05.560]  並不是一件容易的事情
[00:01:05.560 --> 00:01:10.160]  因為有很多人會試圖攔阻你
[00:01:10.160 --> 00:01:18.160]  有些人會在後面整個抱著你,令你整個掉到地上
[00:01:18.160 --> 00:01:21.760]  有些人會把你整個抱著,然後一起跌在地上
[00:01:21.760 --> 00:01:26.960]  然後其他人會一起壓在你的身體上搶你的籃球
[00:01:26.960 --> 00:01:32.960]  然後其他人會一起壓在你的身上,希望能夠把你手裡的球搶去
[00:01:32.960 --> 00:01:38.360]  那你就要想辦法把這個籃球交給別人
[00:01:38.360 --> 00:01:41.760]  你要想辦法把這個籃球交給你的隊友
[00:01:41.760 --> 00:01:46.960]  然後由其他人把這個籃球帶到你的底線
[00:01:46.960 --> 00:01:50.760]  然後由你的隊友繼續把這個籃球帶到別人的底線
[00:01:50.760 --> 00:01:55.560]  這個是英國人很喜歡的一個比賽
[00:01:55.560 --> 00:01:58.760]  這是英國人非常喜歡的一種比賽
[00:01:58.760 --> 00:02:01.360]  香港人也有很多人都喜歡玩的
[00:02:01.360 --> 00:02:03.960]  香港也有很多人喜歡玩這個運動
[00:02:03.960 --> 00:02:06.960]  特別是那些活力過剩的人
[00:02:06.960 --> 00:02:09.360]  特別是那些經歷過剩的人
[00:02:09.360 --> 00:02:14.160]  在剛才的經文裡面除了作者保羅之外
[00:02:14.160 --> 00:02:17.760]  在剛才的經文裡面除了作者保羅之外
[00:02:17.760 --> 00:02:20.160]  就出現了兩個人物的名字
[00:02:20.160 --> 00:02:22.360]  就出現了兩個人物的名字
[00:02:22.360 --> 00:02:24.560]  其中一個叫做提摩泰
[00:02:24.560 --> 00:02:25.960]  其中一個叫做提摩泰
[00:02:25.960 --> 00:02:33.360]  第十九節說我靠主耶穌指望快打發提摩泰去見你們
[00:02:33.360 --> 00:02:38.760]  第十九節說我靠主耶穌指望快打發提摩泰去見你們
[00:02:38.760 --> 00:02:41.960]  叫我知道你們的事
[00:02:41.960 --> 00:02:43.760]  心裡就得著安慰
[00:02:43.760 --> 00:02:45.360]  心裡就得著安慰
[00:02:45.360 --> 00:02:49.160]  提摩泰是跟隨保羅出外步道
[00:02:49.160 --> 00:02:51.760]  提摩泰是跟隨保羅出外步道
[00:02:51.760 --> 00:02:54.560]  他們兩個人的關係非常的密切
[00:02:54.560 --> 00:02:56.760]  他們兩個人的關係非常的密切
[00:02:56.760 --> 00:03:00.560]  就好像兒子對待父親
[00:03:00.560 --> 00:03:03.360]  就好像父親和兒子的關係一樣
[00:03:03.360 --> 00:03:05.760]  在保羅的身邊去幫助他
[00:03:05.760 --> 00:03:07.960]  在保羅的身邊去幫助他
[00:03:07.960 --> 00:03:10.760]  在這裡保羅心裡面有一個指望
[00:03:10.760 --> 00:03:12.960]  在這裡保羅心裡面有一個指望
[00:03:12.960 --> 00:03:16.560]  他說如果主耶穌願意的話
[00:03:16.560 --> 00:03:18.960]  他說如果主耶穌願意的話
[00:03:18.960 --> 00:03:24.160]  他希望盡快派提摩泰去菲律賓
[00:03:24.160 --> 00:03:28.560]  他希望盡快派提摩泰去菲律賓
[00:03:28.560 --> 00:03:33.760]  將當地教會信徒的情況匯報給保羅
[00:03:33.760 --> 00:03:36.760]  將當地教會的情況匯報給保羅
[00:03:36.760 --> 00:03:41.160]  使他可以知道一些可以令他心裡得著安慰的事情
[00:03:41.160 --> 00:03:44.360]  使他可以知道一些可以令他心裡得著安慰的事情
[00:03:44.360 --> 00:03:47.760]  另外一位的人物叫伊巴忽提
[00:03:47.760 --> 00:03:49.960]  另外一位的人物叫伊巴忽提
[00:03:49.960 --> 00:03:51.760]  大家要小心
[00:03:51.760 --> 00:03:55.760]  這個不是哥羅西書裡面的伊巴忽
[00:03:55.760 --> 00:04:00.560]  他並不是哥羅西書裡面所提到的伊巴忽
[00:04:00.560 --> 00:04:02.560]  伊巴忽提是誰呢?
[00:04:02.560 --> 00:04:03.960]  伊巴忽提是誰呢?
[00:04:03.960 --> 00:04:06.360]  跟保羅有什麼關係呢?
[00:04:06.360 --> 00:04:07.760]  跟保羅有什麼關係呢?
[00:04:07.760 --> 00:04:09.760]  不如我們一同讀出第25節好嗎?
[00:04:09.760 --> 00:04:11.760]  不如我們一同讀出第25節好嗎?
[00:04:11.760 --> 00:04:13.360]  不如我們一同讀出第25節好嗎?
[00:04:13.360 --> 00:04:19.760]  然而我想必須打發伊巴忽提到你們那裡去
[00:04:19.760 --> 00:04:21.760]  他是我的兄弟
