
[00:00:00.000 --> 00:00:02.500]  (主席) 請問我們信諾諸多年
[00:00:02.500 --> 00:00:04.500]  我相信大部分
[00:00:04.500 --> 00:00:06.500]  或者我這樣
[00:00:06.500 --> 00:00:10.500]  私事研,看看下面是不是不夠坐
[00:00:10.500 --> 00:00:12.500]  上面還有大概20個位
[00:00:12.500 --> 00:00:15.500]  所以這5分鐘時間裏面
[00:00:15.500 --> 00:00:17.500]  有20個人可以進入大堂
[00:00:17.500 --> 00:00:19.500]  盡快做了
[00:00:19.500 --> 00:00:23.500]  因為我們今天聚會人數多一些
[00:00:23.500 --> 00:00:25.500]  連同沙田堂,我想應該就
[00:00:25.500 --> 00:00:27.500]  希望不用開三樓
[00:00:28.500 --> 00:00:30.500]  如果下面還有人想來的話
[00:00:30.500 --> 00:00:32.500]  我們給5分鐘時間,可以有
[00:00:32.500 --> 00:00:34.500]  如果大家再看看自己座位
[00:00:34.500 --> 00:00:36.500]  旁邊有沒有空位
[00:00:36.500 --> 00:00:38.500]  很多時候大家都喜歡坐在
[00:00:38.500 --> 00:00:40.500]  近走廊那裏
[00:00:40.500 --> 00:00:44.500]  一坐走廊那裏
[00:00:44.500 --> 00:00:46.500]  其實有時候你是阻礙了人家坐進去
[00:00:46.500 --> 00:00:48.500]  所以請你們聚會的時候
[00:00:48.500 --> 00:00:50.500]  留意一下
[00:00:50.500 --> 00:00:52.500]  有沒有空位在旁邊
[00:00:52.500 --> 00:00:54.500]  盡量方便一些遲來的
[00:00:54.500 --> 00:00:56.500]  可以進來,好不好
[00:00:58.500 --> 00:01:00.500]  副堂如果還有人想來的話
[00:01:00.500 --> 00:01:02.500]  我們還有大概
[00:01:02.500 --> 00:01:04.500]  十幾個位
[00:01:04.500 --> 00:01:08.500]  在我們每日的
[00:01:08.500 --> 00:01:10.500]  生活裏面
[00:01:10.500 --> 00:01:12.500]  其實我們信了主多年
[00:01:12.500 --> 00:01:14.500]  我們都會
[00:01:14.500 --> 00:01:16.500]  知道這個神
[00:01:16.500 --> 00:01:18.500]  我們甚至乎說我們認識這個神
[00:01:18.500 --> 00:01:20.500]  除了聽道
[00:01:20.500 --> 00:01:22.500]  除了和別人的身上去分享見證之外
[00:01:22.500 --> 00:01:24.500]  我們很多時候
[00:01:24.500 --> 00:01:26.500]  覺得認識
[00:01:26.500 --> 00:01:28.500]  至此為止,知道了多少就行了
[00:01:28.500 --> 00:01:30.500]  但原來發覺
[00:01:30.500 --> 00:01:32.500]  神在我們的生命中間
[00:01:32.500 --> 00:01:34.500]  或者說在我們的信仰裏面
[00:01:34.500 --> 00:01:36.500]  有一環,是我們很多時候
[00:01:36.500 --> 00:01:38.500]  忽略了的,這一環就是
[00:01:38.500 --> 00:01:40.500]  原來透過
[00:01:40.500 --> 00:01:42.500]  祈禱,不是去做事
[00:01:42.500 --> 00:01:44.500]  不是很煩
[00:01:44.500 --> 00:01:46.500]  而是透過祈禱
[00:01:46.500 --> 00:01:48.500]  安靜的時候,你可以
[00:01:48.500 --> 00:01:50.500]  去更加認識這位神
[00:01:50.500 --> 00:01:52.500]  今天和大家就想思想這個題目
[00:01:52.500 --> 00:01:54.500]  因為今年的主題
[00:01:54.500 --> 00:01:56.500]  會講到祈禱
[00:01:56.500 --> 00:01:58.500]  祈禱講來講去都是這樣
[00:01:58.500 --> 00:02:00.500]  怎樣禱告,用心靈去
[00:02:00.500 --> 00:02:02.500]  承受禱告,原來發覺
