
[00:00:00.000 --> 00:00:03.020]  讓我們在聆聽神的話語之先
[00:00:03.020 --> 00:00:05.020]  再次同心祈禱
[00:00:05.020 --> 00:00:14.260]  再次感謝你
[00:00:14.260 --> 00:00:19.480]  因為你呼召不同的人
[00:00:19.480 --> 00:00:22.780]  包括有男有女
[00:00:22.780 --> 00:00:25.260]  亦有年輕人
[00:00:25.260 --> 00:00:27.580]  亦有中年人
[00:00:27.580 --> 00:00:29.780]  更有年長的人
[00:00:30.180 --> 00:00:32.900]  無論我們在哪個年紀、哪個環境
[00:00:32.900 --> 00:00:35.700]  祝我們都得到你的愛
[00:00:35.700 --> 00:00:38.660]  我們懇求你去加力
[00:00:38.660 --> 00:00:42.420]  使我們去終身的持定
[00:00:42.420 --> 00:00:45.180]  你給我們救贖的盼望
[00:00:45.180 --> 00:00:48.180]  亦都能夠與其他人分享
[00:00:48.180 --> 00:00:50.020]  讓我們的生命
[00:00:50.020 --> 00:00:53.140]  就成為你自己美麗的見證
[00:00:53.140 --> 00:00:56.060]  有願僕人口中的言語
[00:00:56.060 --> 00:00:58.460]  禮英姐妹的心思意念
[00:00:58.740 --> 00:01:00.060]  夢聖你的啟迪
[00:01:00.060 --> 00:01:01.220]  夢主的月立
[00:01:01.220 --> 00:01:03.540]  禱告藉主耶穌基督的聖名而求
[00:01:03.540 --> 00:01:04.780]  阿門
[00:01:04.780 --> 00:01:14.260]  通常我們都會說
[00:01:14.260 --> 00:01:15.340]  年輕人
[00:01:15.340 --> 00:01:18.700]  對很多事情都只有三分鐘的熱度
[00:01:18.700 --> 00:01:21.540]  一時的激情
[00:01:21.540 --> 00:01:23.820]  很快就會在這個激情過後
[00:01:23.820 --> 00:01:25.660]  就會對於
[00:01:25.660 --> 00:01:27.340]  剛剛接觸的事物
[00:01:27.340 --> 00:01:29.340]  或者本來很喜歡的事物
[00:01:29.340 --> 00:01:31.060]  就丟淡了
[00:01:31.060 --> 00:01:34.500]  其中一種最明顯的情況
[00:01:34.500 --> 00:01:36.580]  就是在工作上
[00:01:36.580 --> 00:01:39.540]  很多的青年人
[00:01:39.540 --> 00:01:41.700]  如果在經濟好的時候
[00:01:41.700 --> 00:01:44.420]  東家就打工幾個月
[00:01:44.420 --> 00:01:46.420]  西家又打工幾個月
[00:01:46.420 --> 00:01:48.820]  經常都會跳來跳去
[00:01:48.820 --> 00:01:49.940]  不會很穩定
[00:01:49.940 --> 00:01:52.260]  我們覺得
[00:01:52.260 --> 00:01:53.140]  有一個人
[00:01:53.140 --> 00:01:55.060]  他由開始工作
[00:01:55.060 --> 00:01:56.260]  到退休
[00:01:56.260 --> 00:01:59.100]  都只是在一家公司
[00:01:59.100 --> 00:02:01.100]  或者一個機構裡面工作
[00:02:01.100 --> 00:02:03.260]  是非常難得
[00:02:03.260 --> 00:02:08.140]  所以從前能夠一直到退休
[00:02:08.140 --> 00:02:11.940]  當然要有一個榮休的聚會
[00:02:11.940 --> 00:02:16.540]  或者公司或者機構要頒一些紀念品給他們
[00:02:16.540 --> 00:02:21.220]  但是由於現在那種轉工的情況太過緊要了
[00:02:21.220 --> 00:02:24.540]  這些長期的服務
[00:02:24.540 --> 00:02:26.140]  怎麼說長期呢?
[00:02:26.460 --> 00:02:27.980]  大概十年
[00:02:27.980 --> 00:02:29.900]  就叫做長期了
[00:02:29.900 --> 00:02:31.900]  再多一點可能十五年
[00:02:31.900 --> 00:02:33.540]  在我們會的當中
[00:02:33.540 --> 00:02:34.940]  因為我們有學校
[00:02:34.940 --> 00:02:36.940]  有些社會服務的單位
[00:02:36.940 --> 00:02:38.940]  所謂的起跳
[00:02:38.940 --> 00:02:39.780]  可以得到
[00:02:39.780 --> 00:02:41.620]  有些人俗稱叫做老人牌
[00:02:41.620 --> 00:02:43.780]  可以拿到這樣的獎
[00:02:43.780 --> 00:02:45.620]  至少有十年
[00:02:45.620 --> 00:02:46.820]  接著有十五年
[00:02:46.820 --> 00:02:48.900]  其實在我們會的當中
[00:02:48.900 --> 00:02:52.220]  有很多的校長和老師
[00:02:52.220 --> 00:02:54.100]  真的是長期服務的
[00:02:54.340 --> 00:02:56.340]  剛剛因為暑假開始
[00:02:56.340 --> 00:02:58.260]  暑假之前已經公佈了
[00:02:58.260 --> 00:03:02.700]  有一些教師和校長他們榮休了
[00:03:02.700 --> 00:03:05.220]  其中有一位厲害了
[00:03:05.220 --> 00:03:07.780]  在我們會服務了四十三年
[00:03:07.780 --> 00:03:09.500]  我也認識他
[00:03:09.500 --> 00:03:10.260]  知道他多少歲
[00:03:10.260 --> 00:03:10.780]  算一算
[00:03:10.780 --> 00:03:13.460]  他真的一畢業
[00:03:13.460 --> 00:03:14.860]  二十歲左右
[00:03:14.860 --> 00:03:17.540]  他就在區會裡面服務
[00:03:17.540 --> 00:03:20.380]  他將整個人生
[00:03:20.380 --> 00:03:21.340]  就是青春
[00:03:21.340 --> 00:03:24.020]  貢獻在教育的工作上
[00:03:24.180 --> 00:03:25.980]  實在是非常難得
[00:03:25.980 --> 00:03:29.260]  所以通常在年輕人
[00:03:29.260 --> 00:03:32.300]  我們很少會見到這種堅持
[00:03:32.300 --> 00:03:35.700]  是到了一個年紀
[00:03:35.700 --> 00:03:37.540]  才可以見得到的
[00:03:37.540 --> 00:03:40.380]  這種比較
[00:03:40.380 --> 00:03:43.980]  就令我想起短跑和長跑
[00:03:43.980 --> 00:03:44.780]  為什麼呢?
[00:03:44.780 --> 00:03:47.780]  因為剛剛倫敦奧運開幕
[00:03:47.780 --> 00:03:49.980]  奧運會的比賽
[00:03:49.980 --> 00:03:51.740]  其中一個歷史最悠久
[00:03:51.740 --> 00:03:53.340]  或者相當有淵源的
[00:03:53.340 --> 00:03:55.020]  就是跟賽跑有關的
[00:03:55.020 --> 00:03:57.620]  短跑
[00:03:57.620 --> 00:03:59.740]  就是說爆炸力
[00:03:59.740 --> 00:04:01.020]  說速度的
[00:04:01.020 --> 00:04:04.580]  大家知不知道一百米短跑
[00:04:04.580 --> 00:04:06.900]  世界紀錄有多快呢?
[00:04:06.900 --> 00:04:09.300]  以前我們說跑九秒九
[00:04:09.300 --> 00:04:11.540]  這個已經被人破了很久了
[00:04:11.540 --> 00:04:14.980]  現在最新的世界紀錄
[00:04:14.980 --> 00:04:15.780]  一百米
[00:04:15.780 --> 00:04:18.100]  就是九點五百秒
