
[00:00:00.000 --> 00:00:02.080]  各位頂尖的我們到了七月份
[00:00:02.080 --> 00:00:05.040]  也是進入了教會今年的主題
[00:00:05.040 --> 00:00:07.120]  就是塑造主義的門徒
[00:00:07.120 --> 00:00:08.720]  我們一年會有四講
[00:00:08.720 --> 00:00:12.240]  七月份會講作主門徒這個系列
[00:00:12.240 --> 00:00:13.400]  當然了
[00:00:13.400 --> 00:00:17.560]  今年我們現在還是在西岸
[00:00:17.560 --> 00:00:18.560]  在美國這邊
[00:00:18.560 --> 00:00:21.200]  仍然是疫情期間
[00:00:21.200 --> 00:00:25.200]  但是疫情期間我們仍然能夠透過網上
[00:00:25.200 --> 00:00:27.520]  去做一些門徒訓練的工作
[00:00:27.520 --> 00:00:30.680]  於是我也鼓勵了一班的區域
[00:00:30.680 --> 00:00:32.800]  我就說趁著現在的機會
[00:00:32.800 --> 00:00:34.000]  因為我們也不知道什麼時候
[00:00:34.000 --> 00:00:39.600]  正式可以有一個人與人之間的社交接觸
[00:00:39.600 --> 00:00:41.040]  但是門徒訓練
[00:00:41.040 --> 00:00:46.880]  我們也可以透過網上去做培育的工作
[00:00:46.880 --> 00:00:49.280]  所以我們也應該把握這個機會
[00:00:49.280 --> 00:00:52.800]  繼續去推動這個門徒訓練的工作
[00:00:52.800 --> 00:00:55.120]  不應該因為疫情期間
[00:00:55.120 --> 00:00:58.320]  而停止門訓的工作
[00:00:58.320 --> 00:01:00.600]  所以今天我們這個系列
[00:01:00.600 --> 00:01:03.080]  一年四講我們也會講到
[00:01:03.080 --> 00:01:05.560]  作主門徒的一些內容
[00:01:05.560 --> 00:01:08.920]  今天我第一講就會講到門徒的呼召
[00:01:08.920 --> 00:01:13.240]  究竟耶穌基督呼召我們做他的門徒
[00:01:13.240 --> 00:01:14.240]  究竟要做些什麼呢?
[00:01:14.240 --> 00:01:17.760]  以及呼召跟我們有什麼關係呢?
[00:01:17.760 --> 00:01:21.480]  我們主要的經文都是來自《馬太福音》第四章十八至二十節
[00:01:21.480 --> 00:01:25.560]  以及輔助經文《馬太福音》第三章十三至十五節
[00:01:25.560 --> 00:01:28.920]  請聽我讀出我修本的這段經文
[00:01:28.920 --> 00:01:31.720]  「耶穌沿著加利利海邊行走
[00:01:31.720 --> 00:01:33.080]  看見兩兄弟
[00:01:33.080 --> 00:01:35.040]  就似那叫彼得的西門
[00:01:35.040 --> 00:01:36.760]  和他的弟弟安德烈
[00:01:36.760 --> 00:01:38.880]  正往海裡散網
[00:01:38.880 --> 00:01:40.640]  他們本是打魚的
[00:01:40.640 --> 00:01:43.120]  耶穌對他們說:來跟從我
[00:01:43.120 --> 00:01:46.080]  我要叫你們得人如得魚一樣
