
[00:00:00.000 --> 00:00:06.740]  一連幾個星期我們都是講解《使徒信經》
[00:00:06.740 --> 00:00:13.840]  今天來到一個《使徒信經》其中一個相當重要的核心信仰
[00:00:13.840 --> 00:00:17.340]  其中一個《使徒信經》裡面是這麼說的
[00:00:17.340 --> 00:00:21.680]  我信我主耶穌基督 上帝的獨生子 因聖靈感人
[00:00:21.680 --> 00:00:24.560]  由童貞女瑪利亞所生
[00:00:24.560 --> 00:00:27.360]  這個真理千萬不能夠混淆
[00:00:27.360 --> 00:00:31.920]  不能夠有少許搞錯的地方
[00:00:31.920 --> 00:00:38.160]  否則我們的信心就會投放在一個錯誤的對象上面
[00:00:38.160 --> 00:00:43.340]  今天我們講到的題目就是我信道成肉身的耶穌基督
[00:00:43.340 --> 00:00:50.380]  不知道大家是否清晰的知道什麼叫做道成肉身呢?
[00:00:50.380 --> 00:00:52.720]  什麼叫做聖靈感人呢?
[00:00:52.720 --> 00:00:58.260]  這些我們經常在聖經裡面 或者基督教講道的時候都會提到的用語
[00:00:58.260 --> 00:01:04.060]  今天讓我們通過經文來探討一下這些用語的意思
[00:01:04.060 --> 00:01:06.300]  開始之前我們首先了解
[00:01:06.300 --> 00:01:09.400]  我們今天所讀的希伯來書的一些歷史背景
[00:01:09.400 --> 00:01:14.100]  這一本書裡面提到聖殿
[00:01:14.100 --> 00:01:17.040]  用現在式的方式來講聖殿
[00:01:17.040 --> 00:01:20.380]  所以一般都相信寫這個希伯來書的時候
[00:01:20.380 --> 00:01:24.480]  應該是在當時的聖殿未被拆毀之前
[00:01:24.480 --> 00:01:28.260]  大概是主後的六十年左右寫的
[00:01:28.260 --> 00:01:33.400]  有時間的時候我們大概知道當時的背景是怎麼樣的
[00:01:33.400 --> 00:01:36.800]  當時主後六十年的時候
[00:01:36.800 --> 00:01:40.360]  教會其實面對著很多的危機
[00:01:40.360 --> 00:01:43.600]  傳統的猶太人對他們的攻擊
[00:01:43.600 --> 00:01:46.340]  或者是羅馬政府的迫害
[00:01:46.340 --> 00:01:51.680]  當時有很多異端邪說來搞亂聖經的純正
[00:01:51.680 --> 00:01:53.620]  也有很多信徒就說
[00:01:53.620 --> 00:01:56.580]  耶穌等了這麼久 耶穌都不回來
[00:01:56.580 --> 00:01:58.520]  開始信心動搖
[00:01:58.520 --> 00:02:03.060]  灰心、喪志、軟弱、退後
[00:02:03.060 --> 00:02:05.460]  甚至有人跌倒
