
[00:00:00.000 --> 00:00:05.000]  今天我們所處的一個時代真的是充滿驚恐的時代不是嗎
[00:00:05.000 --> 00:00:06.500]  除了有傳染病之外
[00:00:06.500 --> 00:00:09.500]  我們也看見到處戰火是不停
[00:00:09.500 --> 00:00:11.000]  不但是戰火不停
[00:00:11.000 --> 00:00:13.500]  而且我們看見甚至在美國境內
[00:00:13.500 --> 00:00:16.500]  你也看見最近在這幾天的新聞報道
[00:00:16.500 --> 00:00:20.500]  在密蘇里州的Ferguson這個小城裏面
[00:00:20.500 --> 00:00:23.500]  當你看見那種震爆的場面的時候
[00:00:23.500 --> 00:00:27.000]  你還以爲在第三世界在發生的事情
[00:00:27.000 --> 00:00:30.500]  沒想到就發生在我們美國本土
[00:00:30.500 --> 00:00:33.500]  有時候當你面對這樣一個道德敗壞
[00:00:33.500 --> 00:00:36.000]  人心驚恐的時代
[00:00:36.000 --> 00:00:37.500]  作爲一個基督徒
[00:00:37.500 --> 00:00:40.000]  我們要怎麼樣來面對呢
[00:00:40.000 --> 00:00:43.500]  所以今天早上要從三方面來跟大家分享
[00:00:43.500 --> 00:00:47.500]  怎麼樣能夠得勝現今環境的一個祕訣
[00:00:47.500 --> 00:00:49.000]  三方面
[00:00:49.000 --> 00:00:53.000]  第一個就是要確信神的主權
[00:00:53.000 --> 00:00:56.500]  跟你們說要確信神的主權
[00:00:56.500 --> 00:00:57.500]  作爲一個基督徒
[00:00:57.500 --> 00:01:00.000]  我們一定要確信一件事情
[00:01:00.000 --> 00:01:04.000]  那就是無論你我的環境如何在改變
[00:01:04.000 --> 00:01:07.000]  有一件事情是永遠不改變
[00:01:07.000 --> 00:01:10.500]  那就是我們的神仍然坐在寶座上
[00:01:10.500 --> 00:01:12.500]  Amen
[00:01:12.500 --> 00:01:15.500]  十篇二十九篇第十節怎麼說呢
[00:01:15.500 --> 00:01:19.000]  在洪水氾濫之時耶和華坐得爲王
[00:01:19.000 --> 00:01:22.000]  耶和華坐得爲王直到什麼
[00:01:22.000 --> 00:01:23.500]  永遠
[00:01:23.500 --> 00:01:26.500]  這些事情講到洪水氾濫
[00:01:26.500 --> 00:01:31.500]  洪水氾濫是一個令人驚恐的情況
[00:01:31.500 --> 00:01:36.000]  但這並不表示神就不在其中
[00:01:36.000 --> 00:01:38.500]  雖然洪水氾濫
[00:01:38.500 --> 00:01:40.000]  雖然我們不明白爲什麼
[00:01:40.000 --> 00:01:44.000]  神容許這些事情會發生在我們中間
[00:01:44.000 --> 00:01:49.000]  但這也並不表示神的手就不在工作
[00:01:49.000 --> 00:01:54.000]  事實上神的手從來沒有停止工作過
[00:01:54.000 --> 00:01:57.000]  只是很多時候我們看不清楚
[00:01:57.000 --> 00:02:00.000]  我們也不明白神的作爲而已
[00:02:00.000 --> 00:02:02.000]  所以今天我們作爲一個神的兒女
[00:02:02.000 --> 00:02:04.000]  一定要有一個確信
[00:02:04.000 --> 00:02:07.500]  就算在洪水氾濫的時刻
[00:02:07.500 --> 00:02:10.500]  耶和華仍然坐着爲王
[00:02:10.500 --> 00:02:15.500]  而且他坐着爲王直到永遠
[00:02:15.500 --> 00:02:19.000]  換句話說洪水是會過去的
[00:02:19.000 --> 00:02:23.000]  可是耶和華坐王直到永遠
[00:02:23.000 --> 00:02:27.500]  你必須要明白這些經文所要告訴我們的是什麼
[00:02:27.500 --> 00:02:30.000]  洪水是會過去的
[00:02:30.000 --> 00:02:33.500]  神坐王是到永遠的
[00:02:33.500 --> 00:02:36.500]  神從來沒有停止工作
[00:02:36.500 --> 00:02:40.500]  他今天仍然能夠帶來改變
[00:02:40.500 --> 00:02:45.000]  所以今天當我們面對這樣一種洪水氾濫的時刻
[00:02:45.000 --> 00:02:47.000]  我們一點不需要害怕
