
[00:00:00.000 --> 00:00:03.900]  引任意而行的警告
[00:00:03.900 --> 00:00:07.100]  我不知道如果大家想起諷刺
[00:00:07.100 --> 00:00:08.600]  想起什麼呢?
[00:00:08.600 --> 00:00:10.600]  經過維基百科去講
[00:00:10.600 --> 00:00:12.500]  諷刺是一個文學的題材
[00:00:12.500 --> 00:00:16.400]  是暴露對象的矛盾和缺點
[00:00:16.400 --> 00:00:18.600]  或者如果用一些實例來講
[00:00:18.600 --> 00:00:21.900]  可能你看到這些情景
[00:00:21.900 --> 00:00:23.800]  都想起一些諷刺的說話
[00:00:23.800 --> 00:00:25.000]  這個路牌說
[00:00:25.000 --> 00:00:28.700]  Thank you for driving carefully
[00:00:28.700 --> 00:00:30.600]  多謝小心駕駛
[00:00:30.600 --> 00:00:32.600]  後面就炒車了
[00:00:32.600 --> 00:00:35.400]  這個場面都挺有趣的
[00:00:35.400 --> 00:00:40.100]  或者這個路牌說得好
[00:00:40.100 --> 00:00:43.100]  違例泊車將會很好
[00:00:43.100 --> 00:00:44.100]  We'll be fine
[00:00:44.100 --> 00:00:46.700]  應該少了一個D字
[00:00:46.700 --> 00:00:48.100]  其實將會被罰
[00:00:48.100 --> 00:00:50.200]  We'll be fine
[00:00:50.200 --> 00:00:52.000]  這個路牌挺有趣的
[00:00:52.000 --> 00:00:54.300]  這個路牌也很有趣
[00:00:54.300 --> 00:00:56.400]  隱藏的海灘
[00:00:56.400 --> 00:00:58.700]  如果隱藏海灘沒理由那個路牌告訴你
[00:00:58.700 --> 00:00:59.800]  海灘在那裡
[00:00:59.800 --> 00:01:03.100]  所以隱藏海灘已經不再隱藏了
[00:01:03.100 --> 00:01:05.300]  如果你需要有人維修的時候
[00:01:05.300 --> 00:01:07.300]  我不知道你會不會找這間公司
[00:01:07.300 --> 00:01:09.500]  這個維修的公司是這麼說的
[00:01:09.500 --> 00:01:11.700]  我們可以維修任何東西
[00:01:11.700 --> 00:01:12.700]  行不行?
[00:01:12.700 --> 00:01:15.000]  不過請你大力敲門
[00:01:15.000 --> 00:01:17.800]  因為我的門鈴壞了
[00:01:17.800 --> 00:01:20.100]  自己的門鈴都搞不定
[00:01:20.100 --> 00:01:22.200]  那怎樣去維修呢?
[00:01:22.200 --> 00:01:23.300]  諷刺
[00:01:23.300 --> 00:01:28.200]  我不知道大家還有什麼想法的例子
[00:01:28.200 --> 00:01:31.100]  今天分享兩張的事件
[00:01:31.100 --> 00:01:34.200]  在《士司機》第十七章、第十八章
[00:01:34.200 --> 00:01:36.600]  說到三個角色
[00:01:36.600 --> 00:01:39.600]  三個諷刺的故事
[00:01:39.600 --> 00:01:41.900]  但是一環扣一環
[00:01:41.900 --> 00:01:44.700]  完成一個超級
[00:01:44.700 --> 00:01:46.800]  超級諷刺的故事
[00:01:46.800 --> 00:01:48.400]  超級的颱風
[00:01:48.400 --> 00:01:52.600]  這個故事跟過去六個士司的惡循環
[00:01:52.600 --> 00:01:53.600]  不同
[00:01:53.600 --> 00:01:59.100]  我們知道以往六個士司
[00:01:59.100 --> 00:02:01.200]  都是經歷這些的循環
[00:02:01.200 --> 00:02:02.900]  循環是什麼呢?
[00:02:02.900 --> 00:02:04.200]  如果大家記得
[00:02:04.200 --> 00:02:06.600]  梁牧師第一次說這個《士司記》
[00:02:06.600 --> 00:02:07.800]  第一章已經說了
[00:02:07.800 --> 00:02:09.000]  循環就是
[00:02:09.000 --> 00:02:13.300]  「意識列人行耶和華眼中何謂惡的事惟若」
[00:02:13.300 --> 00:02:14.100]  對不對?
[00:02:14.100 --> 00:02:15.200]  接著
[00:02:15.200 --> 00:02:18.600]  上帝就將意識列民
[00:02:18.600 --> 00:02:21.900]  交給外邦人經歷欺壓
[00:02:21.900 --> 00:02:24.500]  接著他們呼求耶和華
[00:02:24.500 --> 00:02:26.600]  接著耶和華就興起士司
[00:02:26.600 --> 00:02:27.900]  拯救意識列人
[00:02:27.900 --> 00:02:30.600]  接著就將外邦人剷除
[00:02:30.600 --> 00:02:33.800]  接著國家就太平一個年
[00:02:33.800 --> 00:02:35.000]  不過我們也知道
[00:02:35.000 --> 00:02:37.200]  士司每況愈下
[00:02:37.200 --> 00:02:38.300]  越來越差
[00:02:38.300 --> 00:02:40.800]  所以到最後這兩講
[00:02:40.800 --> 00:02:42.500]  整個循環都沒有了
[00:02:42.500 --> 00:02:43.100]  對不對?
[00:02:43.100 --> 00:02:44.900]  不見了
[00:02:44.900 --> 00:02:48.200]  竟然呼求都不見了
[00:02:48.200 --> 00:02:49.200]  很有趣
[00:02:49.200 --> 00:02:50.400]  不見了
[00:02:50.400 --> 00:02:52.300]  等於什麼呢?
[00:02:52.300 --> 00:02:56.400]  所以今天藉著這三個諷刺的故事
[00:02:56.400 --> 00:02:58.700]  我們會學到最少三件事
[00:02:58.700 --> 00:03:01.700]  跟旁邊的人說這三件事
[00:03:01.700 --> 00:03:02.700]  應該與你無關的
[00:03:02.700 --> 00:03:04.900]  我跟旁邊的人說應該與你無關的
[00:03:04.900 --> 00:03:08.400]  因為三件都是非常差的事情
[00:03:08.400 --> 00:03:08.900]  好了
[00:03:08.900 --> 00:03:09.900]  看看第一件
