
[00:00:00.000 --> 00:00:05.200]  弟兄姊妹,你們聽見神向你們說話嗎?
[00:00:05.200 --> 00:00:09.200]  我來到這一刻是參加了四堂崇拜
[00:00:09.200 --> 00:00:11.200]  在四堂崇拜裏面
[00:00:11.200 --> 00:00:14.000]  神對我們都有不同的聲音
[00:00:14.000 --> 00:00:17.200]  神都向我們說話
[00:00:17.200 --> 00:00:19.000]  剛才我和大家分享的
[00:00:19.000 --> 00:00:22.000]  就是我聽到神對我的說話
[00:00:22.000 --> 00:00:24.200]  就是神仍然是忍耐
[00:00:24.200 --> 00:00:26.200]  在整個崇拜開始的時候
[00:00:26.200 --> 00:00:30.200]  神已經向我們說話了
[00:00:30.200 --> 00:00:32.200]  當我們唱尊崇詩歌的時候
[00:00:32.200 --> 00:00:34.200]  這是天賦世界
[00:00:34.200 --> 00:00:36.200]  這個世界是神創造的
[00:00:36.200 --> 00:00:38.200]  何等美好
[00:00:38.200 --> 00:00:42.200]  我們看到一切都是神為我們預備的
[00:00:42.200 --> 00:00:44.200]  你看到嗎?
[00:00:44.200 --> 00:00:46.200]  你感受到嗎?
[00:00:46.200 --> 00:00:48.200]  我相信就是
[00:00:48.200 --> 00:00:50.200]  吾難回答說我感受到
[00:00:50.200 --> 00:00:52.200]  我相信
[00:00:52.200 --> 00:00:55.200]  因為我們都是一班屬靈人
[00:00:55.200 --> 00:00:57.200]  在耶穌基督裏面
[00:00:57.200 --> 00:00:59.200]  有神給我們的生命
[00:00:59.200 --> 00:01:03.200]  在每個環節裏面都提醒我們
[00:01:03.200 --> 00:01:05.200]  神是我們的主
[00:01:05.200 --> 00:01:07.200]  是我們的神,愛我們
[00:01:07.200 --> 00:01:11.200]  當我們奉獻的時候
[00:01:11.200 --> 00:01:13.200]  我們聽到的音樂
[00:01:13.200 --> 00:01:17.200]  「看那神的羔羊」
[00:01:17.200 --> 00:01:19.200]  神為我們所做的
[00:01:19.200 --> 00:01:23.200]  就是為我們預備了待罪羔羊
[00:01:23.200 --> 00:01:25.200]  當我們再聽詩班
[00:01:25.200 --> 00:01:27.200]  和參與詩歌裏面的時候
[00:01:27.200 --> 00:01:29.200]  我們很深體會到
[00:01:29.200 --> 00:01:32.200]  神是我們的生命的主宰
[00:01:32.200 --> 00:01:36.200]  我們要進行緊守主耶穌基督的命令
[00:01:36.200 --> 00:01:39.200]  難不難的?
[00:01:39.200 --> 00:01:41.200]  原來不難的
[00:01:41.200 --> 00:01:45.200]  當我們與主同在
[00:01:45.200 --> 00:01:50.200]  當我們認識我們的主的時候
[00:01:50.200 --> 00:01:52.200]  是不難的
[00:01:52.200 --> 00:01:55.200]  當我們接受主耶穌給我們的差遣
[00:01:55.200 --> 00:01:59.200]  就是去主耶穌要我們去的地方的時候
[00:01:59.200 --> 00:02:01.200]  是不難的
[00:02:01.200 --> 00:02:05.200]  並且被神來使用
[00:02:05.200 --> 00:02:08.200]  就是行神跡其事
[00:02:08.200 --> 00:02:10.200]  可不可以?
[00:02:10.200 --> 00:02:12.200]  是可以的
[00:02:12.200 --> 00:02:14.200]  神跡其事在我們中間?
[00:02:14.200 --> 00:02:17.200]  是的
[00:02:17.200 --> 00:02:19.200]  今天我們所領受的經文
[00:02:19.200 --> 00:02:25.200]  是在《馬學福音》第一章十六至二十節
[00:02:25.200 --> 00:02:28.200]  和第三章十三至十九節
[00:02:28.200 --> 00:02:34.200]  我們看回耶穌呼召門徒的歷史片段
[00:02:34.200 --> 00:02:36.200]  看看裏面的內容
[00:02:36.200 --> 00:02:38.200]  對我們有什麼啟迪
[00:02:38.200 --> 00:02:41.200]  我們一起讀出來
[00:02:41.200 --> 00:02:43.200]  預備請
[00:02:49.200 --> 00:02:51.200]  安德烈
[00:02:51.200 --> 00:02:52.200]  海瑞
[00:02:52.200 --> 00:02:53.200]  撒羅
[00:02:53.200 --> 00:02:54.200]  塔門
[00:02:54.200 --> 00:02:55.200]  塞比
[00:02:55.200 --> 00:02:56.200]  雲
[00:02:56.200 --> 00:02:57.200]  雪
[00:02:57.200 --> 00:02:58.200]  愛
[00:02:58.200 --> 00:02:59.200]  索
[00:02:59.200 --> 00:03:00.200]  特日
[00:03:00.200 --> 00:03:01.200]  與特
[00:03:01.200 --> 00:03:02.200]  與日
[00:03:02.200 --> 00:03:03.200]  約
[00:03:03.200 --> 00:03:04.200]  塔門就立刻卸禮物
[00:03:04.200 --> 00:03:05.200]  跟從聊客
[00:03:05.200 --> 00:03:07.200]  我們撒羅前行
[00:03:07.200 --> 00:03:10.200]  又見西比派的義子雅各
[00:03:10.200 --> 00:03:12.200]  和雅各的兄弟約和
[00:03:12.200 --> 00:03:14.200]  在船上保望
[00:03:14.200 --> 00:03:17.200]  耶穌隨即招呼塔門
[00:03:17.200 --> 00:03:22.200]  塔門就把父親西比塔和故宮的人留在船上
[00:03:22.200 --> 00:03:24.200]  跟從耶穌去祈禱
[00:03:24.200 --> 00:03:26.200]  耶穌賞了心
[00:03:26.200 --> 00:03:28.200]  祂的義師叫雅各
[00:03:28.200 --> 00:03:31.200]  塔門便來到他那裡
[00:03:31.200 --> 00:03:33.200]  他就設立十二個人
[00:03:33.200 --> 00:03:36.200]  塔門上和自己同座
[00:03:36.200 --> 00:03:39.200]  來參觀傳說
[00:03:39.200 --> 00:03:41.200]  塔門權並趕鬼
[00:03:41.200 --> 00:03:44.200]  這十二個人有誓言
[00:03:44.200 --> 00:03:47.200]  耶穌有給塔門名叫彼得
[00:03:47.200 --> 00:03:50.200]  還有西比太的義子雅各
[00:03:50.200 --> 00:03:52.200]  和雅各的兄弟約和
[00:03:52.200 --> 00:03:56.200]  有給這兩個人名叫伴理奇
[00:03:56.200 --> 00:03:58.200]  就是類似的意思
[00:03:58.200 --> 00:04:00.200]  又有安德烈
[00:04:00.200 --> 00:04:01.200]  肥力
[00:04:01.200 --> 00:04:02.200]  巴多萊
[00:04:02.200 --> 00:04:03.200]  瑪太
[00:04:03.200 --> 00:04:04.200]  多瑪
[00:04:04.200 --> 00:04:06.200]  哈勒比的義子雅各
[00:04:06.200 --> 00:04:08.200]  和達塔
[00:04:08.200 --> 00:04:10.200]  並品類黨的西門
[00:04:10.200 --> 00:04:15.200]  還有萬耶穌的加勒人猶達
[00:04:15.200 --> 00:04:17.200]  在科學書裡面
[00:04:17.200 --> 00:04:19.200]  馬學福音按照篇幅來說
