
[00:00:00.000 --> 00:00:04.000]  不知大家生活得開不開心呢?
[00:00:04.000 --> 00:00:06.000]  真的?
[00:00:06.000 --> 00:00:09.000]  享不享受大家的生活啊?
[00:00:09.000 --> 00:00:14.000]  那就感謝主啊,如果是這樣的話我就不用說了
[00:00:14.000 --> 00:00:18.000]  我相信很多人都希望能夠過一個很開心很快樂
[00:00:18.000 --> 00:00:21.000]  我們很享受的人生的
[00:00:21.000 --> 00:00:27.000]  不過呢,我相信如果以香港目前的情況來看
[00:00:27.000 --> 00:00:29.000]  我猜而已,不過我猜錯了
[00:00:29.000 --> 00:00:32.000]  我以爲大家會say no的
[00:00:32.000 --> 00:00:34.000]  但原來我們當中很多人很開心
[00:00:34.000 --> 00:00:36.000]  很享受現在的人生
[00:00:36.000 --> 00:00:42.000]  期不期待着明天上班啊?
[00:00:42.000 --> 00:00:46.000]  真的?
[00:00:46.000 --> 00:00:50.000]  我在YouTube上看到一個電影的製片人
[00:00:50.000 --> 00:00:53.000]  他叫Adam Lysak
[00:00:53.000 --> 00:00:56.000]  他是耶魯大學的畢業生
[00:00:56.000 --> 00:01:01.000]  他參加了一個畢業25週年的reunion
[00:01:01.000 --> 00:01:03.000]  就是重新見面的派對
[00:01:03.000 --> 00:01:05.000]  沒有見面25年了
[00:01:05.000 --> 00:01:09.000]  大家聚在一起,大家有一個重新見面的時間
[00:01:09.000 --> 00:01:11.000]  見到很多老朋友
[00:01:11.000 --> 00:01:14.000]  好像我今天回來的時候也見到很多老朋友在這裏
[00:01:14.000 --> 00:01:16.000]  不止25年,30年也有了
[00:01:16.000 --> 00:01:18.000]  感謝債美主
[00:01:18.000 --> 00:01:22.000]  他在這個重聚的派對裏
[00:01:22.000 --> 00:01:25.000]  見到很多以前大學讀書的時候的朋友
[00:01:25.000 --> 00:01:28.000]  其實也有很多人是耶魯大學畢業的
[00:01:28.000 --> 00:01:30.000]  都是一些很有成就
[00:01:30.000 --> 00:01:34.000]  甚至在社會里面
[00:01:34.000 --> 00:01:38.000]  是相當有影響力的一些人
[00:01:38.000 --> 00:01:42.000]  但當他和這個人談話的時候
[00:01:42.000 --> 00:01:45.000]  他有一個發現
[00:01:45.000 --> 00:01:47.000]  這個發現是什麼呢?
[00:01:47.000 --> 00:01:50.000]  就是當他和這些人談話的時候
[00:01:50.000 --> 00:01:54.000]  他發現大概有八成的人告訴他
[00:01:54.000 --> 00:01:56.000]  他們生活得不開心
[00:01:56.000 --> 00:01:58.000]  他們生活得不快樂
[00:01:58.000 --> 00:02:02.000]  雖然似乎在事業上很有成就
[00:02:02.000 --> 00:02:06.000]  但是他們覺得不開心
[00:02:06.000 --> 00:02:08.000]  但是最令他們困擾的是什麼呢?
[00:02:08.000 --> 00:02:10.000]  雖然覺得不開心
[00:02:10.000 --> 00:02:14.000]  但是他們不知道爲什麼自己要繼續不開心下去
[00:02:14.000 --> 00:02:20.000]  繼續維持現時這樣的生活
[00:02:20.000 --> 00:02:24.000]  聖經剛纔我們讀的在《針研》第十四章第八節那裏說
[00:02:24.000 --> 00:02:29.000]  通達的人的智慧在乎明白幾度
[00:02:29.000 --> 00:02:35.000]  愚昧人的愚妄乃是士氣
[00:02:35.000 --> 00:02:38.000]  之前我剛纔講這個Mr.Lysak
[00:02:38.000 --> 00:02:40.000]  他那羣朋友裏面來講
[00:02:40.000 --> 00:02:41.000]  都是很有成就
[00:02:41.000 --> 00:02:47.000]  很有事業上被人肯定的一羣人
[00:02:47.000 --> 00:02:50.000]  但是他們不開心
[00:02:50.000 --> 00:02:53.000]  今天你和我作爲一個基督徒
