
[00:00:00.000 --> 00:00:03.000]  好,大家好,聖誕快樂!
[00:00:03.000 --> 00:00:11.000]  我不知道,來到這個節日,其實都無論你幾多歲,你都repeat了這個節日,就是這麼多歲了。
[00:00:11.000 --> 00:00:14.000]  那也都是有一個特別的意義在裡面。
[00:00:14.000 --> 00:00:25.000]  以前我在香港出世長大的,那我就還沒信耶穌,又到聖誕節,做些什麼好呢?
[00:00:25.000 --> 00:00:30.000]  大時大節,我們就有很多的活動。
[00:00:30.000 --> 00:00:39.000]  香港最流行的就是去看一些河水片,或者聖誕節的片,我很喜歡去看電影。
[00:00:39.000 --> 00:00:49.000]  旺角有一間戲院,戲院是七層樓那麼高的。
[00:00:49.000 --> 00:00:59.000]  那天我很喜歡看那些胡鬧鬧的片集,那些片集看完之後就笑,笑完之後就算了,大笑一頓。
[00:00:59.000 --> 00:01:13.000]  那天我就去看一套的片集,看完之後,笑完之後,當那個戲院的燈光亮起來的時候,
[00:01:13.000 --> 00:01:20.000]  我發覺有一樣東西,每個人都向著一個exit,這些exit就是向著他走。
[00:01:20.000 --> 00:01:31.000]  每個人都向著同一個方向走,因為他在七層樓那麼高,所以那個戲院就繞著,好像spinal那樣,一層一層,下去地面。
[00:01:31.000 --> 00:01:40.000]  下去的時候,那些人沒什麼聲音,沒什麼說話,大家都好像笑完之後,突然靜下來。
[00:01:40.000 --> 00:01:46.000]  我聽到自己的呼吸聲,我一直下去,一直下去,下去到地面的時候,
[00:01:46.000 --> 00:01:54.000]  下去到樓下的時候,你知道旺角有很多人,地面的時候,我發覺那些人全部我都不認識。
[00:01:54.000 --> 00:02:00.000]  我突然間有一個感覺,就是我覺得很空虛,很寂寞。
[00:02:00.000 --> 00:02:16.000]  原來在你的人生裡面,你發覺原來你去笑完一餐,跟朋友嘻嘻哈哈之後,你發覺為什麼滿足不了我內心,滿足不了我內心的一些需要。
[00:02:16.000 --> 00:02:28.000]  人生需要有些目的,今天想跟大家講一下這個聖誕節,或者你都過過很多次的聖誕節,究竟知不知道聖誕節是為了什麼?
[00:02:28.000 --> 00:02:35.000]  耶穌來了,我們試一下看一個經文,講一下聖誕節的意義是什麼。
[00:02:35.000 --> 00:02:41.000]  我試一下讀給大家聽,馬達夫人是這樣記載的,耶穌基督來降世是這樣解釋的。
[00:02:41.000 --> 00:02:52.000]  耶穌的母親瑪利亞,許配了給約瑟,她還沒有成親的時候,瑪利亞就從聖靈裡面懷孕了。
[00:02:52.000 --> 00:03:05.000]  她的丈夫約瑟是一個義人,就是一個正人君子,不願意張揚她這種受辱,於是就暗中想跟她解除這個婚約。
[00:03:05.000 --> 00:03:21.000]  她又想起這件事的時候,突然間在做夢的時候,就有一個使者找到她,就說大衛的子孫,你只管放膽將你的妻子瑪利亞娶過來,因為她懷的孕是從聖靈來的。
[00:03:21.000 --> 00:03:35.000]  她一定會生一個兒子,你要改她的名字叫做耶穌,因為她要將自己的子民從罪惡裡面拯救出來。
[00:03:35.000 --> 00:03:49.000]  這件事發生之後,就應驗了以前有一個先知講過這番話,就說哪有同女懷孕,你要起名叫她做二瑪萊尼。
[00:03:49.000 --> 00:03:56.000]  今天有一首歌叫做Emmanuel的意思就是神與我們同在的意思。
[00:03:56.000 --> 00:04:02.000]  原來聖誕節是這個意思,會不會覺得有點不同呢?
