
[00:00:00.000 --> 00:00:02.000]  今日想和大家分享一個題目
[00:00:02.000 --> 00:00:08.000]  就是基督徒落在一些比較艱難的大環境裏面
[00:00:08.000 --> 00:00:10.000]  我們能夠做什麼呢?
[00:00:10.000 --> 00:00:12.000]  基督徒和環境的關係
[00:00:12.000 --> 00:00:14.000]  有些人很樂觀或者有很多期望
[00:00:14.000 --> 00:00:19.000]  就是基督徒在神恩典裏面常常都遭遇一些好環境
[00:00:19.000 --> 00:00:22.000]  但另一個問題是不是只有在好環境裏面
[00:00:22.000 --> 00:00:25.000]  我們才能夠發揮基督徒的香氣呢?
[00:00:25.000 --> 00:00:27.000]  另一個極端就是
[00:00:27.000 --> 00:00:31.000]  有些人覺得環境和時代是主導一切
[00:00:31.000 --> 00:00:32.000]  所以在艱難的時候
[00:00:32.000 --> 00:00:36.000]  有時會感到一些心不逢時的感覺
[00:00:36.000 --> 00:00:38.000]  或者有些人很積極
[00:00:38.000 --> 00:00:39.000]  中文有一句說話
[00:00:39.000 --> 00:00:41.000]  人定勝天
[00:00:41.000 --> 00:00:47.000]  我們是不是又不會受環境的時代的出身的影響呢?
[00:00:47.000 --> 00:00:50.000]  或者更實際很多人覺得
[00:00:50.000 --> 00:00:54.000]  環境和時代或多或少都可以影響我們
[00:00:54.000 --> 00:00:58.000]  但我們怎樣可以經歷與神同行繼續發光呢?
[00:00:58.000 --> 00:00:59.000]  耶穌基督來到地上
[00:00:59.000 --> 00:01:01.000]  其中給我們世人一個溫暖
[00:01:01.000 --> 00:01:05.000]  就是耶穌親自經歷世人的經歷
[00:01:05.000 --> 00:01:09.000]  耶穌親自經歷世人的艱辛、冰冷
[00:01:09.000 --> 00:01:13.000]  讓我們明白到耶穌是明白我們
[00:01:13.000 --> 00:01:17.000]  也明白到父神是深愛我們
[00:01:17.000 --> 00:01:20.000]  祂願意耶穌基督經歷這麼多艱難
[00:01:20.000 --> 00:01:24.000]  如果思考一個題目:耶穌生來到地上
[00:01:24.000 --> 00:01:27.000]  成長的階段是在什麼時代的時候呢?
