
[00:00:00.000 --> 00:00:05.400]  某一方主日,我們會將一些主日稱爲專題主日
[00:00:05.400 --> 00:00:09.200]  例如今天是剛剛適逢情人節之後的主日
[00:00:09.200 --> 00:00:11.700]  所以改了一個主題叫做
[00:00:11.700 --> 00:00:14.500]  《真愛是什麼回事》
[00:00:14.500 --> 00:00:19.300]  愛是人類千年不變所追求的東西
[00:00:19.300 --> 00:00:21.500]  你和我至少都追求
[00:00:21.500 --> 00:00:24.400]  基督教著名的文學家C.S. Lewis
[00:00:24.400 --> 00:00:27.800]  在他一本書叫《四種愛》裏面
[00:00:27.800 --> 00:00:31.600]  就提及到關於愛的一個
[00:00:31.600 --> 00:00:33.100]  雖然是一本很薄的書
[00:00:33.100 --> 00:00:35.800]  但是裏面因爲這位文學家
[00:00:35.800 --> 00:00:38.100]  也是一個近代基督教的
[00:00:38.100 --> 00:00:40.800]  我們稱爲叫做思想家
[00:00:40.800 --> 00:00:43.600]  他有很多很睿智
[00:00:43.600 --> 00:00:48.600]  以及思想得很深的一些說話
[00:00:48.600 --> 00:00:50.000]  給我們很大的提醒
[00:00:50.000 --> 00:00:53.000]  例如他整本書裏面其中一樣東西很強調
[00:00:53.000 --> 00:00:55.200]  他說上帝是愛
[00:00:55.200 --> 00:00:59.200]  這個是今天你和我信基督教一直所接觸的一個命題
[00:00:59.200 --> 00:01:00.500]  上帝就是愛
[00:01:00.500 --> 00:01:04.000]  但是愛並不是上帝
[00:01:04.000 --> 00:01:06.200]  特別在這個這麼氾濫的
[00:01:06.200 --> 00:01:08.500]  講愛的世代裏面
[00:01:08.500 --> 00:01:11.200]  我們更加要明白什麼叫真正的愛
[00:01:11.200 --> 00:01:14.400]  我們纔可以得到真正的愛
[00:01:14.400 --> 00:01:15.700]  上帝是愛
[00:01:15.700 --> 00:01:19.400]  但是並不是愛就是上帝
[00:01:19.400 --> 00:01:22.400]  甚至我們今天要去理解
[00:01:22.400 --> 00:01:24.400]  什麼叫真正的愛的時候
[00:01:24.400 --> 00:01:28.600]  我們要明白在Zeus Lewis的四種愛裏面提到
[00:01:28.600 --> 00:01:32.400]  情愛、友愛、愛情和人愛
[00:01:32.400 --> 00:01:37.700]  這個情愛是你和我與生俱來都會接觸到的
[00:01:37.700 --> 00:01:40.800]  就是最核心的國家父母和子女之間的愛
[00:01:40.800 --> 00:01:47.900]  這種愛差不多是超乎了那種等級的差別
[00:01:47.900 --> 00:01:50.400]  以及是最謙虛的一種愛
[00:01:50.400 --> 00:01:52.600]  例如說如果你家裏有小朋友的話
[00:01:52.600 --> 00:01:56.600]  他自身的成長你可以輔咒他
[00:01:56.600 --> 00:01:58.400]  你要蹲下和他玩
[00:01:58.400 --> 00:02:03.500]  你扮牛給他爬
[00:02:03.500 --> 00:02:04.900]  這種是沒有階級觀念的
[00:02:04.900 --> 00:02:07.400]  如果身爲爸爸好像不應該這樣做
[00:02:07.400 --> 00:02:11.700]  但是父母和子女的愛不是在講階級等級的差別
[00:02:11.700 --> 00:02:14.100]  是一種超過了這種的愛
[00:02:14.100 --> 00:02:15.700]  是最謙虛的愛
[00:02:15.700 --> 00:02:18.400]  你去幫你的兒子綁鞋帶
[00:02:18.400 --> 00:02:21.900]  姐妹去幫你的寶寶換尿片
[00:02:21.900 --> 00:02:25.600]  這些是一種很謙虛的一種服侍
[00:02:25.600 --> 00:02:31.800]  但是這種情愛也可以引申到成爲了不近人情的愛
[00:02:31.800 --> 00:02:39.100]  需求愛的家庭成員如果是很貪婪地去不斷衰朔愛的話
[00:02:39.100 --> 00:02:44.100]  就會帶來家裏人的傷害和痛苦
[00:02:44.100 --> 00:02:48.400]  最近我才知道原來香港有一些人
[00:02:48.400 --> 00:02:54.100]  可以娶一個太太之後是不讓太太出街的
[00:02:54.100 --> 00:02:56.600]  我以爲清朝纔有這些東西
[00:02:56.600 --> 00:02:58.100]  原來香港是有的
[00:02:58.100 --> 00:02:59.900]  是不讓太太出街
[00:02:59.900 --> 00:03:03.000]  所以她太太就接一種嗜好
[00:03:03.000 --> 00:03:04.800]  就叫打麻雀
[00:03:04.800 --> 00:03:08.300]  她老公可以安排所有朋友來跟她太太打麻雀
[00:03:08.300 --> 00:03:11.900]  但是就是不准她太太出街
[00:03:11.900 --> 00:03:16.500]  直到她的丈夫有時間帶她出街的時候
