
[00:00:00.000 --> 00:00:02.500]  今天的題目很有趣
[00:00:02.500 --> 00:00:06.760]  叫做從上至下的三個不可
[00:00:06.760 --> 00:00:12.180]  我們會見到十六章、十七章、十八章、三章的經文
[00:00:12.180 --> 00:00:14.560]  是講三種不同的人
[00:00:14.560 --> 00:00:17.760]  由上是講到君王
[00:00:17.760 --> 00:00:21.300]  中間是有審判官、有官長
[00:00:21.300 --> 00:00:23.800]  接着是講到人民
[00:00:23.800 --> 00:00:27.140]  每一種人都有三個不可
[00:00:27.140 --> 00:00:29.140]  是很有趣的
[00:00:29.140 --> 00:00:32.160]  如果我們見到今天的經文
[00:00:32.160 --> 00:00:34.760]  十六章、十七章、十八章
[00:00:34.760 --> 00:00:39.980]  首先在十六章尾是講官長
[00:00:39.980 --> 00:00:42.080]  接着在十七章的頭
[00:00:42.080 --> 00:00:45.920]  突然間轉去講祭司、利美人
[00:00:45.920 --> 00:00:49.620]  去到十七章的尾又講君王
[00:00:49.620 --> 00:00:54.300]  去到十八章的頭又講祭司、利美人
[00:00:54.300 --> 00:00:59.260]  去到十八章的中間部分又講人民
[00:00:59.260 --> 00:01:01.660]  爲什麼這麼奇怪呢?
[00:01:01.660 --> 00:01:06.660]  講講人、官長、君王、人民
[00:01:06.660 --> 00:01:09.360]  又講祭司、利美人
[00:01:09.360 --> 00:01:11.780]  好像梅花建築那樣
[00:01:11.780 --> 00:01:16.700]  人和人中間是有祭司、利美人
[00:01:16.700 --> 00:01:18.500]  其實我相信很簡單
[00:01:18.500 --> 00:01:22.660]  這個作者是要讓我們見到
[00:01:22.660 --> 00:01:27.300]  同人的關係永遠都是反映出我們同神的關係
[00:01:27.300 --> 00:01:29.300]  因爲祭司、利美人
[00:01:29.300 --> 00:01:33.460]  是在神面前代表人的祭司
[00:01:33.460 --> 00:01:37.540]  所以好像十五章和十六章的經文
[00:01:37.540 --> 00:01:39.780]  和結構一樣
[00:01:39.780 --> 00:01:41.780]  十五章、十六章我們上次講過
[00:01:41.780 --> 00:01:44.380]  就是說我們同人的關係
[00:01:44.380 --> 00:01:49.100]  是反映出我們同神的關係
[00:01:49.100 --> 00:01:51.380]  今天的經文剛纔讀過
[00:01:51.380 --> 00:01:53.700]  我們首先講君王
[00:01:53.700 --> 00:01:55.700]  因爲我們說從上至下
[00:01:55.700 --> 00:01:57.940]  君王是高高在上
[00:01:57.940 --> 00:01:59.140]  剛纔的經文講什麼?
[00:01:59.140 --> 00:02:01.700]  生命紀十七章十四節
[00:02:01.700 --> 00:02:04.780]  「到了耶和華你神所賜你的地
[00:02:04.780 --> 00:02:07.540]  得了那地居住的時候
[00:02:07.540 --> 00:02:10.340]  若說我要立王治理我們
[00:02:10.340 --> 00:02:13.540]  將四圍的國一樣」
[00:02:13.540 --> 00:02:15.780]  如果熟悉經文的弟兄姊妹
[00:02:15.780 --> 00:02:17.780]  一看這個節的經文
[00:02:17.780 --> 00:02:20.020]  就會發覺很熟口熟面
[00:02:20.020 --> 00:02:23.900]  在《撒姆爾上》八章五節
