
[00:00:00.000 --> 00:00:02.220]  請您再次同心我地同祈禱
[00:00:02.220 --> 00:00:06.580]  天父我地再次多謝祢比寶貴嘅華語
[00:00:06.580 --> 00:00:08.420]  去安慰我地
[00:00:08.420 --> 00:00:11.480]  正如祢話 視我不要怕
[00:00:11.480 --> 00:00:13.420]  求祢幫助我地
[00:00:13.420 --> 00:00:16.640]  我唔知我地中間有幾多人係喺暴風雨當中
[00:00:16.640 --> 00:00:19.820]  求祢真係安慰我地 保守我地
[00:00:19.820 --> 00:00:22.660]  再次多謝祢 因為祢嘅恩典救我地勇
[00:00:22.660 --> 00:00:25.700]  藉著祢嘅華語再一次提醒 勸勉 教導
[00:00:25.700 --> 00:00:28.700]  安慰我地 祈禱奉耶穌基督名求
[00:00:28.700 --> 00:00:29.700]  阿門
[00:00:29.700 --> 00:00:32.520]  視我不要怕
[00:00:32.520 --> 00:00:36.740]  怕呢樣嘢呢係不可理喻嘅感受
[00:00:36.740 --> 00:00:39.040]  我記得好多年前
[00:00:39.040 --> 00:00:41.900]  啱啱結婚嘅時候
[00:00:41.900 --> 00:00:44.360]  有一日我同我太太到屋企
[00:00:44.360 --> 00:00:47.320]  我喺廳做緊嘢 突然間就聽見我太太
[00:00:47.320 --> 00:00:49.860]  喺房裏面尖叫
[00:00:49.860 --> 00:00:52.140]  真係尖叫
[00:00:52.140 --> 00:00:54.500]  即係好高音嗰啲尖叫
[00:00:54.500 --> 00:00:57.420]  係好驚 好怕
[00:00:57.420 --> 00:01:00.540]  好似發生好大嘅意外嗰種嘅叫聲
[00:01:00.540 --> 00:01:03.340]  救命聲 當時
[00:01:03.340 --> 00:01:05.800]  嚇到我膽都破曬 嗱啦聲衝入屋企
[00:01:05.800 --> 00:01:08.760]  睇下佢究竟發生咩事 就發現佢呢
[00:01:08.760 --> 00:01:12.140]  喺個角落嘅時候呢 就係面無人色
[00:01:12.140 --> 00:01:15.080]  驚惶失措 好似大難
[00:01:15.080 --> 00:01:18.080]  泥頭 然後指住另一個角落話
[00:01:18.080 --> 00:01:19.080]  曱甴啦 曱甴啦
[00:01:19.080 --> 00:01:23.060]  我聽完之後呢 就鬆一口氣
[00:01:23.060 --> 00:01:25.080]  咁大個人
[00:01:26.060 --> 00:01:27.400]  怕隻曱甴
[00:01:27.400 --> 00:01:30.580]  嗰隻曱甴都唔會傷害我哋啲乜嘢呢
[00:01:30.580 --> 00:01:32.240]  點會咁驚呢
[00:01:32.240 --> 00:01:35.140]  但驚呢樣嘢係冇得解釋架
[00:01:35.140 --> 00:01:37.900]  係不可理喻架 我諗到呢
[00:01:37.900 --> 00:01:40.580]  馬克吐溫講嗰句說話呢 就好精彩
[00:01:40.580 --> 00:01:41.820]  佢就話呢
[00:01:41.820 --> 00:01:45.440]  我就唔信有鬼嘅 但我就怕鬼
[00:01:45.440 --> 00:01:49.140]  咁奇怪 你既然間唔信有鬼 點解你又怕鬼呢
[00:01:49.140 --> 00:01:52.240]  人往往就係咁樣 但如果你話呢
[00:01:52.240 --> 00:01:55.340]  我太太呢 嗰種驚怕不可理喻呢
[00:01:55.340 --> 00:01:58.780]  我種驚怕呢 就仲差過佢幾百倍
[00:01:58.780 --> 00:02:01.940]  因為呢 佢見到隻曱甴 都睇到啊
[00:02:01.940 --> 00:02:04.520]  就已經嚇到膽都破
[00:02:04.520 --> 00:02:06.420]  我聽到佢叫聲
[00:02:06.420 --> 00:02:10.600]  我就驚惶失措嘅程度呢
[00:02:10.600 --> 00:02:13.260]  就完全唔係平日嘅蘇永裕嚟嘅
[00:02:13.260 --> 00:02:16.760]  事實上呢 我諗下我自己呢
[00:02:16.760 --> 00:02:20.480]  都有一樣嘢呢 我太太成日講 即係點解你咁得意嘅呢
[00:02:20.480 --> 00:02:22.740]  得意啲乜嘢呢
[00:02:23.640 --> 00:02:26.660]  無緣無故緊張驚
