
[00:00:00.000 --> 00:00:01.760]  我們來到神的面前
[00:00:01.760 --> 00:00:03.480]  我們一齊來敬拜
[00:00:03.480 --> 00:00:07.240]  我們願意聖靈在我們中間來對我們說話
[00:00:07.240 --> 00:00:11.840]  今天我們繼續來講核心價值
[00:00:11.840 --> 00:00:15.200]  我們筲箕灣浸信會的核心價值
[00:00:15.200 --> 00:00:18.840]  先講一下什麼叫核心價值
[00:00:18.840 --> 00:00:20.840]  核心價值就是講到
[00:00:20.840 --> 00:00:21.760]  好像一個人的手指
[00:00:21.760 --> 00:00:23.600]  我們看看自己的手指
[00:00:23.600 --> 00:00:26.320]  拇指拿出來看一下
[00:00:26.320 --> 00:00:27.840]  很獨特的
[00:00:27.840 --> 00:00:31.120]  就是每一間教會
[00:00:31.120 --> 00:00:33.680]  神都給他一個特別的
[00:00:33.680 --> 00:00:36.880]  託付了一個特別的意義在地上
[00:00:36.880 --> 00:00:38.680]  他自己的一個意義
[00:00:38.680 --> 00:00:42.920]  每一間教會都有他自己的一些軌跡在裏面
[00:00:42.920 --> 00:00:46.080]  這個核心價值是講到
[00:00:46.080 --> 00:00:48.280]  當人們看到這個核心價值的時候
[00:00:48.280 --> 00:00:51.800]  就認出這間是筲箕灣浸信會
[00:00:51.800 --> 00:00:55.960]  我們看看這個
[00:00:55.960 --> 00:01:00.280]  X是幫助我們來重尋這些核心價值
[00:01:00.280 --> 00:01:05.400]  就是說一直以來這些是在筲箕灣浸信會
[00:01:05.400 --> 00:01:08.680]  我們現在說已經45年了
[00:01:08.680 --> 00:01:12.480]  筲箕灣浸信會到底是一間怎樣的教會呢
[00:01:12.480 --> 00:01:14.920]  我們過往在去年的時候
[00:01:14.920 --> 00:01:16.760]  我們整個過程裏面
[00:01:16.760 --> 00:01:19.960]  我們知道當我們找這個核心價值的時候
[00:01:19.960 --> 00:01:20.800]  是公開的
[00:01:20.800 --> 00:01:22.440]  全教會一起去參與的
[00:01:22.440 --> 00:01:23.280]  是很嚴謹的
[00:01:23.280 --> 00:01:26.720]  那時候就漏斗地漏了這幾樣東西出來
[00:01:26.720 --> 00:01:28.520]  這幾樣東西是甚麼呢
[00:01:28.520 --> 00:01:29.800]  這幾樣東西就是說
[00:01:29.800 --> 00:01:33.840]  我們是一間重視真理聖靈更新的教會
[00:01:33.840 --> 00:01:36.720]  是一間追求和睦相交的教會
[00:01:36.720 --> 00:01:39.080]  是一間樂意服侍神的教會
[00:01:39.080 --> 00:01:41.760]  是一間追求聖靈真理的教會
[00:01:41.760 --> 00:01:44.720]  是一間實踐大使命的教會
[00:01:44.720 --> 00:01:45.680]  可能你會說
[00:01:45.680 --> 00:01:46.720]  陳牧師
[00:01:46.720 --> 00:01:50.600]  這些東西不是每間教會都有的嗎
[00:01:50.600 --> 00:01:53.760]  是呀 其實應該是會有的
[00:01:53.760 --> 00:01:56.120]  但是是不是成為它一個特質
[00:01:56.120 --> 00:01:59.200]  原來就是這樣了
[00:01:59.200 --> 00:02:00.400]  進來的時候
[00:02:00.400 --> 00:02:02.520]  你會見到這幾樣東西
[00:02:02.520 --> 00:02:05.480]  因為我們在參與的課程裏面
[00:02:05.480 --> 00:02:07.520]  我們發覺我們幾間教會裏面
[00:02:07.520 --> 00:02:09.000]  哎呀 很有趣的
[00:02:09.000 --> 00:02:10.680]  是真的不同的
[00:02:10.680 --> 00:02:14.480]  重點是神給這間教會
[00:02:14.480 --> 00:02:16.280]  當你回來的時候
[00:02:16.280 --> 00:02:18.160]  你知道原來這間教會
[00:02:18.160 --> 00:02:19.600]  是有這幾樣東西
[00:02:19.600 --> 00:02:23.840]  你應該會見到的
[00:02:23.840 --> 00:02:25.160]  比較長了
[00:02:25.160 --> 00:02:26.960]  所以我們會幫助大家
[00:02:26.960 --> 00:02:30.720]  透過這五次講核心價值的時候
[00:02:30.720 --> 00:02:32.440]  最終我們會幫大家
[00:02:32.440 --> 00:02:35.120]  下一章就是甚麼呢
[00:02:35.120 --> 00:02:37.760]  用四個字去記就行了
[00:02:37.760 --> 00:02:39.240]  我們是一間甚麼呀
[00:02:39.240 --> 00:02:41.120]  聖靈更新
[00:02:41.120 --> 00:02:43.000]  和睦相交
[00:02:43.000 --> 00:02:44.680]  樂意服侍
[00:02:44.680 --> 00:02:46.280]  追求真理
[00:02:46.280 --> 00:02:48.720]  實踐使命的教會
[00:02:48.720 --> 00:02:49.800]  我們一路一路
[00:02:49.800 --> 00:02:51.560]  希望可以講解的時候
[00:02:51.560 --> 00:02:53.560]  去幫助大家去明白
[00:02:53.560 --> 00:02:54.720]  但最重要
[00:02:54.720 --> 00:02:55.920]  是能夠真是
[00:02:55.920 --> 00:02:58.400]  我們見到這幾樣的特質
[00:02:58.400 --> 00:03:00.000]  在我們的中間
[00:03:00.000 --> 00:03:02.120]  這間就是筲箕灣浸水會
[00:03:02.120 --> 00:03:03.040]  引入到這個
[00:03:03.040 --> 00:03:06.440]  哦 原來是有這幾樣東西的
[00:03:06.440 --> 00:03:07.720]  求主幫助我們
[00:03:07.720 --> 00:03:08.880]  當然我們明白
[00:03:08.880 --> 00:03:12.480]  有一些的特質在我們中間的時候
[00:03:12.480 --> 00:03:13.920]  我們是要
[00:03:13.920 --> 00:03:16.200]  是要一路加強它的
[00:03:16.200 --> 00:03:18.160]  既然已經在我們的中間
[00:03:18.160 --> 00:03:19.360]  我們就
[00:03:19.360 --> 00:03:20.880]  容讓聖靈
[00:03:20.880 --> 00:03:21.840]  去繼續的
[00:03:21.840 --> 00:03:23.160]  來幫助我們
