
[00:00:00.000 --> 00:00:02.300]  再次多謝主讓我們一起敬拜
[00:00:02.300 --> 00:00:07.500]  有神的話語成為我們生命的指引
[00:00:07.500 --> 00:00:11.000]  有聖靈住在我們的生命裏面
[00:00:11.000 --> 00:00:12.800]  真理的靈教導我們
[00:00:12.800 --> 00:00:14.300]  我們一起再祈禱
[00:00:14.300 --> 00:00:16.500]  全能的主多謝祢
[00:00:16.500 --> 00:00:19.100]  我們不配來敬拜祢
[00:00:19.100 --> 00:00:21.500]  因為我們都是受祢所造
[00:00:21.500 --> 00:00:23.800]  而且我們生命裏面
[00:00:23.800 --> 00:00:29.000]  仍然有一些未得到祢的喜悅的地方
[00:00:29.000 --> 00:00:30.800]  但是我們感謝祢
[00:00:30.800 --> 00:00:36.000]  祢從來不會再著重我們未做到的
[00:00:36.000 --> 00:00:38.000]  而是祢著重主耶穌
[00:00:38.000 --> 00:00:40.500]  已經拯救我們
[00:00:40.500 --> 00:00:44.000]  主多謝祢求聖靈繼續教導
[00:00:44.000 --> 00:00:47.800]  讓我們今天在敬拜的時候
[00:00:47.800 --> 00:00:50.000]  唱詩歌禱告
[00:00:50.000 --> 00:00:51.300]  讀祢的說話
[00:00:51.300 --> 00:00:55.000]  我們的生命繼續得著成長
[00:00:55.000 --> 00:01:01.500]  我們的生命繼續和祢有緊密的同行
[00:01:01.500 --> 00:01:05.000]  主讓我們謙卑在祢面前學習
[00:01:05.000 --> 00:01:07.000]  祈求禱告奉耶穌的名
[00:01:07.000 --> 00:01:08.000]  阿們
[00:01:25.000 --> 00:01:37.000]  這張聖經我最喜歡的是第五章
[00:01:37.000 --> 00:01:40.000]  第五章一開始的時候
[00:01:40.000 --> 00:01:42.000]  第一節就說
[00:01:42.000 --> 00:01:44.500]  耶穌看見許多的人
[00:01:44.500 --> 00:01:47.000]  包括你們
[00:01:47.000 --> 00:01:50.000]  上了山既已坐下
[00:01:50.000 --> 00:01:53.000]  門徒到他跟前來
[00:01:53.000 --> 00:01:56.000]  他就開口教訓他們
[00:01:56.000 --> 00:01:59.000]  留意到有什麼很特別的地方嗎?
[00:01:59.000 --> 00:02:01.000]  很特別的地方就是
