
[00:00:00.000 --> 00:00:04.240]  是很特別的日子
[00:00:04.240 --> 00:00:09.380]  最特別是沒有人在禮拜堂裡
[00:00:09.380 --> 00:00:15.020]  一起慶祝救主復活的禮拜日
[00:00:15.020 --> 00:00:18.220]  應該是很難堪的一件事
[00:00:18.220 --> 00:00:21.220]  但是另一方面
[00:00:21.220 --> 00:00:24.900]  也變成一個非常舒暢的事
[00:00:24.900 --> 00:00:29.060]  因為你覺得自己可以在家裡
[00:00:29.060 --> 00:00:30.900]  在私人的空間
[00:00:30.900 --> 00:00:34.240]  來按你的時間方便
[00:00:34.240 --> 00:00:35.700]  按你的喜歡
[00:00:35.700 --> 00:00:40.280]  來參加今天這一場的報道會
[00:00:40.280 --> 00:00:42.980]  是逆流而上
[00:00:42.980 --> 00:00:48.460]  因為我們大家都落在這個疫症的威脅
[00:00:48.460 --> 00:00:51.860]  所以首先祝大家平安
[00:00:51.860 --> 00:00:56.600]  也提醒大家不要像我這樣不戴口罩
[00:00:56.600 --> 00:00:59.560]  今天我是有一個安全的距離
[00:00:59.560 --> 00:01:03.500]  也因為在鏡頭面前跟你聊天
[00:01:03.500 --> 00:01:06.980]  蒙著臉也是不太舒服的
[00:01:06.980 --> 00:01:10.080]  你在家裡當然比較有自在
[00:01:10.080 --> 00:01:12.640]  但是基本安全的距離
[00:01:12.640 --> 00:01:15.320]  不要擦眼擦鼻
[00:01:15.320 --> 00:01:17.860]  不要摸自己的臉
[00:01:17.860 --> 00:01:18.820]  要洗手
[00:01:18.820 --> 00:01:20.620]  我剛才進來的時候
[00:01:20.620 --> 00:01:28.900]  樓下已經有一個像機場入境的測我溫度
[00:01:28.900 --> 00:01:30.700]  已經平安渡過
[00:01:30.700 --> 00:01:32.900]  誰知道進來這裡
[00:01:32.900 --> 00:01:35.940]  我們這裡的弟兄姊妹
[00:01:35.940 --> 00:01:37.980]  還是要叮囑我
[00:01:37.980 --> 00:01:39.640]  趕快去洗手
[00:01:39.640 --> 00:01:44.220]  洗完手又再幫我檢查溫度
[00:01:44.220 --> 00:01:45.240]  那就平安了
[00:01:45.240 --> 00:01:47.040]  祝福大家都平安
[00:01:47.040 --> 00:01:49.520]  所以我們知道現在的情況
[00:01:49.520 --> 00:01:52.020]  大家是很緊張
[00:01:52.020 --> 00:01:55.320]  緊張到可能應該平安的時候
[00:01:55.320 --> 00:01:57.020]  我們都沒有平安
[00:01:57.020 --> 00:02:01.160]  所以我希望你首先心境要調節一下
[00:02:01.160 --> 00:02:03.340]  因為未病也已經嚇死了
[00:02:03.340 --> 00:02:04.700]  那就無謂了
[00:02:04.700 --> 00:02:07.700]  也不可以掉以輕心
[00:02:07.700 --> 00:02:10.580]  今天的天氣真的非常一流
[00:02:10.580 --> 00:02:15.580]  前幾天大家還是陰陰濕濕的
[00:02:15.580 --> 00:02:17.580]  今天我坐巴士
[00:02:17.580 --> 00:02:19.820]  被太陽曬著
[00:02:19.820 --> 00:02:22.420]  我也覺得是一個福氣
[00:02:22.420 --> 00:02:25.920]  我希望太陽曬死我的細菌
[00:02:25.920 --> 00:02:28.260]  不過在這樣的情況下
[00:02:28.260 --> 00:02:29.720]  天朗氣清
[00:02:29.720 --> 00:02:32.160]  真的好像到了秋高氣爽
[00:02:32.160 --> 00:02:34.800]  適宜郊遊的日子
[00:02:34.800 --> 00:02:36.800]  我們都是蠢蠢欲動
[00:02:36.800 --> 00:02:38.060]  會出去的
[00:02:38.060 --> 00:02:41.100]  我相信我們要出去的都會出去
[00:02:41.100 --> 00:02:43.680]  不過不要太輕鬆
[00:02:43.680 --> 00:02:45.400]  不要太隨便
[00:02:45.400 --> 00:02:48.840]  因為疫情實在沒有人知道是怎樣
[00:02:48.840 --> 00:02:50.380]  疫情是怎樣的呢
[00:02:50.380 --> 00:02:52.380]  我查過一些資料
[00:02:52.380 --> 00:02:56.880]  原來染病的人已經超過百多萬
[00:02:56.880 --> 00:03:00.180]  已經喪失了生命的
[00:03:00.180 --> 00:03:05.020]  也超過了有十萬
[00:03:05.020 --> 00:03:06.760]  其實我在看
[00:03:06.760 --> 00:03:11.100]  到底死亡率是怎樣的一回事呢
[00:03:11.100 --> 00:03:12.800]  疫情的嚴重與否
[00:03:12.800 --> 00:03:14.900]  和死亡率的高低
[00:03:14.900 --> 00:03:16.400]  是有很直接的關係
