
[00:00:00.000 --> 00:00:03.600]  「失敗是成功之母」我們聽得多了
[00:00:03.600 --> 00:00:10.000]  「成功亦是失敗之母」我們很少提及
[00:00:10.000 --> 00:00:17.000]  我不知道我們對今天
[00:00:17.000 --> 00:00:19.000]  我定了一個題目
[00:00:19.000 --> 00:00:22.000]  叫「失敗從成功開始」
[00:00:22.000 --> 00:00:29.000]  你來到的感覺是怎樣
[00:00:29.000 --> 00:00:34.000]  「失敗是從成功開始」很矛盾
[00:00:34.000 --> 00:00:39.000]  有三個人他們出門
[00:00:39.000 --> 00:00:41.000]  有一個人帶傘
[00:00:41.000 --> 00:00:43.000]  因為好像今天陰天
[00:00:43.000 --> 00:00:45.000]  可能會下雨
[00:00:45.000 --> 00:00:46.000]  一個人帶拐杖
[00:00:46.000 --> 00:00:49.000]  他想著今天可能會經過泥路
[00:00:49.000 --> 00:00:51.000]  有支拐杖可以幫幫忙
[00:00:51.000 --> 00:00:53.000]  一個人甚麼都沒有帶
[00:00:53.000 --> 00:00:55.000]  又沒有帶傘又沒有帶拐杖
[00:00:55.000 --> 00:00:57.000]  但回來的時候很有趣
[00:00:57.000 --> 00:01:00.000]  帶傘的人竟然濕了身
[00:01:00.000 --> 00:01:02.000]  很多時候我都會
[00:01:02.000 --> 00:01:04.000]  反而不帶傘的人不濕身
[00:01:04.000 --> 00:01:06.000]  帶傘的人會濕身
[00:01:06.000 --> 00:01:09.000]  帶拐杖的人竟然跌倒
[00:01:09.000 --> 00:01:13.000]  沒有帶傘的人又沒有帶拐杖的人
[00:01:13.000 --> 00:01:16.000]  甚麼都沒有問題
[00:01:16.000 --> 00:01:17.000]  為甚麼
[00:01:17.000 --> 00:01:20.000]  因為有傘的人當下雨的時候
[00:01:20.000 --> 00:01:23.000]  很大膽地走出去
[00:01:23.000 --> 00:01:27.000]  但是橫風橫雨有傘擋不住
[00:01:27.000 --> 00:01:29.000]  走泥路的時候
[00:01:29.000 --> 00:01:31.000]  有拐杖的人說沒有問題
[00:01:31.000 --> 00:01:33.000]  我有拐杖
[00:01:33.000 --> 00:01:36.000]  變成他一時疏忽
[00:01:36.000 --> 00:01:38.000]  竟然跌倒
[00:01:38.000 --> 00:01:42.000]  那個沒有傘沒有拐杖
[00:01:42.000 --> 00:01:45.000]  大雨的時候他不出街
[00:01:45.000 --> 00:01:49.000]  走路的時候他更加小心
[00:01:49.000 --> 00:01:51.000]  所以沒事
[00:01:51.000 --> 00:01:57.000]  很多人以為我們很多時候失敗
[00:01:57.000 --> 00:02:00.000]  當然是失敗我們最弱的那方面
[00:02:00.000 --> 00:02:01.000]  但是很有趣
[00:02:01.000 --> 00:02:03.000]  有時候我們卻是失敗
[00:02:03.000 --> 00:02:09.000]  在我們最優勝的事情上
[00:02:09.000 --> 00:02:12.000]  在兩個月之後
[00:02:12.000 --> 00:02:14.000]  世界盃就開始了
[00:02:14.000 --> 00:02:17.000]  我想很多的男士
[00:02:17.000 --> 00:02:20.000]  都準備看世界盃都不一定
[00:02:20.000 --> 00:02:23.000]  明年又有另一個世界盃
[00:02:23.000 --> 00:02:24.000]  不過是女生的
[00:02:24.000 --> 00:02:27.000]  不知道有沒有人看過女子世界盃
[00:02:27.000 --> 00:02:30.000]  可能你不太留意
[00:02:30.000 --> 00:02:33.000]  中國的女子足球其實挺好的
