
[00:00:00.000 --> 00:00:03.360]  我們上次的訊息大家還記得嗎 那已經是兩個禮拜前
[00:00:03.360 --> 00:00:07.440]  來考考 問你旁邊說上禮拜 上兩個禮拜牧師講什麼
[00:00:07.440 --> 00:00:14.640]  題目都給你了 題目 這是二 所以第一是什麼
[00:00:14.640 --> 00:00:15.720]  第一
[00:00:15.720 --> 00:00:23.920]  我還沒問你上禮拜高牧師講什麼
[00:00:27.480 --> 00:00:30.800]  對對對 因為你禮拜五才剛查過的 會比較曉得一點
[00:00:30.800 --> 00:00:34.720]  兩個禮拜就忘光光了 親愛的女子妹
[00:00:34.720 --> 00:00:38.280]  所以為了你們忘的差不多 所以我就再要講一遍
[00:00:38.280 --> 00:00:42.840]  當然這個內容不同 親愛的女子妹 你知道神的旨意
[00:00:42.840 --> 00:00:46.160]  這件事情是我們很重要的一件事情
[00:00:46.160 --> 00:00:50.680]  親愛的女子妹 今天當我們看見這個世界上面發生很多的事情
[00:00:50.680 --> 00:00:53.240]  有時候我每一天在那邊看烏克蘭的消息
[00:00:53.240 --> 00:00:54.760]  我非常的關注
[00:00:55.680 --> 00:01:00.440]  哎呀 看著這一個國家 我就想說有時候會問說主啊 為什麼
[00:01:00.440 --> 00:01:01.840]  是不是
[00:01:01.840 --> 00:01:06.640]  看著這許多事情的發生 你會覺得說為什麼
[00:01:06.640 --> 00:01:13.280]  哎呀 聽到上海在那邊封城的時候 出現了一些狀況
[00:01:13.280 --> 00:01:17.920]  覺得說怎麼會有這種事情發生 主啊你的旨意是為什麼
[00:01:17.920 --> 00:01:21.240]  親愛的女子妹 你相不相信
[00:01:21.240 --> 00:01:25.040]  上帝在人的國中掌權
[00:01:26.000 --> 00:01:30.640]  所有這個世界所發生的一切事情 都是在上帝的掌管之中
[00:01:30.640 --> 00:01:34.360]  小自
[00:01:34.360 --> 00:01:38.720]  小自你個人的前途 道路 婚姻
[00:01:38.720 --> 00:01:44.560]  大自整個世界宇宙的什麼global warming 整個世界的戰爭
[00:01:44.560 --> 00:01:48.880]  上帝都關心 也都在上帝的旨意的裡面
[00:01:48.880 --> 00:01:53.400]  因此我們需要知道明白上帝的旨意
[00:01:55.200 --> 00:01:59.920]  保羅在各羅西蘇在這個地方 他為這一些弟兄姊妹們禱告
[00:01:59.920 --> 00:02:03.200]  他們禱告的一個最重要的一件事情就是什麼呢
[00:02:03.200 --> 00:02:06.920]  就是要他們能夠滿心知道神的旨意
[00:02:06.920 --> 00:02:10.960]  滿心知道神的旨意
[00:02:10.960 --> 00:02:13.440]  你注意一件事情
[00:02:13.440 --> 00:02:18.480]  保羅這個禱告裡面 叫他們能夠知道神的旨意
[00:02:18.480 --> 00:02:21.760]  目的是什麼 像你說什麼 我們把那個
[00:02:22.080 --> 00:02:25.800]  紅色highlight的部分列下 好叫你們怎麼樣
[00:02:25.800 --> 00:02:31.480]  行事為人 對得其主 凡事蒙他喜悅
[00:02:31.480 --> 00:02:37.680]  保羅禱告希望信徒能夠明白神的旨意
[00:02:37.680 --> 00:02:41.640]  是為了要叫他們行事為人
[00:02:41.640 --> 00:02:43.920]  你看見沒有
[00:02:43.920 --> 00:02:46.320]  認識神
[00:02:46.320 --> 00:02:48.440]  認識神的旨意
[00:02:49.160 --> 00:02:52.920]  跟你的生活行為息息相關的
[00:02:52.920 --> 00:02:56.840]  一個認識神的人 他的生活
[00:02:56.840 --> 00:02:59.600]  就會反映出他是認識神的人
