
[00:00:00.000 --> 00:00:01.880]  從本週四晚開始
[00:00:01.880 --> 00:00:05.600]  我會連續五堂教義西傑書
[00:00:05.600 --> 00:00:10.120]  但這本書在去年年初已經定了要教
[00:00:10.120 --> 00:00:13.600]  但想不到在上個多月
[00:00:13.600 --> 00:00:16.960]  梁家騮牧師見到神樂院前院長
[00:00:16.960 --> 00:00:19.080]  在他自己的「復社教」中
[00:00:19.080 --> 00:00:20.560]  也是教義西傑書
[00:00:20.560 --> 00:00:24.000]  剛剛完結的「港九培靈研經大會」中
[00:00:24.000 --> 00:00:26.360]  研經會的戴浩輝牧師
[00:00:26.360 --> 00:00:28.160]  也是查義西傑書
[00:00:28.800 --> 00:00:33.440]  可想而知義西傑書對我們今日香港一班弟兄姊妹
[00:00:33.440 --> 00:00:35.600]  是有很悉切的訊息
[00:00:35.600 --> 00:00:37.160]  我們要好好探討
[00:00:37.160 --> 00:00:40.280]  義西傑書先知他秘魯到巴比倫
[00:00:40.280 --> 00:00:43.880]  他去服侍巴比倫那些猶太人
[00:00:43.880 --> 00:00:47.440]  但亦都向住留在耶路撒冷的人
[00:00:47.440 --> 00:00:48.880]  來帶去宣講
[00:00:48.880 --> 00:00:51.080]  有兩種不同的層次
[00:00:51.080 --> 00:00:53.800]  今日香港都是這樣的處境
[00:00:53.800 --> 00:00:56.840]  中文大學在今年五月的時候
[00:00:56.840 --> 00:00:58.640]  有一項的民意調查
[00:00:58.640 --> 00:01:01.720]  就是十五到二十四歲的年青人
[00:01:01.720 --> 00:01:04.720]  原來有一半打算移民
[00:01:04.720 --> 00:01:07.200]  不單單是這班年青人
[00:01:07.200 --> 00:01:09.320]  甚至一些年青的夫婦
[00:01:09.320 --> 00:01:11.160]  他們的身分證很小的時候
[00:01:11.160 --> 00:01:13.720]  他們都很想離開香港
[00:01:13.720 --> 00:01:15.600]  為甚麼呢?
[00:01:15.600 --> 00:01:18.800]  看到教育上的那種不堪
[00:01:18.800 --> 00:01:22.280]  剛剛大家知道最近出現了
[00:01:22.280 --> 00:01:24.760]  就是未來這個學期裏面
[00:01:24.760 --> 00:01:28.360]  一些通識的課本裏面有很多的內容
