
[00:00:00.000 --> 00:00:02.800]  我們剛剛講完一卷書,叫做什麼書呀?
[00:00:02.800 --> 00:00:06.400]  羅馬書,沒錯啦,我們將會進入什麼書呀?
[00:00:06.400 --> 00:00:08.900]  加拉太書呀
[00:00:08.900 --> 00:00:13.100]  今天講題是《拆穿假貨》
[00:00:13.100 --> 00:00:16.700]  如果大家記得,上個月呢,Pastor Edmond從...
[00:00:16.700 --> 00:00:20.900]  是從這個新加坡和Pastor Edmond來到香港
[00:00:20.900 --> 00:00:25.600]  去到我們教會,有一個崇拜的分享啦
[00:00:25.600 --> 00:00:29.600]  並且呢,有我們領袖的侍奉的分享
[00:00:29.600 --> 00:00:32.100]  結束之後呢,我們一家呢,一月過往
[00:00:32.100 --> 00:00:36.200]  都會請Pastor Edmond,Pastor Ed 款待去喫個飯
[00:00:36.200 --> 00:00:38.400]  之後呢,他們就會離開香港啦
[00:00:38.400 --> 00:00:42.400]  以往呢,我女兒都在這兒,因爲今年呢,我女兒去了美國
[00:00:42.400 --> 00:00:45.900]  所以呢,剩下我兒子啦,和我們兩個一起去喫飯
[00:00:45.900 --> 00:00:47.900]  我們專門選一家比較好的餐廳
[00:00:47.900 --> 00:00:50.400]  因爲多謝他這樣來服侍我們啦
[00:00:50.400 --> 00:00:54.400]  那坐下的時候,Pastor Ed 呢,就非常之客氣啦
[00:00:54.400 --> 00:00:56.800]  就在這兒聊聊天,就和我講啦,哇!
[00:00:56.800 --> 00:00:58.900]  因爲他已經沒回香港幾年啦
[00:00:58.900 --> 00:01:00.500]  見到我兒子,長大了很多
[00:01:00.500 --> 00:01:05.700]  他就說,哇!你兒子好像韓星一樣啊
[00:01:05.700 --> 00:01:08.000]  大家覺得是嗎?
[00:01:08.000 --> 00:01:12.000]  大家覺得是不是因爲,其實像他爸爸啊?
[00:01:12.000 --> 00:01:13.500]  大家好像不是很同意啊
[00:01:13.500 --> 00:01:15.100]  有個比較好的,肋頭
[00:01:15.100 --> 00:01:17.700]  大部分都沒有肋頭啊,我都明白的
[00:01:17.700 --> 00:01:21.200]  那大家聊完聊,開心完一會兒呢,就開始點餐啦
[00:01:21.200 --> 00:01:24.700]  那當時呢,Pastor Ed 呢,和我兒子點了同樣的食物
[00:01:24.700 --> 00:01:27.500]  就是點了個Seafood Risotto
[00:01:27.500 --> 00:01:29.400]  就是這個海鮮意大利飯
[00:01:29.400 --> 00:01:33.800]  那裏面呢,就寫了有龍蝦啦,有帶子和蝦的
[00:01:33.800 --> 00:01:35.700]  那我們點完之後,那些食物就來了
[00:01:35.700 --> 00:01:39.600]  那當然來就先給Pastor Ed 同樣的食物
[00:01:39.600 --> 00:01:42.900]  Lady first time,一喫呢,我兒子就過來了
[00:01:42.900 --> 00:01:44.700]  那我來到時候呢,突然間呢
[00:01:44.700 --> 00:01:48.200]  我兒子呢,看一看這個Seafood Risotto
[00:01:48.200 --> 00:01:50.700]  他突然間就舉手了,哎!麻煩,那麼有禮貌啦
[00:01:50.700 --> 00:01:52.100]  那就叫個侍應來了
[00:01:52.100 --> 00:01:56.000]  哎!不好意思,剛纔呢,我是叫到Seafood Risotto的
[00:01:56.000 --> 00:01:58.500]  那上面呢,講到有龍蝦,蝦和帶子的
[00:01:58.500 --> 00:02:04.400]  我想問一問呢,龍蝦和帶子在哪兒啊?
[00:02:04.400 --> 00:02:07.000]  那跟着呢,那個侍應看一看,嗯!
[00:02:07.000 --> 00:02:09.500]  那就有點尷尬,因爲其實他也是受害的
[00:02:09.500 --> 00:02:13.000]  因爲那間餐廳比較好啦,我們都期待應該有龍蝦和帶子的
[00:02:13.000 --> 00:02:17.200]  不過又想不到我兒子會舉手問東西,當時怕什麼
[00:02:17.200 --> 00:02:19.700]  那跟着侍應就進了廚房問啦
[00:02:19.700 --> 00:02:22.800]  問完之後就出來了,那就在我兒子旁邊說啦
[00:02:22.800 --> 00:02:27.000]  就說,嗯!那個廚師說了,這個龍蝦和帶子呢
[00:02:27.000 --> 00:02:32.200]  其實呢,它斬成很小一粒,之後埋藏在飯裏面
[00:02:32.200 --> 00:02:34.400]  哦!這樣這樣,那他就走開了
[00:02:34.400 --> 00:02:36.200]  那我兒子再看一看,跟着就叫他來
[00:02:36.200 --> 00:02:38.400]  哎!不好意思,不如你告訴我聽
[00:02:38.400 --> 00:02:42.200]  你撥一撥,看一看埋藏在飯哪裏啊,這樣
[00:02:42.200 --> 00:02:44.300]  哇!我覺得很厲害啊
