
[00:00:00.000 --> 00:00:02.540]  弟兄姊妹 內賓你們好
[00:00:02.540 --> 00:00:06.280]  我們來到三月尾這個後半期期間
[00:00:06.280 --> 00:00:09.760]  我們就會開始一個新的系列
[00:00:09.760 --> 00:00:14.160]  就是不一樣的復活節
[00:00:14.160 --> 00:00:17.040]  題目是「視點二十二十」
[00:00:17.040 --> 00:00:19.200]  很高興今天可以再次從
[00:00:19.200 --> 00:00:23.200]  《勞加福音》十八章三十一節開始
[00:00:23.200 --> 00:00:25.600]  開始和大家分享
[00:00:25.600 --> 00:00:32.320]  耶穌從耶利哥城走進耶路撒冷城
[00:00:32.320 --> 00:00:34.400]  所發生的故事
[00:00:34.400 --> 00:00:38.600]  我們在日常生活中
[00:00:38.600 --> 00:00:40.880]  往往都會遇到一些
[00:00:40.880 --> 00:00:45.520]  駕車遇到一些情況
[00:00:45.520 --> 00:00:50.480]  這個情況很多時候是遇到惡劣的天氣
[00:00:50.480 --> 00:00:53.680]  我們往往會走去駕車的時候
[00:00:53.680 --> 00:00:57.040]  會遇到一些風雪或者大霧的情況
[00:00:57.040 --> 00:00:59.200]  我們都很想很快地
[00:00:59.200 --> 00:01:02.480]  又安全又快地去到我們的目的地
[00:01:02.480 --> 00:01:05.520]  但是往往都遇到這些天氣的因素
[00:01:05.520 --> 00:01:07.120]  我們要小心一點駕
[00:01:07.120 --> 00:01:12.080]  有時會擔心安全的問題
[00:01:12.080 --> 00:01:16.640]  在過去前年2018年5月份期間
[00:01:16.640 --> 00:01:19.920]  美國機械工程師會議當中
[00:01:19.920 --> 00:01:26.640]  有一個研究
[00:01:26.640 --> 00:01:29.520]  MIT發表了一篇研究論文
[00:01:29.520 --> 00:01:31.520]  在這篇研究論文當中
[00:01:31.520 --> 00:01:44.400]  提到一種新的雷達測試距離的技術
[00:01:44.400 --> 00:01:49.280]  這種技術可以穿過霧水
[00:01:49.280 --> 00:01:54.560]  令光子穿過霧水反彈回到攝錄機
[00:01:54.560 --> 00:02:00.240]  從相差的時間發射和接收的時間
[00:02:00.240 --> 00:02:05.280]  可以計算前面的車和我們的距離有多遠
[00:02:05.280 --> 00:02:10.240]  這種技術將來很可能會用到自行車
[00:02:10.240 --> 00:02:12.560]  Robotic Autonomous Vehicle
[00:02:12.560 --> 00:02:16.080]  那些自動的汽車當中
[00:02:16.080 --> 00:02:19.040]  我們往往都很想看得清楚
[00:02:19.040 --> 00:02:20.480]  我們前面的路
[00:02:20.480 --> 00:02:22.480]  但是我們剛剛遇到
[00:02:22.480 --> 00:02:26.400]  今年現在屬靈上面我們遇到一個困難
[00:02:26.400 --> 00:02:28.800]  在這個社會不安的時候
[00:02:28.800 --> 00:02:30.240]  在疫情當中
[00:02:30.240 --> 00:02:33.840]  我們見到一年一度的活動
[00:02:33.840 --> 00:02:37.040]  例如剛才看到很漂亮的櫻花圖片當中
[00:02:37.040 --> 00:02:39.760]  我們的首富運動首富櫻花節
[00:02:39.760 --> 00:02:42.960]  都要被取消的活動要被取消
[00:02:42.960 --> 00:02:45.680]  四年一度的奧運會又要延期
[00:02:45.680 --> 00:02:48.480]  我們當中弟兄姊妹朋友
[00:02:48.480 --> 00:02:50.480]  有可能有些失業的情況
[00:02:50.480 --> 00:02:52.080]  就算是上班的
[00:02:52.080 --> 00:02:55.520]  往往都會擔心會不會染到病
[00:02:55.520 --> 00:02:59.680]  尤其是我們都為前線的醫護人員在討局
[00:02:59.680 --> 00:03:05.840]  因為他們都遇到很多不明朗的情況之下
[00:03:05.840 --> 00:03:10.080]  去過接下來這個復活節
[00:03:10.080 --> 00:03:11.440]  我們從今天開始
[00:03:11.440 --> 00:03:14.480]  從勞家福音從四個注入當中
[00:03:14.480 --> 00:03:17.200]  去學習一個訊息
[00:03:17.200 --> 00:03:18.480]  學習一個訊息
[00:03:18.480 --> 00:03:23.200]  今天就從第十八章三十一節開始
[00:03:23.200 --> 00:03:25.040]  我們的訊息就是
[00:03:25.040 --> 00:03:30.000]  究竟我們在這個不安的情況當中
[00:03:30.000 --> 00:03:35.040]  我們怎樣才看得清楚神救恩的計劃
[00:03:35.040 --> 00:03:38.640]  又或者問我們這班基督徒
[00:03:38.640 --> 00:03:40.640]  或者是微信主義的朋友
[00:03:40.640 --> 00:03:42.560]  可以怎樣看得出
[00:03:42.560 --> 00:03:45.520]  怎樣可以明白到
[00:03:45.520 --> 00:03:49.360]  知道確認我們在神的計劃裏面是有份
[00:03:49.360 --> 00:03:51.360]  我們做一個祈禱
