
[00:00:00.000 --> 00:00:02.000]  今天要分享的題目是
[00:00:02.000 --> 00:00:06.000]  耶穌是世界的真光
[00:00:06.000 --> 00:00:07.000]  因為經文有點長
[00:00:07.000 --> 00:00:09.000]  我們就不在這裡讀了
[00:00:09.000 --> 00:00:11.000]  我是待會會簡單的介紹一下
[00:00:11.000 --> 00:00:13.000]  這個經文裡面的內容
[00:00:13.000 --> 00:00:15.000]  講了一個什麼樣的事情
[00:00:15.000 --> 00:00:18.000]  那講這個經文之前呢
[00:00:18.000 --> 00:00:22.000]  我相信大家都有去過北京
[00:00:22.000 --> 00:00:23.000]  都有嗎?
[00:00:23.000 --> 00:00:24.000]  如果你沒有去過北京
[00:00:24.000 --> 00:00:27.000]  大概也有感受過霧霾
[00:00:27.000 --> 00:00:29.000]  知道什麼是霧霾
[00:00:29.000 --> 00:00:33.000]  那我曾經在網上有看到
[00:00:33.000 --> 00:00:34.000]  有人發一個圖片
[00:00:34.000 --> 00:00:38.000]  那個圖片是寫著背景兩個字
[00:00:38.000 --> 00:00:40.000]  那這個背景兩個字後面是什麼呢
[00:00:40.000 --> 00:00:42.000]  就是一片的霧霾
[00:00:42.000 --> 00:00:47.000]  那偶爾隱約的看到一點點的北京的樓
[00:00:47.000 --> 00:00:49.000]  不過這個背景這兩個字呢
[00:00:49.000 --> 00:00:53.000]  中間那個背字下面的那個月
[00:00:53.000 --> 00:00:56.000]  跟那個井上面的那個日就不見了
[00:00:56.000 --> 00:00:58.000]  然後它下面有一句話寫著說
[00:00:58.000 --> 00:01:00.000]  他想要什麼呢
[00:01:00.000 --> 00:01:07.000]  他想要看到的是一個有日月的北京
[00:01:07.000 --> 00:01:09.000]  而不是一個沒有
[00:01:09.000 --> 00:01:12.000]  他想有看到有日月的背景
[00:01:12.000 --> 00:01:16.000]  而不是看到一個沒有日月的北京
[00:01:16.000 --> 00:01:19.000]  所以在今天我們常常都會
[00:01:19.000 --> 00:01:21.000]  雖然在白天的時候
[00:01:21.000 --> 00:01:24.000]  我們都好像感覺在黑夜裡面
[00:01:24.000 --> 00:01:25.000]  如果你有去過北京
[00:01:25.000 --> 00:01:28.000]  你會更深的那種感受就是說
[00:01:28.000 --> 00:01:30.000]  真的是昏天暗地的
[00:01:30.000 --> 00:01:32.000]  你看不到前面的路
[00:01:32.000 --> 00:01:34.000]  那個樓全部都不見了
[00:01:34.000 --> 00:01:36.000]  找不到路找不到方向的
[00:01:36.000 --> 00:01:39.000]  那所以我們都有這樣的一個經驗
[00:01:39.000 --> 00:01:41.000]  在黑暗裡面我們都認不清方向
[00:01:41.000 --> 00:01:43.000]  我們都很迷茫
[00:01:43.000 --> 00:01:49.000]  那有人說如果沒有愛迪生
[00:01:49.000 --> 00:01:52.000]  人們今天還是活在這個黑暗裡面
[00:01:52.000 --> 00:01:55.000]  你同意嗎
[00:01:55.000 --> 00:01:58.000]  為什麼不同意
[00:01:58.000 --> 00:02:00.000]  有了愛迪生又怎麼樣
[00:02:00.000 --> 00:02:04.000]  也有可能活在黑暗裡面
[00:02:04.000 --> 00:02:05.000]  所以我也是不同意
[00:02:05.000 --> 00:02:07.000]  我覺得說有了愛迪生
[00:02:07.000 --> 00:02:09.000]  如果沒有耶穌的話
[00:02:09.000 --> 00:02:14.000]  人們仍然是活在黑暗裡面
[00:02:14.000 --> 00:02:15.000]  所以活在黑暗裡面
[00:02:15.000 --> 00:02:19.000]  不是說只是外面環境的黑暗而已
[00:02:19.000 --> 00:02:21.000]  也有可能是裡面的那種黑暗
[00:02:21.000 --> 00:02:26.000]  裡面的黑暗比外面的黑暗可能是更大的
[00:02:26.000 --> 00:02:28.000]  在這段經文裡面
[00:02:28.000 --> 00:02:30.000]  其實他講了一個很重要的主題
[00:02:30.000 --> 00:02:31.000]  不只是這段經文
[00:02:31.000 --> 00:02:35.000]  其實在整個的約翰福音裡面
[00:02:35.000 --> 00:02:37.000]  都講了一個很重要的主題
[00:02:37.000 --> 00:02:40.000]  就是光
[00:02:40.000 --> 00:02:44.000]  特別在第八章裡面你會看到說
[00:02:44.000 --> 00:02:50.000]  耶穌宣佈他是這個世界的光
[00:02:50.000 --> 00:02:53.000]  在第八章裡面有講這個主題
[00:02:53.000 --> 00:02:55.000]  所以在約翰福音裡面
[00:02:55.000 --> 00:02:58.000]  耶穌有好幾個的宣告
[00:02:58.000 --> 00:03:00.000]  一共有七個的宣告
[00:03:00.000 --> 00:03:02.000]  其中一個的宣告就是說
[00:03:02.000 --> 00:03:05.000]  我是世界的光
