
[00:00:00.000 --> 00:00:02.000]  帶領姐妹平安
[00:00:02.000 --> 00:00:05.000]  很高興我們可以一同敬拜主
[00:00:05.000 --> 00:00:07.000]  我們先一齊祈禱
[00:00:07.000 --> 00:00:09.000]  真是天父我們感謝祢自己的恩典
[00:00:09.000 --> 00:00:11.000]  致命我們有主一位清神
[00:00:11.000 --> 00:00:13.000]  可以在這裡聚集敬拜祢
[00:00:13.000 --> 00:00:15.000]  聆聽祢自己的話語
[00:00:15.000 --> 00:00:18.000]  祢求聖靈在我們心裏面動功
[00:00:18.000 --> 00:00:21.000]  幫助我們認識祢更多
[00:00:21.000 --> 00:00:22.000]  加強我們的信心
[00:00:22.000 --> 00:00:23.000]  愛祢更多
[00:00:23.000 --> 00:00:25.000]  信服祢更多
[00:00:25.000 --> 00:00:27.000]  奉耶穌基督的名祈禱
[00:00:27.000 --> 00:00:30.000]  阿門
[00:00:30.000 --> 00:00:34.000]  不知不覺我們已經進入十二月了
[00:00:34.000 --> 00:00:38.000]  2020年是很難過的一年
[00:00:38.000 --> 00:00:43.000]  我們的生活節奏完全被疫情打亂了
[00:00:43.000 --> 00:00:45.000]  甚至我們的崇拜方式
[00:00:45.000 --> 00:00:47.000]  都要在一段時間裏面停止
[00:00:47.000 --> 00:00:50.000]  改為在網上崇拜
[00:00:50.000 --> 00:00:52.000]  感謝主啊
[00:00:52.000 --> 00:00:56.000]  澳洲在控制疫情方面都做得很好
[00:00:56.000 --> 00:01:01.000]  以致我們在八月已經可以恢復實體崇拜
[00:01:01.000 --> 00:01:06.000]  現在更加可以放寬到可以唱詩歌
[00:01:06.000 --> 00:01:09.000]  由於聖誕節將近
[00:01:09.000 --> 00:01:11.000]  我就想從馬太福音
[00:01:11.000 --> 00:01:15.000]  跟大家講一些有關主耶穌的訊息
[00:01:15.000 --> 00:01:17.000]  今天的主題是
[00:01:17.000 --> 00:01:22.000]  主耶穌是來自一個不平凡的家系
[00:01:22.000 --> 00:01:25.000]  所以我們看了一大堆的人名
[00:01:25.000 --> 00:01:29.000]  都是主耶穌肉身的祖先
[00:01:29.000 --> 00:01:31.000]  對我們來說
[00:01:31.000 --> 00:01:35.000]  用一個這麼長的續譜開始講福音
[00:01:35.000 --> 00:01:37.000]  真的很奇怪
[00:01:37.000 --> 00:01:42.000]  為什麼馬太會用一個續譜開始呢?
[00:01:42.000 --> 00:01:45.000]  在第一世紀的時候的猶太人
[00:01:45.000 --> 00:01:51.000]  其實正在盼望彌賽亞救世主的降臨
[00:01:51.000 --> 00:01:54.000]  彌賽亞是摩西和舊約才知道
[00:01:54.000 --> 00:01:59.000]  包括以賽亞先知所預言將來會來的
[00:01:59.000 --> 00:02:03.000]  而作者馬太就是要向當代的猶太人
[00:02:03.000 --> 00:02:07.000]  表明耶穌就是彌賽亞
[00:02:07.000 --> 00:02:11.000]  我們要問當彌賽亞來的時候
[00:02:11.000 --> 00:02:19.000]  有什麼身份證明可以顯出祂就是彌賽亞呢?
[00:02:19.000 --> 00:02:23.000]  其實有好幾個重要的身份證明
[00:02:23.000 --> 00:02:30.000]  第一,彌賽亞必須是像摩西的先知
[00:02:30.000 --> 00:02:33.000]  因為摩西曾經說過
[00:02:33.000 --> 00:02:35.000]  在《新命紀》十八章十五節說
[00:02:35.000 --> 00:02:39.000]  「耶和華,你的上帝要從你弟兄中
[00:02:39.000 --> 00:02:46.000]  給你興起一位先知像我,你們要聽他」
[00:02:46.000 --> 00:02:49.000]  要證明耶穌是像摩西
[00:02:49.000 --> 00:02:53.000]  那麼摩西是做過什麼事呢?
[00:02:53.000 --> 00:02:57.000]  耶穌是怎樣像摩西的呢?
[00:02:57.000 --> 00:03:00.000]  摩西當然是做過很多很重要的事
[00:03:00.000 --> 00:03:05.000]  而其中一樣就是寫下了摩西五經
[00:03:05.000 --> 00:03:08.000]  摩西五經對希伯來人來說
[00:03:08.000 --> 00:03:11.000]  是非常重要的經典
