
[00:00:00.000 --> 00:00:04.400]  時間關係我會直接進入到經文裏面
[00:00:04.400 --> 00:00:06.080]  在經文裏面
[00:00:06.080 --> 00:00:09.060]  這次到了猶太的一個節期
[00:00:09.060 --> 00:00:11.200]  耶穌上耶路撒冷
[00:00:11.200 --> 00:00:17.080]  聖經沒有很清楚講這是甚麼節期
[00:00:17.080 --> 00:00:19.960]  有可能是愉節
[00:00:19.960 --> 00:00:22.780]  但亦有可能是駐彭節
[00:00:22.780 --> 00:00:25.400]  不過其實在這裏不重要
[00:00:25.400 --> 00:00:28.520]  這個背景的重點是甚麼呢
[00:00:28.520 --> 00:00:31.320]  就是說其實一個節期的時候
[00:00:31.320 --> 00:00:34.800]  就會有很多人去耶路撒冷的地方
[00:00:34.800 --> 00:00:37.360]  因為猶太人一年有三個節期
[00:00:37.360 --> 00:00:42.640]  就算他平時不去耶路撒冷去獻祭敬拜神
[00:00:42.640 --> 00:00:45.720]  因為有很多人不是住在耶路撒冷的
[00:00:45.720 --> 00:00:49.160]  他們住在周圍可能是二十三十五十公里
[00:00:49.160 --> 00:00:52.920]  所以他們沒有辦法能夠事實上去到耶路撒冷
[00:00:52.920 --> 00:00:55.120]  但是一年有三個節期
[00:00:55.120 --> 00:00:56.360]  他們很重視的
[00:00:56.360 --> 00:01:00.840]  就是駐彭節、愉節還有另外一個節期
[00:01:00.840 --> 00:01:03.040]  正如我們在教會裏面
[00:01:03.040 --> 00:01:04.940]  有時我們都會見到弟兄姊妹
[00:01:04.940 --> 00:01:06.880]  「復活節見到你」
[00:01:06.880 --> 00:01:08.920]  「聖誕節又見到你」
[00:01:08.920 --> 00:01:11.280]  可能母親節、父親節又見到你
[00:01:11.280 --> 00:01:14.600]  其他的節日或者主日崇拜是見不到的
[00:01:14.600 --> 00:01:15.280]  是吧
[00:01:15.280 --> 00:01:18.240]  在猶太人一樣有這樣的情況
[00:01:18.240 --> 00:01:19.760]  重點就是說
[00:01:19.760 --> 00:01:23.840]  當時有很多很多人去到耶路撒冷的地方
[00:01:23.840 --> 00:01:28.760]  在第二節他說在耶路撒冷靠近一個叫楊門
[00:01:28.760 --> 00:01:30.240]  有一個詞子
[00:01:30.240 --> 00:01:33.440]  希伯來話叫做「不事大」
[00:01:33.440 --> 00:01:37.920]  首先我每一次看見這個楊門第五章
[00:01:37.920 --> 00:01:40.200]  聽見這個詞叫「不事大」
[00:01:40.200 --> 00:01:41.560]  我就想一下不是很大
[00:01:41.560 --> 00:01:44.000]  當然這個詞就不是這個意思
[00:01:44.000 --> 00:01:48.160]  其實這個詞究竟真真正正的名字是什麼呢?
[00:01:48.160 --> 00:01:50.560]  其實學者都有很不同的看法
[00:01:50.560 --> 00:01:55.080]  例如它會是一個叫做「憐憫的詞」
[00:01:55.080 --> 00:01:57.200]  英文叫做「Pool of Mercy」
[00:01:57.200 --> 00:01:58.560]  這個是挺好的
[00:01:58.560 --> 00:01:59.720]  為什麼挺好的呢?
[00:01:59.720 --> 00:02:01.440]  一會兒我繼續跟大家去分享
[00:02:01.440 --> 00:02:03.600]  你就會明白這個名稱是不錯的
[00:02:03.600 --> 00:02:04.880]  「憐憫的詞」
[00:02:04.880 --> 00:02:07.880]  但是其實有一些另外的名稱
[00:02:07.880 --> 00:02:10.480]  就是叫做「流出的意思」
[00:02:10.480 --> 00:02:12.120]  就是有水流出來的
[00:02:12.120 --> 00:02:14.640]  究竟哪個才是對呢?
[00:02:14.640 --> 00:02:18.040]  聖經這裡其實沒有一個很肯定的指出的
[00:02:18.040 --> 00:02:22.800]  但是如果我們看回整個經文的結構
[00:02:22.800 --> 00:02:24.440]  它裡面就說有一個楊門
[00:02:24.440 --> 00:02:25.440]  楊門是什麼意思呢?
[00:02:25.440 --> 00:02:27.520]  楊門就和羊有關係的
[00:02:27.520 --> 00:02:29.760]  一般的學者認為這個楊門
[00:02:29.760 --> 00:02:32.640]  就是附近有一個羊的市場
[00:02:32.640 --> 00:02:36.760]  你可能問為什麼聖殿附近的一個門
[00:02:36.760 --> 00:02:38.520]  那裡有一個羊的市場呢?
[00:02:38.520 --> 00:02:40.800]  很自然就會連帶到什麼呢?
[00:02:40.800 --> 00:02:42.680]  就是賣羊
[00:02:42.680 --> 00:02:43.680]  用來做什麼呢?
[00:02:43.680 --> 00:02:45.360]  用來獻祭用的
[00:02:45.360 --> 00:02:47.400]  所以很多人認為
[00:02:47.400 --> 00:02:49.960]  這個池水是有一個用途的
[00:02:49.960 --> 00:02:51.280]  為什麼叫做楊門呢?
[00:02:51.280 --> 00:02:53.360]  楊門就沒有什麼錯的了
[00:02:53.360 --> 00:02:56.760]  就是那些人會帶羊去那裡可能喝水
[00:02:56.760 --> 00:02:59.360]  或者可能去清潔一下它
[00:02:59.360 --> 00:03:01.600]  以致到當它獻祭的時候
[00:03:01.600 --> 00:03:03.360]  祭祀檢查這隻羊
[00:03:03.360 --> 00:03:04.600]  覺得它是合格的
[00:03:04.600 --> 00:03:05.880]  如果不是就不合格
[00:03:05.880 --> 00:03:08.720]  要去到聖殿那裡再買的了
[00:03:08.720 --> 00:03:12.080]  所以這個地方你去想像一下
[00:03:12.080 --> 00:03:14.920]  它裡面講到這個水池
[00:03:14.920 --> 00:03:18.000]  這個水池旁邊有五個儲囊
[00:03:18.000 --> 00:03:19.120]  什麼叫儲囊呢?
[00:03:19.120 --> 00:03:21.440]  儲囊的意思就是有儲的囊
[00:03:21.440 --> 00:03:23.440]  其實用來做什麼呢?
[00:03:23.440 --> 00:03:25.080]  原來這個池很特別的
[00:03:25.080 --> 00:03:27.360]  這個池它不是只有一個水池
[00:03:27.360 --> 00:03:29.000]  它是兩個的水池
[00:03:29.000 --> 00:03:31.040]  中間是隔開的
[00:03:31.040 --> 00:03:32.640]  有些學者認為
[00:03:32.640 --> 00:03:35.600]  一個池不夠所以要多掘一個池
[00:03:35.600 --> 00:03:37.400]  那麼你用這麼多池來做什麼呢?
[00:03:37.400 --> 00:03:39.400]  是不是用來洗羊呢?
[00:03:39.400 --> 00:03:41.880]  原來是有它的原因在這裡的
[00:03:41.880 --> 00:03:44.160]  那麼這個兩個水池
[00:03:44.160 --> 00:03:47.480]  在旁邊聚集了很多人在這裡
[00:03:47.480 --> 00:03:49.080]  究竟他們在這裡做什麼呢?
[00:03:49.080 --> 00:03:50.840]  還要上面有柱子
[00:03:50.840 --> 00:03:52.120]  是有蓋的
[00:03:52.120 --> 00:03:53.080]  有一個棚的
[00:03:53.080 --> 00:03:54.440]  那些當然不是僭建
[00:03:54.440 --> 00:03:55.680]  就是有一個棚在這裡的
[00:03:55.680 --> 00:03:56.920]  有柱有棚的
[00:03:56.920 --> 00:04:00.720]  讓那些人在那裡能夠可以癱瘓一下
[00:04:00.720 --> 00:04:03.640]  因為這個經文裡面第三節
[00:04:03.640 --> 00:04:06.760]  它就說裡面躺著許多病人
[00:04:06.760 --> 00:04:10.520]  有失明的、瘸腿的、癱瘓的
[00:04:10.520 --> 00:04:14.560]  通常你在什麼地方才會見到這麼多病人呢?
[00:04:14.560 --> 00:04:16.360]  什麼地方呢?
[00:04:16.360 --> 00:04:18.440]  醫院都未必
[00:04:18.440 --> 00:04:20.440]  是急症室那裡
[00:04:20.440 --> 00:04:21.160]  是不是?
[00:04:21.160 --> 00:04:25.120]  你好像醫院有些地方可能是沒什麼人的
[00:04:25.120 --> 00:04:26.160]  有限的地方
[00:04:26.160 --> 00:04:27.200]  除非你上病房
[00:04:27.200 --> 00:04:29.080]  但是當你去急症室的時候
[00:04:29.080 --> 00:04:31.640]  你會見到很多人在那裡等候醫治
[00:04:31.640 --> 00:04:33.280]  間中我也會去急症室
[00:04:33.280 --> 00:04:35.600]  其實那個場面真的不是很好看的
[00:04:35.600 --> 00:04:37.480]  有些人進來急症室
[00:04:37.480 --> 00:04:39.120]  就是流著血、啪啪聲
[00:04:39.120 --> 00:04:40.320]  快點
[00:04:40.320 --> 00:04:41.640]  還有一些叫救命
[00:04:41.640 --> 00:04:43.440]  哎呀 醫生啊
[00:04:43.440 --> 00:04:44.640]  有沒有護士啊
[00:04:44.640 --> 00:04:45.320]  在那裡叫
[00:04:45.320 --> 00:04:47.200]  有些就坐在那裡發呆
[00:04:47.200 --> 00:04:47.760]  在那裡等
[00:04:47.760 --> 00:04:49.160]  因為已經等了幾個小時
[00:04:49.160 --> 00:04:50.240]  幾個小時
[00:04:50.240 --> 00:04:52.040]  在這個地方的場景
[00:04:52.040 --> 00:04:54.080]  就是裡面有些人有失明的
[00:04:54.080 --> 00:04:55.880]  瘸腿的、癱瘓的
[00:04:55.880 --> 00:04:58.080]  全部都不是很能動的
[00:04:58.080 --> 00:04:58.800]  對不對?
[00:04:58.800 --> 00:05:01.040]  失明人士去到水池
[00:05:01.040 --> 00:05:02.520]  他不會到處走的
[00:05:02.520 --> 00:05:03.880]  他可能有個地方
[00:05:03.880 --> 00:05:05.120]  他就坐在那裡
[00:05:05.120 --> 00:05:05.840]  坐定定的
