
[00:00:00.000 --> 00:00:02.000]  讓我們先做一次同心祈禱
[00:00:02.000 --> 00:00:07.740]  因著我們獻上感恩
[00:00:07.740 --> 00:00:11.200]  特別為著今天有這麼美麗的陽光
[00:00:11.200 --> 00:00:14.540]  也有這麼舒服的禮堂讓我們崇拜
[00:00:14.540 --> 00:00:16.540]  我們衷心獻上感謝
[00:00:16.540 --> 00:00:19.540]  願祢賜福我們每一個
[00:00:19.540 --> 00:00:21.540]  也在當中向我們說話
[00:00:21.540 --> 00:00:24.100]  由原僕人口中的言語
[00:00:24.100 --> 00:00:26.100]  弟兄姊妹之間的心思意念
[00:00:26.100 --> 00:00:28.100]  蒙聖靈的啟迪蒙主的月立
[00:00:28.100 --> 00:00:30.100]  禱告奉耶穌基督的名
[00:00:30.100 --> 00:00:32.100]  阿們
[00:00:58.100 --> 00:01:00.100]  所以可能是新回來的小朋友
[00:01:00.100 --> 00:01:02.100]  媽媽也不太明白
[00:01:02.100 --> 00:01:04.100]  也不太知道
[00:01:04.100 --> 00:01:06.100]  媽媽就很簡單的回答
[00:01:06.100 --> 00:01:08.100]  三一就是三一
[00:01:08.100 --> 00:01:10.100]  總之就像三一萬能俠
[00:01:10.100 --> 00:01:12.100]  當時我看一看媽媽
[00:01:12.100 --> 00:01:14.100]  第一就是這樣解釋很奇怪
[00:01:14.100 --> 00:01:16.100]  小朋友怎麼知道三一萬能俠呢
[00:01:16.100 --> 00:01:18.100]  如果不是那個年紀的話
[00:01:18.100 --> 00:01:20.100]  知道的話應該跟我差不多年紀
[00:01:20.100 --> 00:01:22.100]  以前是卡通片
[00:01:22.100 --> 00:01:24.100]  小朋友說什麼來的
[00:01:24.100 --> 00:01:26.100]  我就很想上前去解釋清楚
[00:01:26.100 --> 00:01:28.100]  給這個媽媽知道
[00:01:28.100 --> 00:01:30.100]  其實不應該這樣解釋的
[00:01:30.100 --> 00:01:32.100]  但是我被他們的傳道人抓走了
[00:01:32.100 --> 00:01:34.100]  沒機會解釋
[00:01:34.100 --> 00:01:36.100]  有時候也是一個難題
[00:01:36.100 --> 00:01:38.100]  什麼叫三一呢
