
[00:00:00.000 --> 00:00:03.000]  有很多人都不相信這些是預言
[00:00:03.000 --> 00:00:08.000]  他們說是後來有人將這些話
[00:00:08.000 --> 00:00:11.000]  擺在聖經裏面
[00:00:11.000 --> 00:00:13.000]  說得好像預言一樣
[00:00:13.000 --> 00:00:15.000]  其實不是預言
[00:00:15.000 --> 00:00:18.000]  這個我在達爾利書的介紹
[00:00:18.000 --> 00:00:20.000]  都跟大家講過
[00:00:20.000 --> 00:00:22.000]  是沒有可能的
[00:00:22.000 --> 00:00:24.000]  但是我相信
[00:00:24.000 --> 00:00:26.000]  有很多人都相信
[00:00:26.000 --> 00:00:29.000]  達爾利書的介紹都跟大家講過
[00:00:29.000 --> 00:00:31.000]  是沒有可能的
[00:00:31.000 --> 00:00:33.000]  如果大家想知道的
[00:00:33.000 --> 00:00:38.000]  你可以聽我介紹的那一個講道
[00:00:38.000 --> 00:00:42.000]  其實神的話語真的很準確
[00:00:42.000 --> 00:00:45.000]  準確到差不多神說出來
[00:00:45.000 --> 00:00:47.000]  其實就可以將這些話
[00:00:47.000 --> 00:00:49.000]  寫在歷史書上
[00:00:49.000 --> 00:00:52.000]  因爲這些事一定會發生
[00:00:52.000 --> 00:00:56.000]  講的話就算數
[00:00:56.000 --> 00:00:59.000]  達爾利書七至十二章
[00:00:59.000 --> 00:01:03.000]  我們講過是達爾利自己的意象
[00:01:03.000 --> 00:01:06.000]  他不再和別人解夢
[00:01:06.000 --> 00:01:08.000]  不再和別人解異象
[00:01:08.000 --> 00:01:10.000]  是他自己的異象
[00:01:10.000 --> 00:01:14.000]  所以經文不再用第三位的文法來寫
[00:01:14.000 --> 00:01:17.000]  而是用第一位的文法來寫
[00:01:17.000 --> 00:01:20.000]  而如果你看第七至十二章
[00:01:20.000 --> 00:01:22.000]  時間是有點亂
[00:01:22.000 --> 00:01:26.000]  因爲是達爾利自己的異象
[00:01:26.000 --> 00:01:28.000]  將它好像一個負六一樣
[00:01:28.000 --> 00:01:32.000]  擺在七至十二章
[00:01:32.000 --> 00:01:34.000]  而其實我們應該做的
[00:01:34.000 --> 00:01:37.000]  就是將七至十二章的這些異象
[00:01:37.000 --> 00:01:42.000]  擺在一至六章的歷史程序裏
[00:01:42.000 --> 00:01:46.000]  一至六章我說是歷史的記載
[00:01:46.000 --> 00:01:48.000]  但其實裏面有很多語言
[00:01:48.000 --> 00:01:53.000]  不過它是根據歷史的時間性來安排
