
[00:00:00.000 --> 00:00:03.100]  踏入七月份第一個主日
[00:00:03.100 --> 00:00:05.700]  即是說我們一年過了多少了?
[00:00:05.700 --> 00:00:07.100]  過了一半了
[00:00:07.100 --> 00:00:09.800]  現在去到第二半年了
[00:00:09.800 --> 00:00:13.000]  真的過得太快了
[00:00:13.000 --> 00:00:16.500]  2022年過了一半又多了
[00:00:16.500 --> 00:00:19.000]  所以我們真的要把握光陰
[00:00:19.000 --> 00:00:20.500]  數算我們的日子
[00:00:20.500 --> 00:00:23.000]  求神賜給我們智慧的心
[00:00:23.000 --> 00:00:25.000]  讓我們能夠可以
[00:00:25.000 --> 00:00:26.500]  作他的善工
[00:00:26.500 --> 00:00:28.000]  把握機會
[00:00:28.000 --> 00:00:29.500]  見證主明
[00:00:29.500 --> 00:00:35.000]  過一過永神益人的人生
[00:00:35.000 --> 00:00:38.500]  這個July 4th是我們的國慶
[00:00:38.500 --> 00:00:41.000]  一定也提到
[00:00:41.000 --> 00:00:42.500]  我們國家的憲法
[00:00:42.500 --> 00:00:45.000]  因為這個是很重要的基礎
[00:00:45.000 --> 00:00:47.000]  最近我們都聽到
[00:00:47.000 --> 00:00:50.000]  新聞了解狀況
[00:00:50.000 --> 00:00:52.000]  這些憲法的解讀
[00:00:52.000 --> 00:00:55.000]  好像重新來修正
[00:00:55.000 --> 00:00:57.500]  這個實在是使我們感恩
[00:00:57.500 --> 00:00:59.000]  和興奮的事
[00:00:59.000 --> 00:01:01.500]  當然這個修正就更加希望
[00:01:01.500 --> 00:01:04.000]  能夠去返回神最初的旨意
[00:01:04.000 --> 00:01:06.500]  在憲法的精神量上
[00:01:06.500 --> 00:01:08.000]  不要偏差
[00:01:08.000 --> 00:01:12.000]  讓這個國家能夠可以
[00:01:12.000 --> 00:01:15.500]  更加在一個率領和尾線的基礎上
[00:01:15.500 --> 00:01:18.500]  繼續去繁謀
[00:01:18.500 --> 00:01:21.500]  提到憲法我們知道
[00:01:21.500 --> 00:01:25.000]  我們不單只屬於美國的居民
[00:01:25.000 --> 00:01:26.500]  或者公民
[00:01:26.500 --> 00:01:28.500]  我們也是天國的子民
[00:01:28.500 --> 00:01:31.000]  剛剛師母另外唱了一首詩歌
[00:01:31.000 --> 00:01:33.000]  我們是神的百姓
[00:01:33.000 --> 00:01:35.000]  我們是天國的大使
[00:01:35.000 --> 00:01:36.500]  我們是神的兒女
[00:01:36.500 --> 00:01:38.000]  天國的子民
[00:01:38.000 --> 00:01:40.500]  天國也提到憲法
[00:01:40.500 --> 00:01:44.000]  天國有天國的憲章
[00:01:44.000 --> 00:01:45.500]  如果我們說
[00:01:45.500 --> 00:01:48.000]  如果神的天國的憲章
[00:01:48.000 --> 00:01:49.500]  能夠實現在地上
[00:01:49.500 --> 00:01:51.500]  就正如我們主通文的祈禱
[00:01:51.500 --> 00:01:53.500]  耶穌教我們的禱告
[00:01:53.500 --> 00:01:56.000]  讓神的旨意能夠成就在地
[00:01:56.000 --> 00:01:58.500]  如同天上一樣
[00:01:58.500 --> 00:01:59.500]  換句話說
[00:01:59.500 --> 00:02:02.500]  能夠將天國的憲章
[00:02:02.500 --> 00:02:04.500]  應該人怎樣生活
[00:02:04.500 --> 00:02:06.500]  怎樣面對人生
[00:02:06.500 --> 00:02:09.500]  怎樣有應該有的價值觀
[00:02:09.500 --> 00:02:11.000]  和道德的觀念
[00:02:11.000 --> 00:02:13.500]  和有一個屬天的取向
[00:02:13.500 --> 00:02:16.000]  能夠活在人間的時候
[00:02:16.000 --> 00:02:19.000]  相信這個世界就真是蒙福了
[00:02:19.000 --> 00:02:22.000]  我們不單止有好的國家的憲法
[00:02:22.000 --> 00:02:23.000]  更重要的是
[00:02:23.000 --> 00:02:25.000]  原來有天國的憲章
[00:02:25.000 --> 00:02:27.000]  來引導我們的人生
[00:02:27.000 --> 00:02:28.500]  和我們的國家
[00:02:28.500 --> 00:02:33.000]  這就是最蒙恩的一種情況
[00:02:33.000 --> 00:02:35.000]  所以在主耶穌基督
[00:02:35.000 --> 00:02:36.500]  祂來到這個世界上
[00:02:36.500 --> 00:02:40.000]  祂降生長大
[00:02:40.000 --> 00:02:43.000]  然後出來受洗
[00:02:43.000 --> 00:02:45.000]  祂在曠野
[00:02:45.000 --> 00:02:47.000]  接受魔鬼的試探而得盛
[00:02:47.000 --> 00:02:49.500]  然後祂就開始傳道
[00:02:49.500 --> 00:02:51.500]  傳天國的道理
[00:02:51.500 --> 00:02:54.500]  傳救恩的福音
[00:02:54.500 --> 00:02:56.000]  當祂開始的時候
[00:02:56.000 --> 00:02:59.500]  馬太福音在新約的第一卷書
[00:02:59.500 --> 00:03:04.000]  形容到耶穌是天國的王身份
[00:03:04.000 --> 00:03:07.500]  當天國的王開始宣告
[00:03:07.500 --> 00:03:09.000]  祂的信息的時候
[00:03:09.000 --> 00:03:14.000]  首先祂宣告天國的憲章
[00:03:14.000 --> 00:03:16.000]  所以如果大家熟悉
[00:03:16.000 --> 00:03:17.000]  在馬太福音
[00:03:17.000 --> 00:03:19.500]  從第五章到第七章
[00:03:19.500 --> 00:03:26.000]  這個可以說是天國的憲章的宣告
[00:03:26.000 --> 00:03:28.000]  有說是登山補訓
[00:03:28.000 --> 00:03:29.500]  大家聽過這個名字
[00:03:29.500 --> 00:03:30.500]  應該很熟悉
[00:03:30.500 --> 00:03:33.000]  登山補訓就是耶穌在山上
[00:03:33.000 --> 00:03:36.500]  來向著當時的群眾
[00:03:36.500 --> 00:03:40.500]  來宣佈天國的憲章
[00:03:40.500 --> 00:03:42.000]  大家知道
[00:03:42.000 --> 00:03:44.500]  登山補訓
[00:03:44.500 --> 00:03:47.500]  宣告天國憲章
[00:03:47.500 --> 00:03:52.500]  是以什麼開始呢?
[00:03:52.500 --> 00:03:54.500]  就是以八福開始
[00:03:54.500 --> 00:03:57.500]  所以原來告訴我們
[00:03:57.500 --> 00:03:59.500]  天國的君王宣告
[00:03:59.500 --> 00:04:01.000]  教導天國的子民
[00:04:01.000 --> 00:04:04.500]  應該如何活出天國子民的樣式呢?
[00:04:04.500 --> 00:04:08.500]  原來天國憲章是以福開始的
[00:04:08.500 --> 00:04:10.000]  很貴
[00:04:10.000 --> 00:04:12.000]  因為只是告訴我們
[00:04:12.000 --> 00:04:14.500]  原來屬於天國的子民
[00:04:14.500 --> 00:04:17.000]  活在天國的憲章之下
[00:04:17.000 --> 00:04:20.000]  這種是一種極大的福氣
[00:04:20.000 --> 00:04:22.500]  所以我們作為天國的子民
[00:04:22.500 --> 00:04:25.000]  是一群蒙福的子民
[00:04:25.000 --> 00:04:26.500]  是一群蒙福的百姓
[00:04:26.500 --> 00:04:29.000]  Amen?
[00:04:29.000 --> 00:04:31.000]  原來耶穌基督一開始
[00:04:31.000 --> 00:04:32.000]  告訴我們
