
[00:00:00.000 --> 00:00:01.720]  父親節快樂
[00:00:01.720 --> 00:00:03.520]  我今天做過父親
[00:00:03.520 --> 00:00:05.160]  也現在是做主婦
[00:00:05.160 --> 00:00:09.360]  所以我是特別快樂
[00:00:09.360 --> 00:00:12.080]  而且我今天幾乎是全身新
[00:00:12.080 --> 00:00:14.640]  連我的鞋子都是新的
[00:00:14.640 --> 00:00:16.400]  太棒了
[00:00:16.400 --> 00:00:18.280]  全身都是新的
[00:00:18.280 --> 00:00:21.640]  我們一年一度的父親節
[00:00:21.640 --> 00:00:24.200]  那麼您知道父親節的由來嗎
[00:00:24.200 --> 00:00:26.800]  實際上是從華盛頓州開始的
[00:00:26.800 --> 00:00:29.600]  1909年在Sport Camp
[00:00:29.600 --> 00:00:32.800]  有一個姐妹叫做Mrs. Starr
[00:00:32.800 --> 00:00:35.200]  她為了緬懷她的父親
[00:00:35.200 --> 00:00:37.840]  所以她向教會的牧師提出來
[00:00:37.840 --> 00:00:39.720]  就是牧師就開始辦
[00:00:39.720 --> 00:00:42.960]  後來一九二幾年的時候
[00:00:42.960 --> 00:00:45.240]  開始整個華州通過了
[00:00:45.240 --> 00:00:47.480]  然後一九七幾年的時候
[00:00:47.480 --> 00:00:48.320]  國會通過
[00:00:48.320 --> 00:00:50.560]  然後尼克森訂了法
[00:00:50.560 --> 00:00:52.960]  就是說父親節就是
[00:00:52.960 --> 00:00:56.480]  六月第三個主日慶祝父親節
[00:00:56.480 --> 00:00:58.160]  Hallelujah 讚美神
[00:00:58.160 --> 00:00:59.800]  我們這個父親節
[00:00:59.800 --> 00:01:01.560]  我們好像跟母親節
[00:01:01.560 --> 00:01:04.240]  比較長一點對不對
[00:01:04.240 --> 00:01:06.760]  因為父親常常被誤解
[00:01:06.760 --> 00:01:07.440]  您知道嗎
[00:01:07.440 --> 00:01:11.840]  今天我要來為父親伸冤
[00:01:11.840 --> 00:01:17.080]  我以前看Discover Channel
[00:01:17.080 --> 00:01:20.880]  獅子在打獵的時候
[00:01:20.880 --> 00:01:23.440]  公獅子不打獵
[00:01:23.440 --> 00:01:25.720]  牠就在樹底下睡懶覺
[00:01:25.720 --> 00:01:28.520]  都是母獅子去打獵
[00:01:28.520 --> 00:01:31.400]  那打獵打到了以後
[00:01:31.400 --> 00:01:35.240]  然後母獅子小獅子就要開始吃了
[00:01:35.240 --> 00:01:36.200]  我心裡好難過
[00:01:36.200 --> 00:01:39.360]  公獅子還在睡覺打去
[00:01:39.360 --> 00:01:43.720]  但是豺狼哈伊納就來了
