
[00:00:00.000 --> 00:00:02.000]  鄧堅志媒,早安
[00:00:02.000 --> 00:00:06.000]  今天要跟大家說,聖誕快樂好像早了一點
[00:00:06.000 --> 00:00:10.000]  下個主日才是正日,對不對?
[00:00:10.000 --> 00:00:14.000]  但是我們都知道,所謂聖誕節的正日
[00:00:14.000 --> 00:00:17.000]  可能很多信徒都未必知道
[00:00:17.000 --> 00:00:19.000]  但是都需要說一說
[00:00:19.000 --> 00:00:23.000]  不是真是耶穌基督是那一天降生的
[00:00:23.000 --> 00:00:26.000]  大家如果有讀過神學
[00:00:26.000 --> 00:00:29.000]  或者是研究過新約聖經
[00:00:29.000 --> 00:00:32.000]  都知道十二月二十五日
[00:00:32.000 --> 00:00:36.000]  就不是主耶穌降生的正日
[00:00:36.000 --> 00:00:40.000]  但是我們都是用一天來紀念
[00:00:40.000 --> 00:00:43.000]  每年的同一天,就是十二月二十五日
[00:00:43.000 --> 00:00:45.000]  來紀念主耶穌的降生
[00:00:45.000 --> 00:00:51.000]  主,今天讓我可以在當中跟大家分享訊息
[00:00:51.000 --> 00:00:54.000]  但是很明顯,無論是題目也好
[00:00:54.000 --> 00:00:59.000]  或者是剛才師哥敬拜也好
[00:00:59.000 --> 00:01:03.000]  都很明顯聖誕節已經很接近我們了
[00:01:03.000 --> 00:01:08.000]  希望大家都帶著一個聖誕的心情
[00:01:08.000 --> 00:01:10.000]  來參加崇拜
[00:01:10.000 --> 00:01:14.000]  來度過這個美好的聖誕
[00:01:14.000 --> 00:01:16.000]  我們低頭祈禱
[00:01:16.000 --> 00:01:18.000]  聖母上帝,我們感謝祢
[00:01:18.000 --> 00:01:20.000]  因為今天有主祢的同在
[00:01:20.000 --> 00:01:23.000]  我們就可以在這裡去敬拜祢
[00:01:23.000 --> 00:01:25.000]  主,完全是祢的恩典
[00:01:25.000 --> 00:01:27.000]  不是我們可以做什麼
[00:01:27.000 --> 00:01:31.000]  不是我們真的可以蒙住祢自己
[00:01:31.000 --> 00:01:33.000]  來降臨在這個當中
[00:01:33.000 --> 00:01:35.000]  以致我們可以敬拜祢
[00:01:35.000 --> 00:01:38.000]  是祢自己願意去接近我們
[00:01:38.000 --> 00:01:40.000]  祢在當中臨在
[00:01:40.000 --> 00:01:44.000]  祢讓我們可以感受到主祢的同在
[00:01:44.000 --> 00:01:49.000]  祢真的與我們一起在這個敬拜當中
[00:01:49.000 --> 00:01:52.000]  主,在這個時候,祢的僕人要傳講訊息
[00:01:52.000 --> 00:01:57.000]  祢使用信息,祢使用祢僕人的口
[00:01:57.000 --> 00:02:00.000]  祢帶領祂所準備的一切
[00:02:00.000 --> 00:02:03.000]  讓我們今天在敬拜當中遇見祢
[00:02:03.000 --> 00:02:05.000]  感謝祢,聽祢的禱告
