
[00:00:00.000 --> 00:00:03.260]  首先想講一個故事給大家聽
[00:00:03.260 --> 00:00:06.080]  話說有一個人
[00:00:06.080 --> 00:00:08.280]  一晚睡覺發了一個夢
[00:00:08.280 --> 00:00:13.740]  他夢見和耶穌一起在沙灘上行走
[00:00:13.740 --> 00:00:17.760]  當他回顧一生的時候
[00:00:17.760 --> 00:00:23.320]  他看到在沙灘上留下了兩箱竹印
[00:00:23.320 --> 00:00:28.420]  即是主耶穌一直和他走人生的旅程
[00:00:29.280 --> 00:00:31.160]  但後來他又發現
[00:00:31.160 --> 00:00:36.760]  到他最艱難、最痛苦、最軟弱的時候
[00:00:36.760 --> 00:00:40.900]  那時候他發覺沙灘上只有一對竹印
[00:00:40.900 --> 00:00:43.160]  他又問耶穌
[00:00:43.160 --> 00:00:49.280]  主啊,為什麼在這個最艱難、痛苦的歲月裏面
[00:00:49.280 --> 00:00:52.240]  祢竟然離我而去呢?
[00:00:52.240 --> 00:00:56.520]  主耶穌就溫柔地回答他
[00:00:56.900 --> 00:01:02.940]  親愛的孩子,你看見的一對竹印其實是我的
[00:01:02.940 --> 00:01:06.640]  因為在你最艱難、痛苦的時候
[00:01:06.640 --> 00:01:10.380]  是我揹著你走過的
[00:01:10.380 --> 00:01:13.920]  相信大家都聽過這個故事
[00:01:13.920 --> 00:01:16.520]  我們說是一個竹印的故事
[00:01:16.520 --> 00:01:20.440]  當我們去面臨一些考驗的時候
[00:01:20.440 --> 00:01:22.480]  往往一直以為
[00:01:22.480 --> 00:01:25.640]  只是我們自己一個人孤軍作戰
[00:01:26.900 --> 00:01:31.800]  今天和大家繼續去思想神的說話
[00:01:31.800 --> 00:01:34.600]  關於亞伯蘭的故事
[00:01:34.600 --> 00:01:40.160]  上次是說前面十二章一到九節
[00:01:40.160 --> 00:01:44.620]  今天是說到《創世紀》十二章十到二十節
[00:01:44.620 --> 00:01:49.020]  題目繼續是「茫茫前路的信心」
[00:01:49.020 --> 00:01:51.940]  是亞伯蘭的疑惑
[00:01:55.900 --> 00:01:57.560]  包括有三方面
[00:01:57.560 --> 00:02:02.820]  一方面是看到人會陷入一種疑惑當中
[00:02:02.820 --> 00:02:05.360]  即是說有信心的危機
[00:02:05.360 --> 00:02:10.600]  第二方面是說到神是「卻永不失信」的
[00:02:10.600 --> 00:02:12.840]  這是信心的根源
[00:02:12.840 --> 00:02:14.680]  第三方面
[00:02:14.680 --> 00:02:16.680]  我們要常常回想
[00:02:16.680 --> 00:02:20.480]  你曾經在甚麼地方裏面遇見神
[00:02:20.480 --> 00:02:24.700]  當亞伯蘭在七十五歲的時候
[00:02:24.700 --> 00:02:29.280]  神呼召他離開哈蘭去到迦南地方
[00:02:29.280 --> 00:02:34.620]  神就應許地上的萬族都要因祂得福
[00:02:34.620 --> 00:02:39.560]  所以在上次和大家分享亞伯蘭的馴服的時候
[00:02:39.560 --> 00:02:41.560]  就已經說了
[00:02:41.560 --> 00:02:46.080]  祂首先是展開了一個信心之旅
[00:02:46.080 --> 00:02:49.500]  接著祂有信心的行動
[00:02:49.500 --> 00:02:53.000]  實踐神要在迦南裏面的使命
[00:02:53.480 --> 00:02:55.480]  祂去祝壇、去紀念神
[00:02:55.480 --> 00:02:59.940]  祝壇更加的意思是去宣揚神的名詞
[00:02:59.940 --> 00:03:05.180]  這個日子就過了一段時間
[00:03:05.180 --> 00:03:08.940]  來到第十節
[00:03:08.940 --> 00:03:11.280]  接著我們就會看
[00:03:11.280 --> 00:03:16.080]  人為甚麼會陷入一個疑惑裏面
[00:03:16.080 --> 00:03:19.180]  就是一個信心的危機裏面
[00:03:19.180 --> 00:03:22.220]  第十節說到
[00:03:22.500 --> 00:03:25.040]  這個那地遭遇饑荒
[00:03:25.040 --> 00:03:29.300]  亞伯蘭因為這個地方的饑荒的嚴重
[00:03:29.300 --> 00:03:30.580]  就去到埃及
[00:03:30.580 --> 00:03:32.900]  在那個地方去寄居
[00:03:32.900 --> 00:03:40.180]  十到二十節一段的經文都是記載在埃及的情況
[00:03:40.180 --> 00:03:46.500]  如果我做一個簡單的概括來說
[00:03:46.500 --> 00:03:50.320]  我自己就會覺得它是埃及蒙修記
[00:03:50.620 --> 00:03:52.620]  叫做埃及蒙修記
