
[00:00:00.000 --> 00:00:02.000]  各位聽眾姐妹們 大家平安
[00:00:02.000 --> 00:00:04.640]  今天是2月13號
[00:00:04.640 --> 00:00:07.300]  那在15號的元宵節以前
[00:00:07.300 --> 00:00:09.300]  我們還是在這個新年的期間
[00:00:09.300 --> 00:00:11.300]  所以跟大家拜個晚年
[00:00:11.300 --> 00:00:14.000]  祝各位新年快樂 元宵節快樂
[00:00:14.000 --> 00:00:22.500]  有人說人生就是一段旅程
[00:00:22.500 --> 00:00:24.700]  我記得有一年
[00:00:24.700 --> 00:00:26.700]  我在美國的東岸
[00:00:26.700 --> 00:00:28.700]  然後開車一直往北
[00:00:28.700 --> 00:00:30.700]  一直到美國最東北部的
[00:00:30.700 --> 00:00:32.700]  這個Vermont這個州
[00:00:32.700 --> 00:00:34.700]  因為我受了一個邀請去那邊講道
[00:00:34.700 --> 00:00:36.700]  然後呢
[00:00:36.700 --> 00:00:38.700]  我在開車的路程當中
[00:00:38.700 --> 00:00:40.700]  就見到了我許多
[00:00:40.700 --> 00:00:42.700]  以前從來沒有見過的一個景色
[00:00:42.700 --> 00:00:44.700]  我還記得
[00:00:44.700 --> 00:00:46.700]  我在開到一個比較
[00:00:46.700 --> 00:00:48.700]  山谷的地方的時候
[00:00:48.700 --> 00:00:51.700]  哇 看見那個滿山片野的
[00:00:51.700 --> 00:00:53.700]  這個楓葉
[00:00:53.700 --> 00:00:55.700]  有紅色的 有褐色的
[00:00:55.700 --> 00:00:58.700]  有黃色的 好漂亮 好漂亮
[00:00:58.700 --> 00:01:00.700]  然後開車開到一段的時候
[00:01:00.700 --> 00:01:02.700]  竟然有小路
[00:01:02.700 --> 00:01:04.700]  還有路群出現了
[00:01:04.700 --> 00:01:07.700]  就使得我不得不停下我的腳步
[00:01:07.700 --> 00:01:09.700]  甚至我要停車
[00:01:09.700 --> 00:01:11.700]  讓這些路群們可以來經過
[00:01:11.700 --> 00:01:13.700]  最後我開到晚上的時候
[00:01:13.700 --> 00:01:15.700]  是在那個沒有路燈的
[00:01:15.700 --> 00:01:17.700]  一個蜿蜒的這個山路
[00:01:17.700 --> 00:01:19.700]  崎嶇的山路裡面
[00:01:19.700 --> 00:01:21.700]  慢慢開 慢慢開 慢慢開
[00:01:21.700 --> 00:01:23.700]  非常的謹慎的開車
[00:01:23.700 --> 00:01:26.700]  最後我終於抵達了我的目的地
[00:01:26.700 --> 00:01:28.700]  這過程雖然是
[00:01:28.700 --> 00:01:30.700]  非常的不容易
[00:01:30.700 --> 00:01:32.700]  甚至是很特別
[00:01:32.700 --> 00:01:35.700]  但是也是非常的充滿驚喜
[00:01:35.700 --> 00:01:39.700]  這是一個非常難得的一個體驗
[00:01:39.700 --> 00:01:41.700]  我們的人生也是
[00:01:41.700 --> 00:01:43.700]  好像一段旅程
[00:01:43.700 --> 00:01:46.700]  從家鄉到城市
[00:01:46.700 --> 00:01:48.700]  從城市到國外
[00:01:48.700 --> 00:01:51.700]  搬了一次又一次的家
[00:01:51.700 --> 00:01:53.700]  每一個地方雖然居住的時間
[00:01:53.700 --> 00:01:55.700]  有長有短
[00:01:55.700 --> 00:01:58.700]  但卻都是一個又一個的體驗
[00:01:58.700 --> 00:02:00.700]  不是嗎
[00:02:00.700 --> 00:02:02.700]  身心當中的亞伯蘭
[00:02:02.700 --> 00:02:04.700]  也是因著神的呼召
[00:02:04.700 --> 00:02:07.700]  踏上了一段神奇之旅
[00:02:07.700 --> 00:02:09.700]  雖然他不曉得
