
[00:00:00.000 --> 00:00:01.020]  跟大家說了
[00:00:01.020 --> 00:00:03.800]  今天會跟大家說詩篇、達伯篇
[00:00:03.800 --> 00:00:06.400]  都一篇大家頗為熟悉
[00:00:06.400 --> 00:00:09.580]  我猜起碼唱歌有時也會唱一下
[00:00:09.580 --> 00:00:14.160]  一篇我們熟悉的詩篇
[00:00:14.160 --> 00:00:16.960]  大衛所寫的讚美的詩歌
[00:00:16.960 --> 00:00:19.200]  我們也一起
[00:00:19.200 --> 00:00:20.920]  在我們一起去分享
[00:00:20.920 --> 00:00:22.600]  我們去聽主的話的時候
[00:00:22.600 --> 00:00:24.200]  我們也一起有一個祈禱
[00:00:24.200 --> 00:00:25.680]  我們一起祈禱
[00:00:25.680 --> 00:00:27.400]  我們去讚美你
[00:00:27.400 --> 00:00:29.120]  你我們生命的主
[00:00:29.120 --> 00:00:31.120]  你是那位偉大的君王
[00:00:31.120 --> 00:00:32.640]  你創造萬物
[00:00:32.640 --> 00:00:35.040]  主也當我們俯伏在祢面前的時候
[00:00:35.040 --> 00:00:36.800]  求主也去帶領我們
[00:00:36.800 --> 00:00:39.400]  讓我們不單從心發出讚美
[00:00:39.400 --> 00:00:41.720]  我們的口也歌頌祢
[00:00:41.720 --> 00:00:44.360]  主也願意我們的行為
[00:00:44.360 --> 00:00:48.640]  也去相稱我們是一位敬拜祢的群體
[00:00:48.640 --> 00:00:50.240]  神也求祢在當中去帶領
[00:00:50.240 --> 00:00:53.280]  也讓祢的話語進入我們的心
[00:00:53.280 --> 00:00:54.880]  成為我們的提醒
[00:00:54.880 --> 00:00:56.200]  多謝聽我們祈禱
[00:00:56.200 --> 00:00:58.200]  奉旨耶穌基督聖名祈求
[00:00:58.200 --> 00:00:59.320]  阿門
[00:00:59.320 --> 00:01:00.840]  我剛才也說了
[00:01:00.840 --> 00:01:04.000]  這篇是大衛重讚的詩歌
[00:01:04.000 --> 00:01:06.160]  他向上主發出重讚
[00:01:06.160 --> 00:01:09.840]  我們有時候唱歌就會去讚美我們的神
[00:01:09.840 --> 00:01:12.680]  大衛去讚美上主
[00:01:12.680 --> 00:01:14.000]  讚美我們的神
[00:01:14.000 --> 00:01:17.560]  他對我們的神有什麼看法呢?
[00:01:17.560 --> 00:01:21.440]  我們一起再讀一下這篇詩篇
[00:01:21.440 --> 00:01:22.560]  我們一起讀一下
[00:01:22.560 --> 00:01:23.720]  一二三
[00:01:23.720 --> 00:01:24.880]  耀我說
[00:01:24.880 --> 00:01:26.640]  我們的主
[00:01:26.640 --> 00:01:29.200]  祢的名在全地何其美
[00:01:29.200 --> 00:01:31.960]  祢將祢的榮耀彰顯於天
