
[00:00:00.000 --> 00:00:05.080]  今次的題目是《進入安息》
[00:00:05.080 --> 00:00:09.360]  信主的人都聽過什麼叫做安息
[00:00:09.360 --> 00:00:12.480]  有些人可能有些心結
[00:00:12.480 --> 00:00:19.200]  覺得安息好像死人、歸天的時候的安息
[00:00:19.200 --> 00:00:21.520]  在外國的社會
[00:00:21.520 --> 00:00:24.160]  英文經常都見到社群叫做
[00:00:24.160 --> 00:00:26.360]  R.I.P,Rest in Peace
[00:00:26.360 --> 00:00:28.000]  歸回安息
[00:00:28.000 --> 00:00:33.440]  安息都給我們一個很重的感覺
[00:00:33.440 --> 00:00:36.400]  就是死亡、離開
[00:00:36.400 --> 00:00:38.920]  是對的
[00:00:38.920 --> 00:00:42.080]  這個意思其實也有少許連繫
[00:00:42.080 --> 00:00:43.600]  這盞燈眨了一會兒
[00:00:43.600 --> 00:00:45.600]  我想關掉了前面的那盞燈
[00:00:45.600 --> 00:00:46.600]  太陽
[00:00:46.600 --> 00:00:50.640]  我們經常都說安息
[00:00:50.640 --> 00:00:55.080]  究竟安息在聖經裡面是什麼呢?
[00:00:55.080 --> 00:00:56.800]  那個全面的信息是怎樣呢?
[00:00:56.800 --> 00:01:01.040]  是不是真的說到死亡歸回安息的那個安息呢?
[00:01:01.040 --> 00:01:03.440]  我們也看看哪一部聖經
[00:01:03.440 --> 00:01:09.920]  應該要回到我的檔案
[00:01:09.920 --> 00:01:12.880]  開另一個檔案
[00:01:12.880 --> 00:01:15.640]  我放在桌面上有另一個檔案
[00:01:15.640 --> 00:01:24.120]  主要的經文會是希伯提書
[00:01:24.120 --> 00:01:27.280]  開始看的時候會看一些其他的經文
[00:01:27.280 --> 00:01:29.080]  首先是《創世紀》
[00:01:29.080 --> 00:01:31.320]  整本聖經當然是從開頭看的
[00:01:31.320 --> 00:01:35.120]  如果有讀過《創世紀》的話
[00:01:35.120 --> 00:01:36.480]  很容易已經讀到第二章了
[00:01:36.480 --> 00:01:38.520]  第二章一開始就說什麼呢?
[00:01:38.520 --> 00:01:40.720]  天地萬物都做齊了
[00:01:40.720 --> 00:01:42.880]  神用了六天做天地萬物
[00:01:42.880 --> 00:01:44.560]  做了六天了
[00:01:44.560 --> 00:01:45.840]  第二章就說
[00:01:45.840 --> 00:01:46.920]  做齊了
[00:01:46.920 --> 00:01:48.320]  到第七天
[00:01:48.320 --> 00:01:51.320]  神做物的工已經完畢
[00:01:51.320 --> 00:01:53.760]  又在第七天揭了他
[00:01:53.760 --> 00:01:55.040]  一切的工
[00:01:55.040 --> 00:01:56.200]  安息了
[00:01:56.200 --> 00:01:59.360]  在聖經裡第一次出現"安息"這兩個字
[00:01:59.360 --> 00:02:00.680]  就是《創世紀》了
[00:02:00.680 --> 00:02:03.280]  神一做完六天
[00:02:03.280 --> 00:02:04.880]  創造天地萬物
[00:02:04.880 --> 00:02:06.800]  第七天就安息
[00:02:06.800 --> 00:02:09.760]  就是揭了他一切的工
[00:02:09.760 --> 00:02:11.920]  這一天有什麼特別呢?
[00:02:11.920 --> 00:02:14.800]  神次復給第七天
[00:02:14.800 --> 00:02:16.760]  定為聖日
[00:02:16.760 --> 00:02:18.160]  因為在這一天
[00:02:18.160 --> 00:02:22.560]  他揭了一切創造的工就安息了
[00:02:22.560 --> 00:02:24.640]  這一天很特別
[00:02:24.640 --> 00:02:27.400]  神故意在聖經裡面記載
[00:02:27.400 --> 00:02:29.360]  定第七天為聖日
[00:02:29.360 --> 00:02:32.640]  就是神揭了他一切創造的工
[00:02:32.640 --> 00:02:35.120]  就是六天的創造已經完成了
[00:02:35.120 --> 00:02:37.800]  不需要再去搞了
[00:02:37.800 --> 00:02:40.640]  神做事很厲害的就是
[00:02:40.640 --> 00:02:42.120]  一做完
[00:02:42.120 --> 00:02:46.960]  自動會一路生生不息地發展下去
[00:02:46.960 --> 00:02:49.880]  不需要再去創造
[00:02:49.880 --> 00:02:52.240]  今天我們說神還有很多工作
[00:02:52.240 --> 00:02:54.400]  那些工作不是創造的工作
[00:02:54.400 --> 00:02:58.600]  那些工作是去維護、拯救的工作
[00:02:58.600 --> 00:03:00.120]  在創造來講
[00:03:00.120 --> 00:03:02.120]  六天已經創造完了
[00:03:02.120 --> 00:03:04.400]  神在第七天完成了
[00:03:04.400 --> 00:03:05.720]  不再創造了
[00:03:05.720 --> 00:03:08.760]  停了一切的工
[00:03:08.760 --> 00:03:09.520]  安息了
[00:03:09.520 --> 00:03:11.320]  第一個安息就是這樣出來的
[00:03:11.320 --> 00:03:13.800]  神將這一天定為聖日
[00:03:13.800 --> 00:03:16.160]  什麼叫做聖日?
[00:03:16.160 --> 00:03:19.480]  之前在前幾次的廣告裡略略提過
[00:03:19.480 --> 00:03:21.800]  所以要經常回來廣告
[00:03:21.800 --> 00:03:22.560]  回來聽到
[00:03:22.560 --> 00:03:24.320]  因為我們有時候說的那些東西
[00:03:24.320 --> 00:03:26.640]  之前沒有提過就不會重覆太多
[00:03:26.640 --> 00:03:29.520]  你一直接著聽的時候
[00:03:29.520 --> 00:03:31.680]  有些連貫性就會好一點
[00:03:31.680 --> 00:03:33.600]  否則太多的話
[00:03:33.600 --> 00:03:36.480]  有時候你就不知道自己在說什麼
[00:03:36.480 --> 00:03:38.000]  聖日
[00:03:38.000 --> 00:03:39.280]  什麼叫做聖日呢?
[00:03:39.280 --> 00:03:41.120]  英文叫做Holy
[00:03:41.120 --> 00:03:42.320]  或者叫做神聖
[00:03:42.320 --> 00:03:42.920]  中文譯做
[00:03:42.920 --> 00:03:44.480]  這個字很難譯
[00:03:44.480 --> 00:03:47.920]  到了某一些經文下面
[00:03:47.920 --> 00:03:49.200]  接著再用的時候
[00:03:49.200 --> 00:03:51.200]  就將這個譯做聖結
[00:03:51.200 --> 00:03:56.040]  就將重點放在了結不結正的那方面
[00:03:56.040 --> 00:03:59.560]  但是神聖和結正是否相等呢?
[00:03:59.560 --> 00:04:00.360]  是否有關呢?
[00:04:00.360 --> 00:04:02.520]  是否就是等於呢?
[00:04:02.520 --> 00:04:03.880]  又不是
[00:04:03.880 --> 00:04:05.680]  有些的意思可以解釋
[00:04:05.680 --> 00:04:06.880]  但又不是全部
[00:04:06.880 --> 00:04:08.240]  定為聖日
[00:04:08.240 --> 00:04:09.880]  之前我說過
[00:04:09.880 --> 00:04:11.640]  定一件事為聖
[00:04:11.640 --> 00:04:12.440]  神聖
[00:04:12.440 --> 00:04:13.400]  Holy
[00:04:13.400 --> 00:04:14.240]  就是說
[00:04:14.240 --> 00:04:17.160]  給神專門來用
[00:04:17.160 --> 00:04:20.200]  我最近聽過一些人講道
[00:04:20.200 --> 00:04:22.280]  我套用李斯琪來說
[00:04:22.280 --> 00:04:24.840]  你有沒有在家裡有老人家
[00:04:24.840 --> 00:04:25.800]  有老人家
[00:04:25.800 --> 00:04:29.960]  通常老人家經常都坐在那個位置
[00:04:29.960 --> 00:04:33.680]  在客廳休息是坐著他的椅子
[00:04:33.680 --> 00:04:35.520]  可能有一張按摩椅
[00:04:35.520 --> 00:04:37.160]  或者在那裡看電視
[00:04:37.160 --> 00:04:38.760]  或者在那裡打瞌睡
[00:04:38.760 --> 00:04:41.240]  他永遠都是坐著那張椅子
[00:04:41.240 --> 00:04:41.760]  好了
[00:04:41.760 --> 00:04:44.280]  到你家裡有朋友來的時候
[00:04:44.280 --> 00:04:45.120]  那些人不知道的
[00:04:45.120 --> 00:04:45.680]  你這麼吵
[00:04:45.680 --> 00:04:46.880]  坐著那張椅子
[00:04:46.880 --> 00:04:48.000]  你家裡有小朋友就說
