
[00:00:00.000 --> 00:00:11.000]  上個月大埔雲福縣火災震撼了整個香港社會
[00:00:11.000 --> 00:00:18.000]  七座樓宇的居民要被安置在臨時庇護中心
[00:00:18.000 --> 00:00:23.000]  居無定所 令人痛心
[00:00:23.000 --> 00:00:30.000]  這件事令我想起二千年前
[00:00:30.000 --> 00:00:34.000]  上帝的兒子耶穌基督降臨人間
[00:00:34.000 --> 00:00:37.000]  亦居無定所
[00:00:37.000 --> 00:00:42.000]  應是耶穌出生的地方是馬祖
[00:00:42.000 --> 00:00:48.000]  他母親瑪利亞在分娩前還要長途跋涉
[00:00:48.000 --> 00:00:55.000]  其實是女孩由那沙那去到伯利恆
[00:00:55.000 --> 00:01:02.000]  他們應是出生後又被希律王追殺
[00:01:02.000 --> 00:01:07.000]  約瑟和瑪利亞帶著孩子逃到埃及
[00:01:07.000 --> 00:01:12.000]  真是顛沛流離 命途多劫
[00:01:12.000 --> 00:01:16.000]  奇怪為何上帝會這樣安排
[00:01:16.000 --> 00:01:19.000]  為何要籌備這樣的聖誕
[00:01:19.000 --> 00:01:21.000]  不可以做得好一點嗎
[00:01:21.000 --> 00:01:26.000]  耶穌貴為三位一體的第二位真神
[00:01:26.000 --> 00:01:28.000]  如果要降臨人間
[00:01:28.000 --> 00:01:31.000]  不是應在大城市出生嗎
[00:01:31.000 --> 00:01:34.000]  當時世界有兩個大帝國
[00:01:34.000 --> 00:01:38.000]  西邊是羅馬 東邊是中國
[00:01:38.000 --> 00:01:40.000]  羅馬首都是羅馬城
[00:01:40.000 --> 00:01:44.000]  中國漢朝首都是長安
[00:01:44.000 --> 00:01:48.000]  如果選擇羅馬長安出生很合理
[00:01:48.000 --> 00:01:51.000]  但上帝籌備耶穌基督的誕生
[00:01:51.000 --> 00:01:54.000]  就是在兩個大國當中
[00:01:54.000 --> 00:02:00.000]  在亞洲和歐洲中間一個很小的植物地
[00:02:00.000 --> 00:02:03.000]  猶太這個地方
[00:02:03.000 --> 00:02:06.000]  今日快聖誕節
[00:02:06.000 --> 00:02:10.000]  我們一起想 究竟上帝是怎樣籌備聖誕
[00:02:10.000 --> 00:02:13.000]  剛才偉雄和我一起看一段經文
[00:02:13.000 --> 00:02:15.000]  很寶貴
[00:02:15.000 --> 00:02:18.000]  它就像一個窗門
[00:02:18.000 --> 00:02:20.000]  打開窗門
[00:02:20.000 --> 00:02:25.000]  你一瞬間可以聽到一些很奇妙的聲音
[00:02:25.000 --> 00:02:27.000]  就是上帝三位一體
[00:02:27.000 --> 00:02:29.000]  上帝之間的對話
[00:02:29.000 --> 00:02:31.000]  很少有機會聽到
[00:02:31.000 --> 00:02:34.000]  耶穌基督聖子對聖父說話
[00:02:34.000 --> 00:02:37.000]  在天上講話你聽不到
[00:02:37.000 --> 00:02:41.000]  這個對話就在耶穌基督降生那時
[00:02:41.000 --> 00:02:44.000]  之前對上帝所說
[00:02:44.000 --> 00:02:47.000]  所以基督到世上來的時候
[00:02:47.000 --> 00:02:49.000]  希伯來書記述這句話
[00:02:49.000 --> 00:02:54.000]  基督說製品和禮物不是你所要的
[00:02:54.000 --> 00:02:57.000]  你卻為我預備了身體
[00:02:57.000 --> 00:03:00.000]  飯祭和贖罪祭不是你所喜悅的
[00:03:00.000 --> 00:03:05.000]  那時我洩慷我來了經卷上已經記載我的事
[00:03:05.000 --> 00:03:08.000]  神我來是遵行你的旨意
[00:03:08.000 --> 00:03:11.000]  上帝籌備聖誕
[00:03:11.000 --> 00:03:16.000]  最終核心的意思就在這篇經文
[00:03:16.000 --> 00:03:19.000]  這篇經文給我們啟示到
[00:03:19.000 --> 00:03:24.000]  在萬古以前上帝已經想到聖誕
[00:03:24.000 --> 00:03:27.000]  這段話讓我們知道
[00:03:27.000 --> 00:03:31.000]  耶穌基督降世為人的目的
[00:03:31.000 --> 00:03:34.000]  是要取代飯祭和贖罪祭
[00:03:34.000 --> 00:03:38.000]  在舊約裏面猶太人犯了罪
[00:03:38.000 --> 00:03:40.000]  他們要拿一些祭牲
