
[00:00:00.000 --> 00:00:03.000]  基督信了耶穌之後
[00:00:03.000 --> 00:00:05.000]  我們是天國的子民
[00:00:05.000 --> 00:00:07.000]  我們是神的兒女
[00:00:07.000 --> 00:00:09.000]  我們要迎接這位榮耀的主
[00:00:09.000 --> 00:00:11.000]  我們將來在天國裏面
[00:00:11.000 --> 00:00:13.000]  要與基督同作王
[00:00:13.000 --> 00:00:15.000]  對保羅在當時那麼多教會裏面
[00:00:15.000 --> 00:00:17.000]  出現一個問題就是
[00:00:17.000 --> 00:00:20.000]  有些人就很嚮往天國的職份的時候
[00:00:20.000 --> 00:00:23.000]  包括地上也好,香港的傳福音也好
[00:00:23.000 --> 00:00:26.000]  或者是他覺得自己是與基督同作王也好
[00:00:26.000 --> 00:00:30.000]  他慢慢就不想再面對地上的責任
[00:00:30.000 --> 00:00:34.000]  因為地上的責任太艱難,太不開心
[00:00:34.000 --> 00:00:37.000]  或者夫妻,上文講到夫妻的問題
[00:00:37.000 --> 00:00:40.000]  可能有個姊妹或者一個弟兄
[00:00:40.000 --> 00:00:42.000]  他的丈夫或者妻子是不信的
[00:00:42.000 --> 00:00:44.000]  或者是很多麻煩的
[00:00:44.000 --> 00:00:47.000]  他有時連婚姻都不想繼續
[00:00:47.000 --> 00:00:49.000]  所以很多這些時候
[00:00:49.000 --> 00:00:51.000]  基督一個試探就是
[00:00:51.000 --> 00:00:54.000]  放棄我們地上的責任和奮鬥
[00:00:54.000 --> 00:00:56.000]  所以上文講到
[00:00:56.000 --> 00:00:58.000]  保羅強調到
[00:00:58.000 --> 00:01:00.000]  乃是主吩咐說
[00:01:00.000 --> 00:01:03.000]  妻子不可離開丈夫
[00:01:03.000 --> 00:01:05.000]  因為你信耶穌
[00:01:05.000 --> 00:01:07.000]  你就不盡你在地上的責任
[00:01:07.000 --> 00:01:10.000]  例如你不盡你作為妻子的責任
[00:01:10.000 --> 00:01:11.000]  他特別強調
[00:01:11.000 --> 00:01:13.000]  妻子有不信的丈夫
[00:01:13.000 --> 00:01:16.000]  丈夫也情願與她同住
[00:01:16.000 --> 00:01:19.000]  她就不要離棄丈夫
[00:01:19.000 --> 00:01:21.000]  假如信耶穌之後
[00:01:21.000 --> 00:01:24.000]  基督徒甚麼都不做,甚麼都不盡地上的責任
[00:01:24.000 --> 00:01:27.000]  一方面他們不是按神的心意
[00:01:27.000 --> 00:01:29.000]  另一方面地上的人就會
[00:01:29.000 --> 00:01:32.000]  誣蔑或者覺得這個基督教很怪
[00:01:32.000 --> 00:01:34.000]  所以耶穌甚麼都不做
[00:01:34.000 --> 00:01:37.000]  又不顧家,又不擔心問題
[00:01:37.000 --> 00:01:41.000]  最近香港被一個異端邪教影響
[00:01:41.000 --> 00:01:44.000]  就是東方閃電全能神的教會
