
[00:00:00.000 --> 00:00:02.000]  很快就到年底了
[00:00:02.000 --> 00:00:04.000]  年終的時候
[00:00:04.000 --> 00:00:06.000]  我們今天的題目是年終倒數
[00:00:06.000 --> 00:00:08.000]  也是正在過聖誕的時候
[00:00:08.000 --> 00:00:12.000]  我們到年終的時候
[00:00:12.000 --> 00:00:14.000]  講到倒數
[00:00:14.000 --> 00:00:16.000]  其實有很多負面的程序
[00:00:16.000 --> 00:00:20.000]  昨天我上網看一看
[00:00:20.000 --> 00:00:22.000]  2013年有哪些人
[00:00:22.000 --> 00:00:24.000]  過世了
[00:00:24.000 --> 00:00:26.000]  不是過了新加坡,是過世了
[00:00:26.000 --> 00:00:28.000]  過世了,就是他們不在了
[00:00:28.000 --> 00:00:30.000]  對我們有什麼影響呢
[00:00:30.000 --> 00:00:34.000]  很多的感受
[00:00:34.000 --> 00:00:36.000]  很多人的感受
[00:00:36.000 --> 00:00:38.000]  熟悉的你會感受多一些
[00:00:38.000 --> 00:00:42.000]  在生命當中
[00:00:42.000 --> 00:00:44.000]  他們覺得時間很快
[00:00:44.000 --> 00:00:46.000]  一年又過了
[00:00:46.000 --> 00:00:48.000]  好的時間好像很短
[00:00:48.000 --> 00:00:50.000]  不好的時間你覺得很長
[00:00:50.000 --> 00:00:52.000]  想做的事
[00:00:52.000 --> 00:00:54.000]  你很想做的事
[00:00:54.000 --> 00:00:56.000]  發覺你未做到
[00:00:56.000 --> 00:00:58.000]  你想做的事
[00:00:58.000 --> 00:01:00.000]  你被逼繼續去做
[00:01:00.000 --> 00:01:02.000]  特別有些人上班很辛苦
[00:01:02.000 --> 00:01:04.000]  被逼要上班
[00:01:04.000 --> 00:01:06.000]  青春又少了一年
[00:01:06.000 --> 00:01:08.000]  有些人到了某一個年紀
[00:01:08.000 --> 00:01:10.000]  就不再慶祝生日
[00:01:10.000 --> 00:01:12.000]  希望永遠保持這個時間
[00:01:12.000 --> 00:01:14.000]  或者倒數
[00:01:14.000 --> 00:01:16.000]  過了一年
[00:01:16.000 --> 00:01:18.000]  又老了一年
[00:01:18.000 --> 00:01:20.000]  有些人覺得
[00:01:20.000 --> 00:01:22.000]  不要說倒數
[00:01:22.000 --> 00:01:24.000]  其實用兩個字來形容
[00:01:24.000 --> 00:01:26.000]  混亂
[00:01:26.000 --> 00:01:28.000]  過了一年
[00:01:28.000 --> 00:01:30.000]  有沒有同感
[00:01:30.000 --> 00:01:32.000]  很多人都發覺
[00:01:32.000 --> 00:01:34.000]  我們浪費了很多時間
[00:01:34.000 --> 00:01:36.000]  我們想怎麼在正面
[00:01:36.000 --> 00:01:38.000]  看時間呢
[00:01:38.000 --> 00:01:40.000]  我相信
[00:01:40.000 --> 00:01:42.000]  先要繼續感恩
[00:01:42.000 --> 00:01:44.000]  或者你覺得
[00:01:44.000 --> 00:01:46.000]  在經濟方面
[00:01:46.000 --> 00:01:48.000]  財務方面
[00:01:48.000 --> 00:01:50.000]  好像有缺乏
[00:01:50.000 --> 00:01:52.000]  或者今年公司不太好
[00:01:52.000 --> 00:01:54.000]  但是想一想
[00:01:54.000 --> 00:01:56.000]  過了這麼久的時間
[00:01:56.000 --> 00:01:58.000]  生活仍然沒有缺乏
[00:01:58.000 --> 00:02:00.000]  神仍然保守
[00:02:00.000 --> 00:02:02.000]  所以感謝神
[00:02:02.000 --> 00:02:04.000]  或者在過去一年當中
[00:02:04.000 --> 00:02:06.000]  你會經歷有病
[00:02:06.000 --> 00:02:08.000]  這裏我想沒有一個人會說
[00:02:08.000 --> 00:02:10.000]  2013年你沒有病過
[00:02:10.000 --> 00:02:12.000]  即是大病小病
[00:02:12.000 --> 00:02:14.000]  你都有
[00:02:14.000 --> 00:02:16.000]  有不舒服的時間
[00:02:16.000 --> 00:02:18.000]  但是今天感謝神
[00:02:18.000 --> 00:02:20.000]  仍然可以在這裏存活
[00:02:20.000 --> 00:02:22.000]  或者在2013年當中
[00:02:22.000 --> 00:02:24.000]  人際關係有些困擾
[00:02:24.000 --> 00:02:26.000]  可能在家人當中
[00:02:26.000 --> 00:02:28.000]  有些困難
[00:02:28.000 --> 00:02:30.000]  或者在同事當中
[00:02:30.000 --> 00:02:32.000]  朋友當中
[00:02:32.000 --> 00:02:34.000]  有些人際上的困難
[00:02:34.000 --> 00:02:36.000]  但是你再回頭一看
[00:02:36.000 --> 00:02:38.000]  你仍然可以感謝神
[00:02:38.000 --> 00:02:40.000]  仍然可以靠
[00:02:40.000 --> 00:02:42.000]  主爲樂
[00:02:42.000 --> 00:02:44.000]  好不好呢
[00:02:44.000 --> 00:02:46.000]  或者在2013年
[00:02:46.000 --> 00:02:48.000]  你覺得你的工作
[00:02:48.000 --> 00:02:50.000]  或者你做的事
[00:02:50.000 --> 00:02:52.000]  不夠有意思
[00:02:52.000 --> 00:02:54.000]  不夠有意義
[00:02:54.000 --> 00:02:56.000]  覺得我們做的工作
[00:02:56.000 --> 00:02:58.000]  或者你在教書當中的侍奉也好
[00:02:58.000 --> 00:03:00.000]  好像不夠意義
[00:03:00.000 --> 00:03:02.000]  但是回頭看一看
[00:03:02.000 --> 00:03:04.000]  原來呢
[00:03:04.000 --> 00:03:06.000]  神在這裏引領我們
[00:03:06.000 --> 00:03:10.000]  所以我們要感謝神
[00:03:10.000 --> 00:03:12.000]  要感謝神
[00:03:12.000 --> 00:03:14.000]  這時候大家心裏面
[00:03:14.000 --> 00:03:16.000]  有個默圖
[00:03:16.000 --> 00:03:18.000]  我們先向神
[00:03:18.000 --> 00:03:20.000]  不要求什麼
[00:03:20.000 --> 00:03:22.000]  什麼都不要求
[00:03:22.000 --> 00:03:24.000]  在這時候
[00:03:24.000 --> 00:03:26.000]  向神獻上一個很簡單的
[00:03:26.000 --> 00:03:28.000]  感謝的祈禱
[00:03:28.000 --> 00:03:30.000]  你可以睜大眼睛祈禱也行
[00:03:30.000 --> 00:03:32.000]  閉上眼睛祈禱也行
[00:03:32.000 --> 00:03:34.000]  我給大家30秒
[00:03:34.000 --> 00:03:36.000]  一個很簡單的祈禱
[00:03:36.000 --> 00:03:42.000]  在2013年的時候
[00:03:42.000 --> 00:03:44.000]  我們有跌倒的時候
[00:03:44.000 --> 00:03:46.000]  我們有軟弱的時候
[00:03:46.000 --> 00:03:50.000]  我們心裏面有弊議的時候
[00:03:50.000 --> 00:03:52.000]  有覺得無助的時候
[00:03:52.000 --> 00:03:56.000]  或者我們甚至故意犯罪離開你
[00:03:56.000 --> 00:03:58.000]  主一地都知道
[00:03:58.000 --> 00:04:02.000]  但你仍然不離不棄的
