
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹,早晨
[00:00:02.000 --> 00:00:07.000]  我們能夠敬拜,是不是很感恩?
[00:00:07.000 --> 00:00:12.000]  因為崇拜不是必然的事情
[00:00:12.000 --> 00:00:16.000]  如果我們今天的崇拜在兩個風的中間
[00:00:16.000 --> 00:00:19.000]  早一點又不行,遲一點又不行
[00:00:19.000 --> 00:00:23.000]  但是很感謝上帝讓我們在這個夾縫裡面
[00:00:23.000 --> 00:00:28.000]  我們剛剛可以能夠有一個稍微穩定一點的天氣
[00:00:28.000 --> 00:00:30.000]  我們可以一起來敬拜上帝
[00:00:30.000 --> 00:00:32.000]  這真是好得無比
[00:00:32.000 --> 00:00:36.000]  好,我們有個祈禱開始
[00:00:36.000 --> 00:00:40.000]  天父,願祢僕人口中的說話
[00:00:40.000 --> 00:00:45.000]  心裡的意念在祢的面前蒙月
[00:00:45.000 --> 00:00:48.000]  奉主明求,阿們
[00:00:48.000 --> 00:00:51.000]  今早和大家去思想一個題目
[00:00:51.000 --> 00:00:55.000]  叫做青草地溪水旁
[00:00:55.000 --> 00:00:57.000]  是不是很有意境?
[00:00:57.000 --> 00:00:59.000]  喜不喜歡這個題目?
[00:00:59.000 --> 00:01:05.000]  這個題目很快就令我們想起詩篇
[00:01:05.000 --> 00:01:09.000]  詩篇的二十三篇是一首金詩
[00:01:09.000 --> 00:01:11.000]  大衛寫的一首金詩
[00:01:11.000 --> 00:01:15.000]  我相信很多弟兄姊妹,很多朋友
[00:01:15.000 --> 00:01:18.000]  甚至你都沒怎麼回過教會
[00:01:18.000 --> 00:01:21.000]  但是你對這首詩篇都略有所聞
[00:01:21.000 --> 00:01:25.000]  我們今天嘗試從詩篇的二十三篇
[00:01:25.000 --> 00:01:27.000]  第一第二節
[00:01:27.000 --> 00:01:29.000]  我們嘗試讀一次
[00:01:29.000 --> 00:01:31.000]  第二次背
[00:01:31.000 --> 00:01:33.000]  預備起
[00:01:33.000 --> 00:01:36.000]  耶和華是我的目者
[00:01:36.000 --> 00:01:38.000]  我必不自缺乏
[00:01:38.000 --> 00:01:42.000]  他使我躺臥在青草地上
[00:01:42.000 --> 00:01:46.000]  令我再可安潔的水邊
[00:01:46.000 --> 00:01:48.000]  我們嘗試背一次
[00:01:48.000 --> 00:01:50.000]  預備起
[00:01:50.000 --> 00:01:53.000]  耶和華是我的目者
[00:01:53.000 --> 00:01:55.000]  我必不自缺乏
[00:01:55.000 --> 00:01:59.000]  他使我躺臥在青草地上
[00:01:59.000 --> 00:02:03.000]  令我再可安潔的水邊
[00:02:03.000 --> 00:02:06.000]  青草地溪水旁
[00:02:06.000 --> 00:02:08.000]  一幅很美的圖畫
[00:02:08.000 --> 00:02:11.000]  大家很快會想起什麼呢?
[00:02:11.000 --> 00:02:13.000]  如果你去過旅行
[00:02:13.000 --> 00:02:16.000]  你很快想起狗仔溝都未定
[00:02:16.000 --> 00:02:19.000]  那裡的水很美
[00:02:19.000 --> 00:02:23.000]  又或者你去過青景農場
[00:02:23.000 --> 00:02:25.000]  青青草原
[00:02:25.000 --> 00:02:28.000]  你會發覺一大片綠油油的草地
[00:02:28.000 --> 00:02:29.000]  美不美?
[00:02:29.000 --> 00:02:30.000]  很美
[00:02:30.000 --> 00:02:31.000]  我相信看完節目
[00:02:31.000 --> 00:02:34.000]  你打卡都打得不少
[00:02:34.000 --> 00:02:35.000]  都拍了很多照片
[00:02:35.000 --> 00:02:37.000]  甚至在你腦海裡
[00:02:37.000 --> 00:02:40.000]  留下了很深刻的印象
[00:02:40.000 --> 00:02:43.000]  其實這首詩篇
[00:02:43.000 --> 00:02:45.000]  青草地溪水旁
[00:02:45.000 --> 00:02:48.000]  最關鍵的地方是什麼呢?
[00:02:48.000 --> 00:02:52.000]  就是大衛經歷了他人生裡
[00:02:52.000 --> 00:02:55.000]  雖然有起起跌跌
[00:02:55.000 --> 00:02:59.000]  雖然被掃羅追殺
[00:02:59.000 --> 00:03:01.000]  雖然他遇到很多困難
[00:03:01.000 --> 00:03:06.000]  不過大衛有一個最明智的選擇
[00:03:06.000 --> 00:03:11.000]  就是他選擇了耶和華做他的神
[00:03:11.000 --> 00:03:14.000]  就是天父做他的目者
[00:03:14.000 --> 00:03:16.000]  因為天父是他目者的元冠
[00:03:16.000 --> 00:03:18.000]  所以大衛的人生當中
[00:03:18.000 --> 00:03:23.000]  縱然會有很多崎嶇的道路
[00:03:23.000 --> 00:03:28.000]  但是每一關每一步都經歷上帝的帶領
[00:03:28.000 --> 00:03:30.000]  上帝的保守
[00:03:30.000 --> 00:03:33.000]  你說是不是一個很美好的人生呢?
