
[00:00:00.000 --> 00:00:03.600]  弟兄姊妹,你信不信耶穌基督是神的兒子?
[00:00:03.600 --> 00:00:08.560]  信啊,其實主傳道問這條問題好像有點多餘
[00:00:08.560 --> 00:00:11.320]  既然稱得上是弟兄姊妹,即是說信耶穌
[00:00:11.320 --> 00:00:14.320]  但信耶穌,我們就要相信祂是神的兒子
[00:00:14.320 --> 00:00:16.920]  好,我們今天看經文
[00:00:16.920 --> 00:00:19.480]  題目說了,就是
[00:00:19.480 --> 00:00:23.240]  「你所念的,你明白嗎?」
[00:00:23.240 --> 00:00:25.720]  剛才經文開始的時候,我們看到
[00:00:25.720 --> 00:00:28.520]  大家看看這幅圖
[00:00:28.520 --> 00:00:32.040]  有兩個人,一個是太監,一個是肥利
[00:00:32.040 --> 00:00:35.880]  大家猜猜誰是太監
[00:00:35.880 --> 00:00:41.440]  是拿著聖經的那個是嗎?
[00:00:41.440 --> 00:00:47.120]  還是手指上的那個是呢?
[00:00:47.120 --> 00:00:50.960]  又或者是,大家猜猜有一個比較黑的
[00:00:50.960 --> 00:00:53.520]  有一個臉紅一點的
[00:00:53.520 --> 00:00:57.240]  應該是拿著聖經的那個就是太監
[00:00:57.240 --> 00:01:00.520]  跟他解釋聖經的那個就是肥利
[00:01:00.520 --> 00:01:02.840]  我們再看回今天的經文
[00:01:02.840 --> 00:01:05.560]  我們讀的經文其實可以分為
[00:01:05.560 --> 00:01:09.280]  再細分,可以分為三個小段去看
[00:01:09.280 --> 00:01:13.360]  第一個小段可以說是在二十六節到二十八節
[00:01:13.360 --> 00:01:15.360]  這裡說到主
[00:01:15.360 --> 00:01:17.840]  是主親自來猜猜肥利
[00:01:17.840 --> 00:01:20.560]  來見這個太監
[00:01:20.560 --> 00:01:25.680]  在經文開始的時候,說到有主的一個侍者對肥利說
[00:01:25.680 --> 00:01:28.720]  然後就叫他起身
[00:01:28.720 --> 00:01:35.040]  這個侍者其實一般的解釋都是說
[00:01:35.040 --> 00:01:40.280]  是天使,是神差派天使來跟肥利說話
[00:01:40.280 --> 00:01:44.000]  因為神想肥利幫他做點事
[00:01:44.000 --> 00:01:46.000]  差派肥利去做點事
[00:01:46.000 --> 00:01:47.760]  肥利是誰呢?
[00:01:47.760 --> 00:01:52.920]  如果大家對照行傳有看過的時候就有點印象了
[00:01:52.920 --> 00:01:59.320]  肥利原來在新約聖經裡面是第一屆的執事
[00:01:59.320 --> 00:02:02.960]  第一屆教會選執事的時候就選到他了
[00:02:02.960 --> 00:02:07.080]  但原來當時選執事其中有個條件很重要的
[00:02:07.080 --> 00:02:09.520]  大家不知道記不記得是甚麼條件
[00:02:09.520 --> 00:02:13.920]  當然人品要好那些當然有,一定要有
[00:02:13.920 --> 00:02:17.360]  另外一個條件就是要聖靈充滿
[00:02:17.360 --> 00:02:22.120]  選執事原來有個條件就是那個執事要常常被聖靈充滿
[00:02:22.120 --> 00:02:26.320]  這個原來是被選的條件
[00:02:26.320 --> 00:02:30.840]  這裡也在說肥利原來是一個被聖靈充滿的人
[00:02:30.840 --> 00:02:38.200]  所以當主差派侍者和肥利叫他起來,向南走的時候
