
[00:00:00.000 --> 00:00:03.640]  各位弟兄姊妹,新年平安
[00:00:03.640 --> 00:00:06.520]  我們每年在這個時候
[00:00:06.520 --> 00:00:11.760]  不單止教會都藉著這個時機來講一些應節的話題
[00:00:11.760 --> 00:00:16.000]  很多時候在社會裡面
[00:00:16.000 --> 00:00:21.160]  中國人當年生肖的動物
[00:00:21.160 --> 00:00:24.200]  都成為世界各國元首
[00:00:24.200 --> 00:00:28.080]  甚至一些大型活動的話題
[00:00:28.080 --> 00:00:31.280]  前晚如果大家有看東奧的時候
[00:00:31.280 --> 00:00:33.800]  你就看到東奧的主席
[00:00:33.800 --> 00:00:37.000]  講完法文,接著又講英文
[00:00:37.000 --> 00:00:39.440]  都是用苦這個話題
[00:00:39.440 --> 00:00:45.440]  來祝賀東奧希望能夠成功
[00:00:45.440 --> 00:00:48.760]  心裡面純潔的人
[00:00:48.760 --> 00:00:50.960]  有信心的人
[00:00:50.960 --> 00:00:53.760]  他在任何的事例
[00:00:53.760 --> 00:00:55.960]  任何經歷裡面
[00:00:55.960 --> 00:01:00.040]  都看到神的手在作功
[00:01:00.040 --> 00:01:04.640]  也都聽到神的話語對他說話
[00:01:04.640 --> 00:01:09.240]  如果一個心靈很複雜
[00:01:09.240 --> 00:01:11.880]  而且不單純
[00:01:11.880 --> 00:01:16.560]  裡面心思很混亂的人
[00:01:16.560 --> 00:01:19.400]  就算打開聖經
[00:01:19.400 --> 00:01:26.080]  或者坐在禮堂前排第一行來聽聖經
[00:01:26.080 --> 00:01:28.800]  他都聽不到神的聲音
[00:01:28.800 --> 00:01:31.840]  也都聽不到神的話
[00:01:31.840 --> 00:01:35.800]  我們看到很多社會裡面的話題
[00:01:35.800 --> 00:01:37.960]  我們作為一個基督徒
[00:01:37.960 --> 00:01:40.040]  一個認識主的人
[00:01:40.040 --> 00:01:45.120]  我們可以從中不跟潮流去分析去看
[00:01:45.120 --> 00:01:47.040]  而是從裡面看見
[00:01:47.040 --> 00:01:51.600]  神的心意怎樣,神怎樣可以藉著這個話題
[00:01:51.600 --> 00:01:54.560]  來對世人講說話
[00:01:54.560 --> 00:01:58.520]  所以我做基督徒做了超過半個世紀
[00:01:58.520 --> 00:02:00.520]  這麼久的時間
[00:02:00.520 --> 00:02:06.320]  我覺得神的話語好像量態通遍天下一樣
[00:02:06.320 --> 00:02:07.960]  你看一部電影
[00:02:07.960 --> 00:02:09.560]  你去聽一個音樂
[00:02:09.560 --> 00:02:11.560]  你看一本小說
[00:02:11.560 --> 00:02:13.880]  你都看到神在裡面
[00:02:13.880 --> 00:02:17.640]  究竟有什麼東西對世界來說
[00:02:17.640 --> 00:02:21.480]  生肖和生肖的動物
[00:02:21.480 --> 00:02:23.720]  我們要區分
[00:02:23.720 --> 00:02:27.920]  中國人的生肖以十二種動物
[00:02:27.920 --> 00:02:30.120]  來標示一個人
[00:02:30.120 --> 00:02:32.840]  如果你是出生年
[00:02:32.840 --> 00:02:35.320]  是屬於這一種動物
[00:02:35.320 --> 00:02:39.560]  你就會從這種動物的表徵裡面
[00:02:39.560 --> 00:02:44.200]  遇到禍福吉康等等的事
[00:02:44.200 --> 00:02:46.080]  這個是術數
[00:02:46.080 --> 00:02:47.840]  這個是迷信
[00:02:47.840 --> 00:02:50.040]  這個是風水
[00:02:50.040 --> 00:02:53.960]  無論二冊書、詩篇、生命記
[00:02:53.960 --> 00:02:57.120]  都很多時候講到你們不要信這些占卜
[00:02:57.120 --> 00:02:58.840]  或者假神
[00:02:58.840 --> 00:03:02.800]  他們所講的是不靈驗的
[00:03:02.800 --> 00:03:04.960]  就算有時候有應驗
[00:03:04.960 --> 00:03:08.480]  是上帝刻意去考驗你們
[00:03:08.480 --> 00:03:13.080]  對祂是不是盡心盡意來敬拜祂
[00:03:13.080 --> 00:03:16.400]  反而生肖裡面這種動物
[00:03:16.400 --> 00:03:17.680]  除了龍
[00:03:17.680 --> 00:03:21.600]  很可能是傳說中的動物之外
[00:03:21.600 --> 00:03:23.200]  其他的十一種
[00:03:23.200 --> 00:03:25.960]  都是在現實生活裡面
[00:03:25.960 --> 00:03:29.080]  可以看得見的動物
[00:03:29.080 --> 00:03:32.360]  我們看見有很多動物的故事
[00:03:32.360 --> 00:03:35.400]  譬如我看見一間基督教出版社
[00:03:35.400 --> 00:03:40.440]  也出版了一本是圖文並茂的
[00:03:40.440 --> 00:03:44.400]  《聖經》中動物的故事
[00:03:44.400 --> 00:03:46.200]  《聖經》裡面的動物
[00:03:46.200 --> 00:03:48.840]  神都使用它們來講說話
[00:03:48.840 --> 00:03:51.640]  以及使用它們的見證
[00:03:51.640 --> 00:03:56.440]  使用它們來敬拜、服侍神
[00:03:56.440 --> 00:03:59.560]  特別在舊約的經卷裡面
[00:03:59.560 --> 00:04:02.120]  我們看見智慧人
[00:04:02.120 --> 00:04:08.680]  很喜歡用動物來指出人性裡面的軟弱
[00:04:08.680 --> 00:04:09.720]  真言說
[00:04:09.720 --> 00:04:11.720]  懶惰的人
[00:04:11.720 --> 00:04:15.400]  你去看看螞蟻有沒有睡覺
[00:04:15.400 --> 00:04:17.160]  有沒有停下來
[00:04:17.160 --> 00:04:20.240]  如果當你看見螞蟻停下來
[00:04:20.240 --> 00:04:22.600]  十乘十
[00:04:22.600 --> 00:04:24.880]  或者十乘九
