
[00:00:00.000 --> 00:00:01.420]  各位正姐妹大家好
[00:00:01.420 --> 00:00:05.940]  今日希望跟大家分享一段大家都很熟悉的經文
[00:00:05.940 --> 00:00:09.620]  這段經文記載在耶利米蘇一章四至十節
[00:00:09.620 --> 00:00:12.420]  經文應該都會打出來
[00:00:12.420 --> 00:00:14.060]  我讀一次給大家聽
[00:00:14.060 --> 00:00:18.500]  耶利米說耶和華的話臨到我
[00:00:18.500 --> 00:00:21.880]  說我尚未將你做在母腹中
[00:00:21.880 --> 00:00:23.640]  就已認識你
[00:00:23.640 --> 00:00:25.240]  你未出母胎
[00:00:25.240 --> 00:00:27.240]  我已將你分別為姓
[00:00:28.020 --> 00:00:30.600]  派你作列國的先知
[00:00:30.600 --> 00:00:33.580]  我就說:唉!主耶和華
[00:00:33.580 --> 00:00:36.160]  看吶!我不知道怎樣說
[00:00:36.160 --> 00:00:37.740]  因為我年輕
[00:00:37.740 --> 00:00:39.560]  耶和華對我說
[00:00:39.560 --> 00:00:41.100]  不要說我年輕
[00:00:41.100 --> 00:00:44.020]  因為我猜顯你到誰那裡去
[00:00:44.020 --> 00:00:45.140]  你都要去
[00:00:45.140 --> 00:00:47.060]  去吩咐你說什麼話
[00:00:47.060 --> 00:00:48.340]  你都要說
[00:00:48.340 --> 00:00:51.140]  你不要怕他們
[00:00:51.140 --> 00:00:53.780]  因為我與你同在
[00:00:53.780 --> 00:00:54.860]  要拯救你
[00:00:54.860 --> 00:00:56.360]  這是耶和華說的
[00:00:56.360 --> 00:00:58.940]  於是耶和華伸手按著我的口
[00:00:58.940 --> 00:00:59.940]  對我說
[00:00:59.940 --> 00:01:03.840]  看吶!我已將我的話放在你口中
[00:01:03.840 --> 00:01:08.860]  我今日立你在列邦列國之上
[00:01:08.860 --> 00:01:12.260]  為要拔出拆毀毀壞傾覆
[00:01:12.260 --> 00:01:14.260]  又要建立災籍
[00:01:14.260 --> 00:01:17.300]  我相信大家都很熟悉這段經文
[00:01:17.300 --> 00:01:19.920]  尤其是在經文的第十節
[00:01:19.920 --> 00:01:22.340]  那裏說拆毀
[00:01:22.340 --> 00:01:25.580]  即是我們經常說的拆毀與重建
[00:01:25.580 --> 00:01:28.120]  就是來自這段經文
[00:01:28.120 --> 00:01:31.560]  如果我們從經文去看
[00:01:31.560 --> 00:01:33.160]  這段經文亦是
[00:01:33.160 --> 00:01:34.720]  即是最尾第十節
[00:01:34.720 --> 00:01:38.280]  亦是耶和華要耶利米先知
[00:01:38.280 --> 00:01:41.280]  向列國所說的一番話
[00:01:41.280 --> 00:01:45.860]  就是要拔出拆毀毀壞傾覆
[00:01:45.860 --> 00:01:47.860]  又要建立又要災籍
[00:01:47.860 --> 00:01:50.880]  這亦是我今日所說的主題
[00:01:50.880 --> 00:01:54.320]  生命裏面的破與立的重點所在
[00:01:55.040 --> 00:01:57.960]  我相信大家都希望生命有進步
[00:01:57.960 --> 00:01:59.480]  生命有突破
[00:01:59.480 --> 00:02:01.720]  我想我們在甚麼年紀都希望
[00:02:01.720 --> 00:02:03.720]  我們希望可以突破一些框框
[00:02:03.720 --> 00:02:06.360]  我們希望我們的生命可以不斷向前走
[00:02:06.360 --> 00:02:07.960]  或者有些進步
[00:02:07.960 --> 00:02:13.920]  破或立正正是生命成長一個關鍵的地方
[00:02:13.920 --> 00:02:15.240]  可能大家都知道
[00:02:15.240 --> 00:02:18.800]  在香港社會很多時候都說要拆一些地方
[00:02:18.800 --> 00:02:20.560]  因為我們都明白
[00:02:20.560 --> 00:02:22.920]  我們香港的空間實在有限
[00:02:22.920 --> 00:02:24.680]  所以土地亦都不足
[00:02:24.680 --> 00:02:28.240]  所以很多時候我們說要建屋給香港人居住
[00:02:28.240 --> 00:02:30.520]  或者我們想樓價沒那麼貴的時候
[00:02:30.520 --> 00:02:33.840]  特首都說地在哪裏來呢
[00:02:33.840 --> 00:02:36.560]  我們姑勿論地在哪裏來
[00:02:36.560 --> 00:02:38.960]  在粉嶺的高爾夫球場也好
[00:02:38.960 --> 00:02:40.960]  在郊野公園也好
[00:02:40.960 --> 00:02:43.920]  都帶出一個關鍵的問題
[00:02:43.920 --> 00:02:47.800]  就是其實地或者空間就是這麼多
[00:02:47.800 --> 00:02:50.640]  你要再做一些新東西上去的時候
[00:02:50.640 --> 00:02:52.800]  你總要釋放
[00:02:52.800 --> 00:02:55.080]  或者你總要拆了一些東西
[00:02:55.080 --> 00:02:58.880]  你才可以建立一些新的東西上去
[00:02:58.880 --> 00:03:03.880]  各位,回到我們的生命那裏
[00:03:03.880 --> 00:03:05.440]  同樣都是
[00:03:05.440 --> 00:03:08.680]  我們的生命的承載力是有限的
