
[00:00:00.000 --> 00:00:02.000]  各位頂子妹平安
[00:00:02.000 --> 00:00:06.680]  大家回來後應該都平安了
[00:00:06.680 --> 00:00:11.160]  在龐陀大禹雷電交加的底下
[00:00:11.160 --> 00:00:16.000]  我們看見上主的能力、威嚴
[00:00:16.000 --> 00:00:18.720]  亦都有祂的保守在當中
[00:00:18.720 --> 00:00:23.120]  讓我們在聆聽神的話語之先再次祈禱
[00:00:28.320 --> 00:00:30.320]  願獨人口中的言語
[00:00:30.320 --> 00:00:33.600]  頂子妹的心思意念
[00:00:33.600 --> 00:00:36.240]  夢聖靈的啟迪
[00:00:36.240 --> 00:00:37.600]  夢主的悅勒
[00:00:37.600 --> 00:00:40.560]  禱告藉主耶穌基督的聖名而求
[00:00:40.560 --> 00:00:41.840]  阿們
[00:00:41.840 --> 00:00:47.600]  奉命行事
[00:00:47.600 --> 00:00:50.480]  是忠心的表現
[00:00:50.480 --> 00:00:53.120]  對於講求紀律
[00:00:53.120 --> 00:00:56.080]  服從上級命令的軍隊來說
[00:00:56.080 --> 00:00:57.520]  就更加重要
[00:00:58.800 --> 00:01:00.800]  因為個別的士兵
[00:01:00.800 --> 00:01:04.480]  他們只能夠看到自己眼前的情況
[00:01:04.480 --> 00:01:09.120]  所以未必能夠掌握整個戰局
[00:01:09.120 --> 00:01:11.440]  和戰略的安排
[00:01:11.440 --> 00:01:15.200]  倘若只是按照自己的喜好
[00:01:15.200 --> 00:01:17.680]  自己的判斷來行事
[00:01:17.680 --> 00:01:22.560]  最終可能會送上自己的性命
[00:01:22.560 --> 00:01:25.440]  更加會連累他的同袍
[00:01:26.320 --> 00:01:29.760]  不過,在這些極端的情況下
[00:01:29.760 --> 00:01:32.560]  如何去執行上級的命令
[00:01:32.560 --> 00:01:35.520]  就有一個很大的討論空間
[00:01:35.520 --> 00:01:41.040]  我讀過一個這樣的報道
[00:01:41.040 --> 00:01:44.000]  在1989年2月
[00:01:44.000 --> 00:01:46.480]  當時的德國
[00:01:46.480 --> 00:01:50.560]  仍然是分為東德和西德
[00:01:50.560 --> 00:01:54.880]  在中間隔開的就是柏林圍牆
[00:01:56.640 --> 00:01:58.640]  有兩個東德青年
[00:01:58.640 --> 00:02:01.760]  一個叫做Chris Gettfeuil
[00:02:01.760 --> 00:02:05.760]  另一個叫做Christian Gauden
[00:02:05.760 --> 00:02:10.240]  他們誤以為當時有一條命令
[00:02:10.240 --> 00:02:13.360]  就是射殺任何翻越柏林圍牆的人
[00:02:13.360 --> 00:02:16.000]  這條命令已經被撤銷
[00:02:16.000 --> 00:02:18.640]  所以他們這兩個朋友
[00:02:18.640 --> 00:02:21.360]  就決定翻越柏林圍牆
[00:02:21.360 --> 00:02:23.600]  希望進入西德
[00:02:24.400 --> 00:02:27.520]  誰知道在這個翻越的時候
[00:02:27.520 --> 00:02:32.400]  他們被四位守衛著圍牆的東德士兵發現了
[00:02:32.400 --> 00:02:35.360]  士兵就開槍阻止他們
[00:02:35.360 --> 00:02:39.280]  結果Chris就當場被擊斃
[00:02:39.280 --> 00:02:42.480]  成為了東西德合併之前
[00:02:42.480 --> 00:02:46.800]  最後一個因為試圖翻越柏林圍牆
[00:02:46.800 --> 00:02:49.920]  而被槍殺的東德遇難者
[00:02:50.640 --> 00:02:54.880]  而他的朋友就重傷被捕入獄
[00:02:54.880 --> 00:02:58.480]  去到1991年的9月
[00:02:58.480 --> 00:03:02.320]  當時東西德已經合併了大概一年
[00:03:02.320 --> 00:03:04.640]  柏林地區法院
[00:03:04.640 --> 00:03:07.600]  為著Chris被射殺這件事
[00:03:07.600 --> 00:03:12.800]  去起訴四名守衛著圍牆的前東德士兵
