
[00:00:00.000 --> 00:00:05.500]  開始講到的時候,我很想簡單去做一個民調
[00:00:05.500 --> 00:00:10.500]  大家最近有沒有收到一些訊息呢?
[00:00:10.500 --> 00:00:13.120]  是你不認識的人發訊息給你嗎?
[00:00:13.120 --> 00:00:15.120]  發訊息給你嗎?有沒有?
[00:00:15.120 --> 00:00:16.420]  有啊,對吧?
[00:00:16.420 --> 00:00:19.840]  這麼多堂都是很多額頭,是嗎?
[00:00:19.840 --> 00:00:23.200]  那些額頭就說「有啊,那些是甚麼訊息來的?」
[00:00:23.200 --> 00:00:25.840]  假的,是嗎?
[00:00:25.840 --> 00:00:30.600]  現在有一個新的名詞叫做「釣魚訊息」
[00:00:30.600 --> 00:00:35.640]  就是看看誰中了這個騙徒的陷阱
[00:00:35.640 --> 00:00:39.060]  你打開那個訊息,你點擊那個連結的時候
[00:00:39.060 --> 00:00:42.800]  你就會掉進這個騙徒的陷阱裡面
[00:00:42.800 --> 00:00:47.980]  所以近期也有很多宣傳、政府的提醒
[00:00:47.980 --> 00:00:51.800]  就說叫我們甚麼「小心騙徒」
[00:00:51.800 --> 00:00:56.060]  你知不知道原來耶穌也有這樣跟我們說過
[00:00:56.060 --> 00:00:58.840]  就是叫我們去小心騙徒
[00:00:58.840 --> 00:01:01.880]  但這個就不是網絡騙徒
[00:01:01.880 --> 00:01:03.640]  他叫我們小心的是甚麼?
[00:01:03.640 --> 00:01:07.180]  小心的是經常去敵黨真理
[00:01:07.180 --> 00:01:12.560]  經常千方百計地去破壞我們跟神之間的關係
[00:01:12.560 --> 00:01:15.520]  那個大騙子,魔鬼撒旦
[00:01:15.520 --> 00:01:21.340]  所以今天我跟大家講的題目就叫做「真真假假」
[00:01:21.340 --> 00:01:25.300]  當我們知道原來有一個大騙徒魔鬼撒旦
[00:01:25.300 --> 00:01:27.840]  經常去欺騙我們的時候
[00:01:27.840 --> 00:01:30.560]  我們怎樣去分辨熟年層面的內容
[00:01:30.560 --> 00:01:34.100]  甚麼叫做「真」甚麼叫做「假」呢?
[00:01:34.100 --> 00:01:38.440]  今天我就選擇了甚麼叫做「真」甚麼叫做「假」
[00:01:38.440 --> 00:01:42.220]  我們今天就會有三個方向去探討這件事
[00:01:42.220 --> 00:01:43.980]  第一,當然我們要知道
[00:01:43.980 --> 00:01:47.480]  究竟撒旦是誰?他是從何而來的?
[00:01:47.480 --> 00:01:52.160]  撒旦今天他又在擔演一個甚麼角色去騙我們?
[00:01:52.160 --> 00:01:53.960]  去到敵黨真理呢?
[00:01:53.960 --> 00:01:56.300]  最重要的就是到第三點
[00:01:56.300 --> 00:02:01.200]  就是究竟我們怎樣可以勝過撒旦的詭計
[00:02:01.200 --> 00:02:04.920]  我選擇了比德前書五章七到十節
