
[00:00:00.000 --> 00:00:09.000]  我們先來看看從這經目裏頭看到這個保羅寫鐵杓人家後書的目的
[00:00:09.000 --> 00:00:11.000]  他已經寫過前書了
[00:00:11.000 --> 00:00:14.000]  現在又寫了後書
[00:00:14.000 --> 00:00:19.000]  這後書呢是在他寫了前書以後
[00:00:19.000 --> 00:00:24.000]  覺得還有需要跟弟兄姊妹再寫一封信
[00:00:24.000 --> 00:00:31.000]  有一些他們一些情形需要糾正需要安慰需要鼓勵
[00:00:31.000 --> 00:00:38.000]  所以在他幾個月以後他又寫了後書
[00:00:38.000 --> 00:00:40.000]  這個寫後書的目的呢
[00:00:40.000 --> 00:00:44.000]  一個就是主耶穌呢曾經預告過
[00:00:44.000 --> 00:00:48.000]  在他回來以前呢有必有大的災難
[00:00:48.000 --> 00:00:52.000]  特別是在這個《瑪利福音》二十四章
[00:00:52.000 --> 00:00:58.000]  主耶穌跟拿督在講話的時候就提到的
[00:00:58.000 --> 00:01:01.000]  他說將來有大災難
[00:01:01.000 --> 00:01:03.000]  而且這個大災難呢
[00:01:03.000 --> 00:01:08.000]  他說從世界的起頭直到如今
[00:01:08.000 --> 00:01:12.000]  世界起頭那是幾千年了
[00:01:12.000 --> 00:01:16.000]  到耶穌這個時候他直到如今
[00:01:16.000 --> 00:01:18.000]  沒有這樣的災難
[00:01:18.000 --> 00:01:22.000]  還沒有過那後來呢也並沒有
[00:01:22.000 --> 00:01:26.000]  所以這個是特別提到一個大災難
[00:01:26.000 --> 00:01:30.000]  雖然地上的話這個人類的歷史幾千年
[00:01:30.000 --> 00:01:32.000]  有好多災難
[00:01:32.000 --> 00:01:37.000]  大的地震戰爭一殺的話
[00:01:37.000 --> 00:01:40.000]  一打起仗來的話死了不少人
[00:01:40.000 --> 00:01:44.000]  饑荒這也是有大的饑荒
[00:01:44.000 --> 00:01:48.000]  有大的社會動盪的不安
[00:01:48.000 --> 00:01:51.000]  這個很多災難
[00:01:51.000 --> 00:01:56.000]  可以說人類歷史就是一個災難的歷史
[00:01:56.000 --> 00:01:59.000]  我們所記憶的就很清楚的
[00:01:59.000 --> 00:02:02.000]  二次大戰的時候這些災難的話
[00:02:02.000 --> 00:02:04.000]  不管是在中國
[00:02:04.000 --> 00:02:07.000]  不管是在歐洲在各個地方
[00:02:07.000 --> 00:02:12.000]  這個大災難形容的話一點也不過分
[00:02:12.000 --> 00:02:16.000]  但耶穌特別提到這個大災難
[00:02:16.000 --> 00:02:21.000]  就是說過去的災難還沒有這麼厲害
[00:02:21.000 --> 00:02:23.000]  過去只能說災難
[00:02:23.000 --> 00:02:26.000]  但是在主耶穌回來那段日子以前
[00:02:26.000 --> 00:02:29.000]  有個大的災難
[00:02:29.000 --> 00:02:35.000]  這個是跟過去的性質程度在各方面都是不同的
[00:02:35.000 --> 00:02:39.000]  那麼在舊約聖經是不是有預言呢
[00:02:39.000 --> 00:02:46.000]  有的在《大義靈書》裏頭就提到有七十個七
[00:02:46.000 --> 00:02:50.000]  有一個七有六十二個七
[00:02:50.000 --> 00:02:54.000]  還有一個七最後一個七
[00:02:54.000 --> 00:02:57.000]  那麼一共是七十個七
[00:02:57.000 --> 00:03:03.000]  最後的一個七就跟這個前面的六十二個七
[00:03:03.000 --> 00:03:08.000]  跟七個七各開的話一段很長的時間
