
[00:00:00.000 --> 00:00:03.840]  大家看到這張照片時會想起什麼呢?
[00:00:03.840 --> 00:00:07.740]  正在捉棋,一怒一亂地捉棋
[00:00:07.740 --> 00:00:10.740]  這個情況應該是我在網上找到的
[00:00:10.740 --> 00:00:13.780]  在一個國內的地方,有一年的端午節
[00:00:13.780 --> 00:00:19.480]  他們特意找了幾十對又老又亂的對決
[00:00:19.480 --> 00:00:20.700]  在捉棋
[00:00:20.700 --> 00:00:24.080]  剛才我兩場都做了一些統計,也問問大家
[00:00:24.080 --> 00:00:27.540]  大家覺得公公會贏的,請舉手
[00:00:27.540 --> 00:00:32.460]  還是一半一半,誰覺得小朋友會贏的呢?
[00:00:32.460 --> 00:00:35.540]  你們對我們下一代很有信心
[00:00:35.540 --> 00:00:45.840]  我起初想,公公會不會對小朋友揚財呢?
[00:00:45.840 --> 00:00:51.080]  因為我心裏覺得,捉棋,我其實不太會捉長棋
[00:00:51.080 --> 00:00:56.800]  但捉棋都是年紀越大,有經驗老到,應該會比較聰明
[00:00:56.800 --> 00:00:59.780]  我想說,怎樣去揚財呢?
[00:00:59.780 --> 00:01:04.140]  當一個勢力很強,一個力量很強,一個弱一點的時候
[00:01:04.140 --> 00:01:08.420]  當你去揚財,你帶著什麼心情呢?
[00:01:08.420 --> 00:01:10.840]  你是不是做馬呢?
[00:01:10.840 --> 00:01:12.980]  其實我有時也會做一下的
[00:01:12.980 --> 00:01:15.440]  其實是想大家都玩得開心
[00:01:15.440 --> 00:01:19.880]  如果你跟小朋友捉棋,尤其是幼稚及一小學初小的
[00:01:19.880 --> 00:01:22.680]  他能力上未必有你轉得那麼快
[00:01:22.680 --> 00:01:26.920]  或者正在學的時候,你讓一下他
[00:01:26.920 --> 00:01:31.460]  其實是令大家一起可以很享受遊戲中間的樂趣
[00:01:31.460 --> 00:01:34.800]  你像是例樣,其實打球也是一樣
[00:01:34.800 --> 00:01:39.240]  打羽毛球,不知道大家喜不喜歡跟強過你的人打呢?
[00:01:39.240 --> 00:01:42.900]  我喜歡的,這樣才有進步的
[00:01:42.900 --> 00:01:46.960]  但強過的人,其實他也要讓讓給你,才可以打得到
[00:01:46.960 --> 00:01:51.120]  他每次都抽到你打不到的話,是沒有辦法進行的
