
[00:00:00.000 --> 00:00:03.980]  祈禱奉主耶穌基督的名 阿們
[00:00:30.000 --> 00:00:45.720]  他出生於荷蘭1892年
[00:00:45.720 --> 00:00:49.720]  我們會看到大時代
[00:00:49.720 --> 00:00:53.380]  二次世界大戰他成為一個很重要的英雄人物
[00:00:53.380 --> 00:00:58.200]  我們知道他幫助很多猶太人脫離險境
[00:00:58.200 --> 00:01:00.200]  或者說說他家庭的背景
[00:01:00.200 --> 00:01:08.620]  Kary Tam Boon的父親是一個製造珠寶和鐘錶的人物
[00:01:08.620 --> 00:01:10.360]  為人都很慷慨
[00:01:10.360 --> 00:01:12.860]  他們家人都很慷慨
[00:01:12.860 --> 00:01:18.240]  看到當時的社區有些需要他們就會去幫助
[00:01:18.240 --> 00:01:20.340]  特別是Kary Tam Boon
[00:01:20.340 --> 00:01:26.800]  他很覺得那些青年人可以給他們多一些的社團
[00:01:26.800 --> 00:01:28.800]  幫他們看看聖經
[00:01:28.800 --> 00:01:33.100]  或者是那些婦女教一些工藝
[00:01:33.100 --> 00:01:35.760]  到了二次世界大戰來到的時候
[00:01:35.760 --> 00:01:41.040]  納粹黨就對那些猶太人進行大屠殺
[00:01:41.040 --> 00:01:47.080]  有一次就是有人進了他們的商店裏面
[00:01:47.080 --> 00:01:51.080]  就說那個丈夫被人抓了
[00:01:51.080 --> 00:01:54.600]  你們可不可以給我一個地方去容身
[00:01:54.600 --> 00:01:58.740]  那麼有愛心的家庭他們是一個虔誠的基督徒的家庭
[00:01:58.740 --> 00:02:00.240]  自然收納了
[00:02:00.240 --> 00:02:05.800]  他們覺得猶太人是神的子民更加要保護他們有這樣的信念
[00:02:05.800 --> 00:02:10.020]  於是在那個地舖裏面樓上就是住宅
[00:02:10.020 --> 00:02:13.940]  就弄一些暗格收藏一些猶太人
[00:02:13.940 --> 00:02:19.540]  結果後期就幫助很多猶太人離開他們的險境
[00:02:19.540 --> 00:02:27.620]  據一些統計可能他們救了800位猶太人離開他們的險境
[00:02:27.620 --> 00:02:31.100]  這件事他們都很有心去做這件事
[00:02:31.100 --> 00:02:34.960]  後來就被納粹的軍人知道了
