
[00:00:00.000 --> 00:00:01.400]  大英姊妹,你好
[00:00:01.400 --> 00:00:06.120]  今天是六月份的最後一個主日
[00:00:06.120 --> 00:00:08.920]  亦是這個季度的最後一講
[00:00:08.920 --> 00:00:12.960]  我的題目叫做「生命母take 2」
[00:00:12.960 --> 00:00:13.960]  為甚麼這樣想呢?
[00:00:13.960 --> 00:00:16.360]  是因為過了一季
[00:00:16.360 --> 00:00:20.800]  在預備講章的同工一直在準備的時候
[00:00:20.800 --> 00:00:23.280]  最初是很不知如何處理
[00:00:23.280 --> 00:00:26.000]  其實角色還是我想說甚麼
[00:00:26.000 --> 00:00:26.960]  很多人都會想
[00:00:26.960 --> 00:00:30.920]  是否做兒子、做老婆、做太太諸如此類
[00:00:30.920 --> 00:00:35.320]  但一直分享不同的訊息的時候
[00:00:35.320 --> 00:00:40.160]  我們都見到上帝跟我們講的說話都很清晰
[00:00:40.160 --> 00:00:44.560]  就是講究竟我們做基督徒的定位在哪裡
[00:00:44.560 --> 00:00:49.800]  最近亦都有很多突然來的大英姊妹離世的消息
[00:00:49.800 --> 00:00:57.200]  令我們對整個生命有一個很好的重新整理的時間
[00:00:57.200 --> 00:01:00.800]  很多時候我們覺得我們人生是很自然的
[00:01:00.800 --> 00:01:04.240]  好像一個階段,一個階段是很自然地去
[00:01:04.240 --> 00:01:07.480]  特別我們這間教會已經快三十年了
[00:01:07.480 --> 00:01:12.200]  一班人一起長大、一起拍拖、結婚、生子
[00:01:12.200 --> 00:01:16.160]  事實上人生的定位,你問的階段都是一樣的
[00:01:16.160 --> 00:01:20.680]  我們都會經歷過可能是開心或不開心的童年
[00:01:20.680 --> 00:01:23.320]  童年對於我們的人生都頗大影響
[00:01:23.320 --> 00:01:25.360]  每一次在經歷神營會裏面
[00:01:25.360 --> 00:01:29.160]  很多時候聖靈的介入、光照的時候
[00:01:29.160 --> 00:01:31.040]  你會發覺你現在的你
[00:01:31.040 --> 00:01:36.240]  其實很多都仍是受小朋友那時候的發展影響
[00:01:36.240 --> 00:01:40.720]  特別還有一個部分是關於我們開始大大地去跟別人做朋友
[00:01:40.720 --> 00:01:45.240]  中學生階段是我們去認識我們家人以外的人
[00:01:45.240 --> 00:01:50.200]  唯一的世界是可以出席飯、可以玩、可以交朋友
[00:01:50.200 --> 00:01:53.200]  所以當中有好的人際關係經驗
[00:01:53.200 --> 00:01:55.600]  人是正向、開朗很多的
[00:01:55.600 --> 00:01:58.720]  如果你說在中學生的時代是有些被出賣
[00:01:58.720 --> 00:02:01.400]  有些很被人欺凌的狀態
[00:02:01.400 --> 00:02:03.760]  我們見到一生都是纏繞的
[00:02:03.760 --> 00:02:06.640]  如果你的發展是正向和開心、快樂的
[00:02:06.640 --> 00:02:12.200]  很快當然你都會找到你心目中的另一個結婚
[00:02:12.200 --> 00:02:15.720]  不過香港都是一個很城市化的地方
[00:02:15.720 --> 00:02:18.120]  所以一樣有同樣的問題
[00:02:18.120 --> 00:02:20.600]  婚姻已經是一個好像很不穩定的事
[00:02:20.600 --> 00:02:24.920]  兩對結婚差不多有一對會離婚的
[00:02:24.920 --> 00:02:28.880]  以前離婚就是意外的事
[00:02:28.880 --> 00:02:30.960]  但是現在其實就算相信了
[00:02:30.960 --> 00:02:35.360]  我們都好像真的很難跟一個人生活一生一世
[00:02:35.360 --> 00:02:38.280]  所以我不知道中堂可能有很多夫婦
[00:02:38.280 --> 00:02:40.440]  如果你走到今時今日差點要抓拐杖
[00:02:40.440 --> 00:02:41.640]  你還可以在這裏
[00:02:41.640 --> 00:02:43.040]  雖然你現在的頭髮應該不白了
[00:02:43.040 --> 00:02:45.440]  現在是個個染髮的
[00:02:45.440 --> 00:02:48.040]  但是原來真的不簡單的
[00:02:48.040 --> 00:02:53.800]  能夠白頭到老是一個不簡單的事情
[00:02:53.800 --> 00:02:55.000]  不過無論如何都好
[00:02:55.000 --> 00:02:57.800]  我們也要預備心理進入另一個階段
[00:02:57.800 --> 00:02:59.000]  我們雖然很相愛
[00:02:59.000 --> 00:02:59.840]  那些想一起死
[00:02:59.840 --> 00:03:01.360]  但是很難一起死的
[00:03:01.360 --> 00:03:05.920]  你如果未拍拖那些可能還在同境
[00:03:05.920 --> 00:03:07.040]  一起睡覺
[00:03:07.040 --> 00:03:09.240]  我們結婚第一晚發現的秘密
[00:03:09.240 --> 00:03:11.520]  就是發現原來不是一起睡覺的
[00:03:11.520 --> 00:03:13.480]  是一起上床而已
[00:03:13.480 --> 00:03:14.440]  你明白我的意思嗎
[00:03:14.440 --> 00:03:15.640]  都未睡覺
[00:03:15.640 --> 00:03:17.560]  竟然有聲音
[00:03:17.560 --> 00:03:20.640]  你會發覺要一起睡覺是很艱難的事情
[00:03:20.640 --> 00:03:21.360]  感恩的
[00:03:21.360 --> 00:03:24.080]  如果我們真的大家都可以在天堂相會
[00:03:24.080 --> 00:03:27.040]  面對死亡也不是一件很可怕的事情
[00:03:27.040 --> 00:03:28.800]  在我們有信仰的人來說
[00:03:28.800 --> 00:03:30.840]  不過信仰對我們
[00:03:30.840 --> 00:03:32.880]  跟沒有信仰的人有什麼分別呢
[00:03:32.880 --> 00:03:34.400]  某程度上分別不是太大
[00:03:34.400 --> 00:03:36.040]  人人都是要這樣過的
[00:03:36.040 --> 00:03:38.760]  不過如果你真的能夠
[00:03:38.760 --> 00:03:42.600]  可以很豁達很通透地去看待人生的時候
[00:03:42.600 --> 00:03:43.840]  特別我們不害怕死亡
[00:03:43.840 --> 00:03:45.120]  我們知道死亡之後
[00:03:45.120 --> 00:03:46.560]  我們是會有永恆的生命
[00:03:46.560 --> 00:03:48.880]  我們還會進入另一個角度的時候
[00:03:48.880 --> 00:03:51.520]  其實你應該好好地去把握
[00:03:51.520 --> 00:03:53.280]  這個所謂有限的人生
[00:03:53.280 --> 00:03:55.280]  當你能夠真的刻意去計劃
[00:03:55.280 --> 00:03:56.680]  用心經營
[00:03:56.680 --> 00:04:01.240]  其實我們所過的所謂人生的生活
[00:04:01.240 --> 00:04:03.440]  應該好像耶穌基督的英雄一樣
[00:04:03.440 --> 00:04:04.960]  是應該活得精彩的
