
[00:00:00.000 --> 00:00:02.420]  今天是聖靈降臨主日
[00:00:02.420 --> 00:00:03.800]  聖靈降臨主日
[00:00:03.800 --> 00:00:07.720]  其實都是教會裡面一個重要的日子
[00:00:07.720 --> 00:00:11.600]  在很多主流的教會裡面
[00:00:11.600 --> 00:00:14.320]  他們會覺得這個禮儀很重要
[00:00:14.320 --> 00:00:15.920]  但是我相信一件事
[00:00:15.920 --> 00:00:17.800]  對於我來說
[00:00:17.800 --> 00:00:21.400]  聖靈降臨主日在沙鎮
[00:00:21.400 --> 00:00:24.700]  的特別意義就在於
[00:00:24.700 --> 00:00:29.000]  我們是一群在聖靈裡面開放的弟兄姊妹
[00:00:29.000 --> 00:00:35.200]  我們不抗拒聖靈的作為在我們當中
[00:00:35.200 --> 00:00:39.200]  但是我們願意重新重溫當日
[00:00:39.200 --> 00:00:43.000]  為什麼會聖靈降臨五場節發生的事件
[00:00:43.000 --> 00:00:46.200]  再一次去看聖靈降臨之後
[00:00:46.200 --> 00:00:49.400]  教會如何行在聖靈當中的時候
[00:00:49.400 --> 00:00:52.300]  有五方面我們跟大家一起去思考
[00:00:52.300 --> 00:00:53.800]  為什麼我這樣說
[00:00:53.800 --> 00:00:56.300]  因為我們開放在聖靈裡面
[00:00:56.300 --> 00:00:59.400]  不單是那種外顯的經驗上
[00:00:59.400 --> 00:01:02.200]  而是那種每一次我們聚會的時候
[00:01:02.200 --> 00:01:03.600]  我們真的覺得
[00:01:03.600 --> 00:01:05.900]  聖靈是帶領著我們的聚會
[00:01:05.900 --> 00:01:07.900]  聖靈是引導著我們
[00:01:07.900 --> 00:01:10.400]  去遵從祂的心意而行
[00:01:10.400 --> 00:01:13.500]  所以這件事是令我們興奮的
[00:01:13.500 --> 00:01:17.900]  也都令我們好像一個冒險之旅
[00:01:17.900 --> 00:01:20.800]  每一次我們開祖的時候
[00:01:20.800 --> 00:01:23.000]  每一次我們崇拜的時候
[00:01:23.000 --> 00:01:25.000]  可能都會有一些東西
[00:01:25.000 --> 00:01:26.800]  令到觸動我們
[00:01:26.800 --> 00:01:29.400]  叫到我們要去
[00:01:29.400 --> 00:01:33.000]  繼續將焦點放在神的身上
[00:01:33.000 --> 00:01:35.500]  所以今天和大家分享的
[00:01:35.500 --> 00:01:38.700]  是一個行在聖靈中的教會
[00:01:38.700 --> 00:01:42.000]  我們所看的經文是《使徒行傳》第二章
[00:01:42.000 --> 00:01:43.700]  其實我全章都會提及
[00:01:43.700 --> 00:01:47.300]  但是特別強調的是37到47節
[00:01:47.300 --> 00:01:50.300]  因為這個就是聖靈降臨之後
[00:01:50.300 --> 00:01:52.500]  當彼得講道之後
[00:01:52.500 --> 00:01:55.300]  有三千人信主之後
[00:01:55.300 --> 00:01:58.800]  這一班猶太的信徒
[00:01:58.800 --> 00:02:00.500]  他們在耶路撒冷裏面
[00:02:00.500 --> 00:02:02.100]  怎樣去活出一個
[00:02:02.100 --> 00:02:06.000]  行在聖靈中的生活
[00:02:06.000 --> 00:02:08.500]  回到聖靈降臨主日
[00:02:08.500 --> 00:02:12.200]  對我來說今天是6月4號
[00:02:12.200 --> 00:02:15.700]  剛才黎晴執事在她的禱告裏面都提到
[00:02:15.700 --> 00:02:19.700]  6月4號都是我們在香港的人
[00:02:19.700 --> 00:02:22.200]  一個很難忘的日子
[00:02:22.200 --> 00:02:24.400]  所以我昨天在小組裏面的禱告
[00:02:24.400 --> 00:02:25.600]  我都很大的感觸
[00:02:25.600 --> 00:02:27.000]  我就是說
[00:02:27.000 --> 00:02:30.300]  我們盼望的就是神的國度
[00:02:30.300 --> 00:02:33.100]  去臨到普世
[00:02:33.100 --> 00:02:34.800]  特別臨到我們的中國
[00:02:34.800 --> 00:02:38.800]  事實上中國現在的福音的發展
[00:02:38.800 --> 00:02:40.900]  是令我們雀躍的
[00:02:40.900 --> 00:02:42.200]  我們更加願意
[00:02:42.200 --> 00:02:44.900]  當這個福音能夠傳遍的時候
[00:02:44.900 --> 00:02:48.200]  也都讓這個政權
[00:02:48.200 --> 00:02:52.300]  他都能夠去作出一個改變
[00:02:52.300 --> 00:02:54.800]  所以這個是我們心裏面看到的
[00:02:54.800 --> 00:02:57.300]  因為一樣東西很特別
[00:02:57.300 --> 00:03:00.900]  因為我們的主是掌管天地的主
[00:03:00.900 --> 00:03:04.000]  天上地下所有的權柄都屬於他
