
[00:00:00.000 --> 00:00:02.320]  聖經對於烏西瓦王的記述
[00:00:02.320 --> 00:00:04.320]  總共有兩段經文
[00:00:04.320 --> 00:00:08.800]  一段記載在烈王記下的十五章一到七節
[00:00:08.800 --> 00:00:13.680]  另一段記載在歷代治下的二十六章一到二十三節
[00:00:13.680 --> 00:00:15.440]  兩段聖經的記述
[00:00:15.440 --> 00:00:17.120]  一段比較詳細一點
[00:00:17.120 --> 00:00:19.120]  一段比較簡單一點
[00:00:19.120 --> 00:00:21.440]  烈王記的記述比較簡單
[00:00:21.440 --> 00:00:23.840]  而歷代治的記述比較詳細
[00:00:23.840 --> 00:00:26.800]  在兩段的記述裏面有一個問題出現
[00:00:26.800 --> 00:00:31.440]  就是兩段的經文用了不同的名稱來稱呼這個王
[00:00:31.440 --> 00:00:34.800]  或者這樣說就是王似乎有兩個不同的名字
[00:00:34.800 --> 00:00:38.560]  一個在烈王記那裡就叫做阿薩利瓦
[00:00:38.560 --> 00:00:41.680]  而歷代治那裡就叫做烏西瓦
[00:00:41.680 --> 00:00:44.560]  到底哪個才是真正王的名字呢?
[00:00:44.560 --> 00:00:47.920]  學者的看法就是認為可能兩個都是王的名字
[00:00:47.920 --> 00:00:50.480]  兩個都是王的稱呼
[00:00:50.480 --> 00:00:54.800]  而歷代治下裏面選擇了用阿薩利瓦這個名字
[00:00:54.800 --> 00:00:57.200]  來稱呼王
[00:00:57.200 --> 00:00:59.680]  選擇了用烏西瓦這個名字來稱呼王
[00:00:59.680 --> 00:01:02.320]  很可能因為阿薩利瓦這個名字
[00:01:02.320 --> 00:01:06.000]  和在聖殿裏面左黨王蕭香的祭司
[00:01:06.000 --> 00:01:08.800]  阿薩利瓦的名字是同名的緣故
[00:01:08.800 --> 00:01:12.880]  於是乎歷代治的作者為了避免讀者有誤會
[00:01:12.880 --> 00:01:18.080]  所以歷代治就選擇了用烏西瓦這個名字來稱呼王
[00:01:18.080 --> 00:01:20.560]  烏西瓦王是一個強盛的王
[00:01:20.560 --> 00:01:23.920]  他的身可以用強盛這個詞語來形容
[00:01:23.920 --> 00:01:28.080]  而強盛也是烏西瓦王一生裏面的標記
[00:01:28.080 --> 00:01:30.480]  強盛帶來了驕傲
[00:01:30.480 --> 00:01:33.600]  烏西瓦王見到自己的成就偉大
[00:01:33.600 --> 00:01:37.040]  於是乎就開始狂妄自大
[00:01:37.040 --> 00:01:39.040]  以為作為王的他
[00:01:39.040 --> 00:01:43.120]  沒甚麼理由不可以在神的面前來燒香獻祭
[00:01:43.120 --> 00:01:47.760]  於是乎他越權擅自在耶和華的殿裏面燒香
[00:01:47.760 --> 00:01:49.760]  結果招來了神的刑罰
[00:01:49.760 --> 00:01:51.920]  神降災在他身上
[00:01:51.920 --> 00:01:54.480]  他長大了風至死的日子
[00:01:54.480 --> 00:01:56.480]  依然要來給他隔離
[00:01:56.480 --> 00:02:00.400]  其實驕傲是人性裏面常見的事
[00:02:00.400 --> 00:02:02.800]  很多人因著自己的成就
[00:02:02.800 --> 00:02:04.240]  因著自己的實力
[00:02:04.240 --> 00:02:06.240]  因著自己個人的成績
[00:02:06.240 --> 00:02:07.680]  因著自己的功績
[00:02:07.680 --> 00:02:10.400]  總會覺得自己比別人強
[00:02:10.400 --> 00:02:12.400]  當人有了驕傲的時候
[00:02:12.400 --> 00:02:15.120]  人的眼睛就會忽然間瞎了
[00:02:15.120 --> 00:02:17.600]  只是看見自己強盛的地方
