
[00:00:00.800 --> 00:00:03.240]  各位好,先跟大家拜個年
[00:00:03.240 --> 00:00:06.500]  我也有兩個小孩,所以先謝謝大家
[00:00:06.500 --> 00:00:11.300]  新的一年,不知道大家還在想些什麼
[00:00:11.300 --> 00:00:13.040]  可能還有些新年的氣氛
[00:00:13.040 --> 00:00:16.200]  可能在想新的一年裡面有些什麼計劃等等
[00:00:16.200 --> 00:00:20.500]  所以我也想在這裡有一個新的系列跟大家分享
[00:00:20.500 --> 00:00:22.500]  就是講到教會的
[00:00:22.500 --> 00:00:26.000]  教會,講到教會就好像講一個大家庭那樣
[00:00:26.000 --> 00:00:30.500]  如果你新年的時候想想,有些什麼四字詞語或者揮春
[00:00:30.500 --> 00:00:34.000]  是跟一家人有關的,有沒有?
[00:00:34.000 --> 00:00:36.600]  我想不想?我想不到
[00:00:36.600 --> 00:00:41.400]  有什麼揮春,或者四字詞語,是跟一家人有關的?
[00:00:41.400 --> 00:00:46.200]  啊,合家平安,OK,OK,我想不到
[00:00:46.200 --> 00:00:49.200]  中文開始差了,還有呢?
[00:00:49.200 --> 00:00:52.100]  加肥屋園
[00:00:52.840 --> 00:00:56.140]  嘩,這些真是,大家吃了很多東西
[00:00:56.140 --> 00:00:57.640]  一團和氣,是不是?
[00:00:57.640 --> 00:01:01.140]  是,我也想到一團和氣,真是聰明,跟我一樣
[00:01:01.140 --> 00:01:04.640]  所以我們想起這些話語的時候
[00:01:04.640 --> 00:01:07.640]  就想起教會其實應該是這樣的,是不是?
[00:01:07.640 --> 00:01:09.640]  因為《聖經》裡面怎樣形容教會呢?
[00:01:09.640 --> 00:01:13.140]  《聖經》裡面形容教會是一個極家
[00:01:13.140 --> 00:01:16.340]  譬如《以忽所書》第二章第十九節
[00:01:16.340 --> 00:01:20.840]  它說什麼呢?它說我們信了主的人,在基督裡面的人
[00:01:20.840 --> 00:01:23.840]  就不算是那些所謂外人
[00:01:23.840 --> 00:01:25.340]  不算是客人
[00:01:25.340 --> 00:01:30.840]  因為我們已經有一個所謂天國公民的身份
[00:01:30.840 --> 00:01:32.840]  就是屬於某一個國度
[00:01:32.840 --> 00:01:36.340]  屬於某一個國家,這個國家當然就是上頭而來
[00:01:36.340 --> 00:01:39.340]  天上的國家,神的國
[00:01:39.340 --> 00:01:41.840]  就是跟聖徒來同國的
[00:01:41.840 --> 00:01:44.340]  是神家裡面的人
[00:01:44.340 --> 00:01:46.340]  Family of God
[00:01:46.340 --> 00:01:47.840]  God's Family
[00:01:47.840 --> 00:01:49.840]  我們屬於神家裡面的人
[00:01:49.840 --> 00:01:53.340]  所有本地的教會,甚至整個普世的教會
[00:01:53.340 --> 00:01:55.340]  Capital C,Church
[00:01:55.340 --> 00:01:57.340]  就是一個神家裡面的人
[00:01:57.340 --> 00:01:59.340]  Family of God,對不對?
[00:01:59.340 --> 00:02:03.840]  所以呢,在新約的時代
[00:02:03.840 --> 00:02:07.340]  保羅啊,彼得啊,那段時間
[00:02:07.340 --> 00:02:09.340]  他們所有的教會
[00:02:09.340 --> 00:02:11.340]  都是跟我們當然形式有些不同
[00:02:11.340 --> 00:02:13.840]  本質上一樣,形式有什麼不同呢?
[00:02:13.840 --> 00:02:16.340]  就是他們是一些House Churches
[00:02:16.340 --> 00:02:20.840]  就是某一個大兄姊妹他們的家比較大一點
[00:02:20.840 --> 00:02:22.840]  譬如我們這裡
[00:02:22.840 --> 00:02:25.340]  圍內我們說,哪個家夠大啊?
[00:02:25.340 --> 00:02:28.340]  那我們就去那裡聚會
[00:02:28.340 --> 00:02:30.340]  主日他們就去那裡聚會
[00:02:30.340 --> 00:02:32.340]  這些就叫做House Churches
[00:02:32.340 --> 00:02:37.840]  所以保羅這樣說,我們作為教會
[00:02:37.840 --> 00:02:41.340]  在基督裡面的人,我們是一個Family
[00:02:41.340 --> 00:02:44.340]  其實是很有意思的,因為設定已經是一個Family
[00:02:44.340 --> 00:02:47.840]  可能在living room,在大廳
[00:02:47.840 --> 00:02:49.840]  一起坐在一起
[00:02:49.840 --> 00:02:52.840]  就算是一個Family,一個家庭
[00:02:52.840 --> 00:02:55.340]  所以呢,我們在這裡可以去想一想
[00:02:55.340 --> 00:03:00.340]  新的一年,想一想一個比較健康的教會應該是怎樣的呢?
[00:03:00.340 --> 00:03:01.340]  有沒有想過?
[00:03:01.340 --> 00:03:07.340]  新的一年應該有一些新的目標是跟健康有關的,是不是?
[00:03:07.340 --> 00:03:10.340]  有誰是想減肥的?
[00:03:10.340 --> 00:03:12.340]  不用舉手啊
[00:03:12.340 --> 00:03:14.340]  有人舉手很勇敢啊
[00:03:14.340 --> 00:03:16.340]  不過後面很多啊,後面那裡
[00:03:16.340 --> 00:03:19.340]  工作人員那裡常常坐在那裡
[00:03:19.340 --> 00:03:22.340]  要減肥,是不是?
