
[00:00:00.000 --> 00:00:02.720]  今天和大家分享的題目是
[00:00:02.720 --> 00:00:04.560]  「O嘴」的功課
[00:00:04.560 --> 00:00:05.960]  「O嘴」
[00:00:05.960 --> 00:00:08.160]  知不知道什麼是「O嘴」
[00:00:08.160 --> 00:00:09.920]  即是「O住嘴」
[00:00:09.920 --> 00:00:14.600]  這是一個上網網絡用的詞語
[00:00:14.600 --> 00:00:17.000]  是指我們很驚訝
[00:00:17.000 --> 00:00:21.000]  驚訝到嘴巴做出一個像英文字母「O」的
[00:00:21.000 --> 00:00:23.600]  不夠大,我的嘴巴比較小
[00:00:23.600 --> 00:00:27.200]  即是一個圓形「O嘴」的形狀
[00:00:27.200 --> 00:00:31.560]  特別是用來表示突如其來的驚訝
[00:00:31.560 --> 00:00:33.760]  突如其來
[00:00:33.760 --> 00:00:35.600]  在這段經文裡
[00:00:35.600 --> 00:00:38.920]  關於耶穌平靜風浪
[00:00:38.920 --> 00:00:43.520]  我相信在座很多大型節目會聽過或看過很多次
[00:00:43.520 --> 00:00:45.200]  耶穌平靜風浪
[00:00:45.200 --> 00:00:48.920]  在馬太福音、馬可福音、路加福音
[00:00:48.920 --> 00:00:53.800]  都有差不多相同的記載
[00:00:53.800 --> 00:00:55.800]  你知不知道結尾
[00:00:55.800 --> 00:00:59.360]  三卷的福音書都差不多
[00:00:59.360 --> 00:01:02.960]  結尾是什麼呢
[00:01:02.960 --> 00:01:08.360]  結尾就是後面那一節
[00:01:08.360 --> 00:01:09.960]  我們一起讀
[00:01:09.960 --> 00:01:12.000]  眾人唏其說
[00:01:12.000 --> 00:01:13.920]  這是怎樣的人
[00:01:13.920 --> 00:01:18.000]  連風和海也聽從了了
[00:01:18.000 --> 00:01:19.400]  這裡說的門徒
[00:01:19.400 --> 00:01:23.200]  我用現代的用語就是「O曬嘴」
[00:01:23.200 --> 00:01:25.120]  他們對耶穌所做的
[00:01:25.120 --> 00:01:27.520]  都覺得很稀奇、很驚訝
[00:01:27.520 --> 00:01:30.000]  甚至有點害怕
[00:01:30.000 --> 00:01:32.600]  什麼人來的?發生什麼事?
[00:01:32.600 --> 00:01:34.920]  做什麼?這麼厲害?
[00:01:34.920 --> 00:01:40.200]  連風和海也聽從了
[00:01:40.200 --> 00:01:42.000]  三卷的福音書都強調
[00:01:42.000 --> 00:01:43.600]  這群門徒很稀奇
[00:01:43.600 --> 00:01:46.200]  甚至有點懼怕
[00:01:46.200 --> 00:01:49.120]  今天我們從這段經文
[00:01:49.120 --> 00:01:51.600]  求上帝幫助我們
[00:01:51.600 --> 00:01:54.120]  特別對於我們現在面對的環境
[00:01:54.120 --> 00:01:57.400]  有什麼提醒?有什麼鼓勵?
[00:01:57.400 --> 00:01:58.400]  有什麼經歷?
[00:01:58.400 --> 00:02:01.400]  在神裡面帶著我們一起經過
[00:02:01.400 --> 00:02:05.000]  所以我們第一件事要看的
[00:02:05.000 --> 00:02:09.000]  就是這群門徒是經歷很多意外
[00:02:09.000 --> 00:02:12.200]  人生很多意料之外的事情
[00:02:12.200 --> 00:02:14.400]  是會在我們自己身上
[00:02:14.400 --> 00:02:15.800]  在環境上面發生
[00:02:15.800 --> 00:02:21.200]  是我們自己控制不了的
[00:02:21.200 --> 00:02:25.000]  剛才我們說馬太、馬可、盧格
[00:02:25.000 --> 00:02:26.600]  三卷的福音書
[00:02:26.600 --> 00:02:31.600]  都有相同記載耶穌平靜風和浪
[00:02:31.600 --> 00:02:32.400]  但是你知不知道
[00:02:32.400 --> 00:02:35.200]  當我們再細心去看的時候
[00:02:35.200 --> 00:02:36.000]  馬太福音
[00:02:36.000 --> 00:02:38.000]  我們今天讀這個馬太福音
[00:02:38.000 --> 00:02:41.400]  其中有兩個地方
[00:02:41.400 --> 00:02:45.000]  是馬可福音和盧格福音
[00:02:45.000 --> 00:02:48.400]  記載有一點點不同
[00:02:48.400 --> 00:02:49.800]  是什麼不同呢?
[00:02:49.800 --> 00:02:52.800]  第一點就是這裡,23節
[00:02:52.800 --> 00:02:55.400]  耶穌上了船
[00:02:55.400 --> 00:03:00.800]  門徒跟著他
[00:03:00.800 --> 00:03:02.800]  耶穌上了船之後
[00:03:02.800 --> 00:03:07.600]  這群門徒是跟著耶穌
[00:03:07.600 --> 00:03:09.800]  這裡很清楚很短
[00:03:09.800 --> 00:03:11.800]  但是記載著這個動作
[00:03:11.800 --> 00:03:16.400]  是這群門徒跟著耶穌去的
[00:03:16.400 --> 00:03:18.000]  如果我們又看看聖經
[00:03:18.000 --> 00:03:20.200]  特別在馬太福音第八章之前
[00:03:20.200 --> 00:03:22.800]  說到耶穌行了很多神蹟
[00:03:22.800 --> 00:03:24.600]  醫治了很多不同的人
[00:03:24.600 --> 00:03:27.400]  有大麻瘋、百夫長的僕人
[00:03:27.400 --> 00:03:29.000]  有彼得的外母
[00:03:29.000 --> 00:03:30.400]  還有很多很多不同的人
[00:03:30.400 --> 00:03:32.000]  耶穌都醫治他們
[00:03:32.000 --> 00:03:36.800]  甚至還有趕鬼的神蹟
[00:03:36.800 --> 00:03:39.200]  耶穌真的很厲害
[00:03:39.200 --> 00:03:42.800]  而在馬太福音八章十八至二十二節
[00:03:42.800 --> 00:03:46.400]  也提到耶穌告訴這群門徒
[00:03:46.400 --> 00:03:53.000]  其實跟從耶穌是有代價要付的
[00:03:53.000 --> 00:03:54.200]  狐狸有洞
[00:03:54.200 --> 00:03:56.400]  天空的飛鳥有窩
[00:03:56.400 --> 00:04:00.400]  但是人質連枕頭的地方都沒有
[00:04:00.400 --> 00:04:02.600]  任憑死人埋葬死人
[00:04:02.600 --> 00:04:06.800]  你只管跟從耶穌
[00:04:06.800 --> 00:04:09.400]  在23節這裡提到耶穌上了船
[00:04:09.400 --> 00:04:11.600]  這群門徒跟著他
[00:04:11.600 --> 00:04:14.600]  follow Jesus
[00:04:14.600 --> 00:04:18.200]  這群門徒如果我們看福音書之前
[00:04:18.200 --> 00:04:21.000]  他們都聽到
[00:04:21.000 --> 00:04:23.400]  傳聞有一個人很厲害
[00:04:23.400 --> 00:04:25.000]  很多能力
[00:04:25.000 --> 00:04:26.400]  行了很多神蹟
[00:04:26.400 --> 00:04:29.000]  說的話很特別
[00:04:29.000 --> 00:04:31.800]  甚至耶穌走到他們身邊
[00:04:31.800 --> 00:04:36.400]  呼召他們跟從他
[00:04:36.400 --> 00:04:38.800]  所以特別上了船
[00:04:38.800 --> 00:04:42.400]  這幾個門徒已經上了耶穌的船
[00:04:42.400 --> 00:04:44.800]  不是拆船 是耶穌的船
[00:04:44.800 --> 00:04:46.600]  得救的船
[00:04:46.600 --> 00:04:49.400]  他們已經跟著耶穌走
[00:04:49.400 --> 00:04:50.800]  當然我們想想
[00:04:50.800 --> 00:04:54.000]  他們當初跟從耶穌的時候
[00:04:54.000 --> 00:04:56.800]  都沒有想太多
[00:04:56.800 --> 00:04:58.200]  我們也是
[00:04:58.200 --> 00:05:02.000]  有時我們覺得信耶穌好不好
[00:05:02.000 --> 00:05:03.200]  不好
[00:05:03.200 --> 00:05:04.600]  好
[00:05:04.600 --> 00:05:05.800]  信耶穌好
[00:05:05.800 --> 00:05:07.000]  跟著耶穌走
[00:05:07.000 --> 00:05:10.400]  前面的路一定好的
[00:05:10.400 --> 00:05:14.800]  但一定好的時候不等於風平浪靜
[00:05:14.800 --> 00:05:17.800]  人生總是難免會遇到很多不同的風浪
[00:05:17.800 --> 00:05:20.000]  是我們估計不到的
[00:05:20.000 --> 00:05:23.400]  在二十四 二十五節
[00:05:23.400 --> 00:05:24.400]  我們一起再讀
[00:05:24.400 --> 00:05:26.200]  預備 一二三
[00:05:41.000 --> 00:05:43.000]  門徒上了船
[00:05:43.000 --> 00:05:46.800]  但是突然間起了暴風
[00:05:46.800 --> 00:05:49.400]  一個很平靜的海面
[00:05:49.400 --> 00:05:50.800]  原本很平靜
[00:05:50.800 --> 00:05:56.800]  突然之間翻起巨浪
[00:05:56.800 --> 00:05:58.800]  你們有沒有經歷過呢
[00:05:58.800 --> 00:05:59.800]  你們沒有預計到
[00:05:59.800 --> 00:06:02.200]  這麼危險的
[00:06:02.200 --> 00:06:04.400]  突然間這班門徒坐船出去
[00:06:04.400 --> 00:06:07.000]  就起了暴風浪
[00:06:07.000 --> 00:06:10.600]  是這班門徒想像不到 想不到
[00:06:10.600 --> 00:06:13.200]  甚至那些浪大到船頂不住
[00:06:13.200 --> 00:06:15.800]  不斷蓋過來
[00:06:15.800 --> 00:06:19.200]  那些浪蓋過去 水浸了
[00:06:19.200 --> 00:06:22.000]  這是一個緊急 危急的關頭
