
[00:00:00.000 --> 00:00:02.620]  今天跟大家講一個新的講道系列
[00:00:02.620 --> 00:00:04.580]  是很短的,只有兩堂
[00:00:04.580 --> 00:00:07.080]  今天是講活出你的信心
[00:00:07.080 --> 00:00:10.080]  下個禮拜是講如何深化你的信心
[00:00:10.080 --> 00:00:13.020]  簡單來講就是如何活出你的信仰
[00:00:13.020 --> 00:00:15.360]  《聖經》裏面很熟悉的
[00:00:15.360 --> 00:00:17.840]  人非有信
[00:00:17.840 --> 00:00:20.360]  就不能得神的喜悅
[00:00:20.360 --> 00:00:22.340]  我們聽過的,是吧?
[00:00:22.340 --> 00:00:23.580]  不過事實上
[00:00:23.580 --> 00:00:25.520]  人非有信
[00:00:25.520 --> 00:00:28.400]  根本就不能夠過你每天的生活
[00:00:28.400 --> 00:00:31.780]  如果我沒信心的話,我相信我很難會踏上這個臺
[00:00:31.780 --> 00:00:35.140]  因爲時不時我們聽到,哇,那些公衆臺都會倒塌的
[00:00:35.140 --> 00:00:36.140]  是不是?
[00:00:36.140 --> 00:00:39.700]  會不會上來的時候,忽然間踩下去的時候,穿了個洞,跌了下去呢?
[00:00:39.700 --> 00:00:41.640]  如果你沒信心的話,你不會上來的
[00:00:41.640 --> 00:00:44.660]  沒信心的話,你不會來到教會里面聚會
[00:00:44.660 --> 00:00:46.040]  因爲很多人怕開車
[00:00:46.040 --> 00:00:49.620]  因爲呢,原來在美國公路上有很多意外的
[00:00:49.620 --> 00:00:51.320]  很多人開車亂來的
[00:00:51.320 --> 00:00:53.560]  有時候可能我們自己開車亂來也不一定
[00:00:53.560 --> 00:00:54.220]  OK?
[00:00:54.220 --> 00:00:56.660]  那我們避免了受意外,最好在家裏面
[00:00:56.660 --> 00:01:00.160]  因爲我們沒信心,害邪,沒信心走美國的公路
[00:01:00.160 --> 00:01:02.540]  如果是這樣的時候,甚至我們連喫東西都有問題
[00:01:02.540 --> 00:01:05.000]  因爲我們不知道餐廳做的這些東西是我們喫的
[00:01:05.000 --> 00:01:06.100]  用什麼材料呢?
[00:01:06.100 --> 00:01:10.580]  說不定是有機的,不過大堆那些MSG放在裏面
[00:01:10.580 --> 00:01:12.020]  或者不乾淨呢?
[00:01:12.020 --> 00:01:12.920]  你永遠不知道
[00:01:12.920 --> 00:01:14.540]  你不會去廚房看着的
[00:01:14.540 --> 00:01:18.040]  你沒信心的時候,你連出門喫東西你都不敢
[00:01:18.040 --> 00:01:20.080]  所以原來呢
[00:01:20.080 --> 00:01:21.680]  我們每個人呢
[00:01:21.680 --> 00:01:25.060]  都需要有若干程度的信心
[00:01:25.060 --> 00:01:27.760]  然後呢,我們纔可以在世上生活
[00:01:27.760 --> 00:01:28.760]  如果不是的話
[00:01:28.760 --> 00:01:30.260]  你對什麼都沒信心
[00:01:30.260 --> 00:01:33.300]  那我們就會將自己關閉起來
[00:01:33.300 --> 00:01:35.300]  我們什麼都會做不了
[00:01:35.300 --> 00:01:37.980]  而事實上,在教會里面來說
[00:01:37.980 --> 00:01:39.640]  除了講愛之外呢
[00:01:39.640 --> 00:01:41.140]  就是講信心的
[00:01:41.140 --> 00:01:43.840]  保羅曾經這樣提醒我們
[00:01:43.840 --> 00:01:46.340]  他說:你們要考驗自己
[00:01:46.340 --> 00:01:48.060]  要審查自己
[00:01:48.060 --> 00:01:52.180]  看看你們是不是過着信心的生活
[00:01:52.920 --> 00:01:58.120]  我剛纔講過,每一個人多多少少都要有信心纔可以過生活的
[00:01:58.120 --> 00:02:01.240]  不過聖經裏面所講的這個信心的生活呢
[00:02:01.240 --> 00:02:03.940]  和我剛纔所講的那些是有點不同的
[00:02:03.940 --> 00:02:05.700]  其實有很大的不同
[00:02:05.700 --> 00:02:07.900]  事實上,這裏所講到的就是
[00:02:07.900 --> 00:02:10.840]  我們怎麼能夠憑着對神的信心
[00:02:10.840 --> 00:02:14.340]  去活出我們一個信仰的人生
[00:02:14.340 --> 00:02:16.580]  怎麼將我們的信仰活化
[00:02:16.580 --> 00:02:17.700]  將我們的信仰呢
[00:02:17.700 --> 00:02:21.280]  憑着信心可以去展露出來
[00:02:21.280 --> 00:02:24.300]  那麼保羅就告訴我們
[00:02:24.300 --> 00:02:25.580]  其實有幾方面呢
[00:02:25.580 --> 00:02:28.860]  我們可以學習怎麼去展露我們的信心
[00:02:28.860 --> 00:02:31.360]  第一樣東西,我相信我們需要學的
[00:02:31.360 --> 00:02:32.440]  似乎很簡單
[00:02:32.440 --> 00:02:33.480]  似乎大家都知道
[00:02:33.480 --> 00:02:34.620]  似乎大家都明白
[00:02:34.620 --> 00:02:37.000]  但我發覺很多人有困難
[00:02:37.000 --> 00:02:38.140]  就是什麼呢
[00:02:38.140 --> 00:02:44.120]  就是怕讓別人知道我們是基督徒
[00:02:44.120 --> 00:02:45.280]  展露我們的信仰
