
[00:00:00.000 --> 00:00:03.240]  「玉子豆腐大家就食得多啦」
[00:00:03.240 --> 00:00:07.580]  有沒有聽過「玉子團契」?
[00:00:07.580 --> 00:00:09.980]  這是一本書的書名
[00:00:09.980 --> 00:00:16.120]  英文名是《Everybody's Normal, Till You Get to Know Them》
[00:00:16.120 --> 00:00:18.000]  單是看英文書的書名
[00:00:18.000 --> 00:00:20.280]  你可能已經會心的微笑
[00:00:20.280 --> 00:00:24.000]  是John Albert牧師的其中一本書
[00:00:24.000 --> 00:00:28.000]  就是講為什麼要有團契的生活
[00:00:28.000 --> 00:00:33.000]  怎麼樣經營美好的團契生活
[00:00:33.000 --> 00:00:37.000]  作者用「箭豬」來形容我們每一個人
[00:00:37.000 --> 00:00:40.000]  全身大約有三萬多根刺
[00:00:40.000 --> 00:00:44.000]  這些刺都是用來保護他們自己
[00:00:44.000 --> 00:00:47.000]  當敵人想要吃他們、侵襲他們
[00:00:47.000 --> 00:00:50.000]  他們就會豎起全身的刺
[00:00:50.000 --> 00:00:52.000]  當遇上襲擊的時候
[00:00:52.000 --> 00:00:55.000]  這些尖銳又含有刀刺的刺
[00:00:55.000 --> 00:01:00.000]  就會扎入敵人的身體裏面
[00:01:00.000 --> 00:01:06.000]  刺對「箭豬」來說是好事也是壞事
[00:01:06.000 --> 00:01:07.000]  保護了自己
[00:01:07.000 --> 00:01:11.000]  但是卻讓自己很難去過群體的生活
[00:01:11.000 --> 00:01:16.000]  以至於他們很多時都是獨來獨往
[00:01:16.000 --> 00:01:18.000]  而我們每個人
[00:01:18.000 --> 00:01:22.000]  我們自己的問題、身上的罪惡
[00:01:22.000 --> 00:01:26.000]  就好像「箭豬」身上的刺一樣那麼多
[00:01:26.000 --> 00:01:29.000]  一樣會傷害到其他人
[00:01:29.000 --> 00:01:36.000]  就好像拒絕、排斥、論斷、自大、自私
[00:01:36.000 --> 00:01:41.000]  疾到、輕蔑、控制欲強等等
[00:01:41.000 --> 00:01:44.000]  都是我們的刺
[00:01:44.000 --> 00:01:47.000]  平時或者可以扮一下、掩飾一下
[00:01:47.000 --> 00:01:51.000]  裝作若無其事、隱藏得很好
[00:01:51.000 --> 00:01:54.000]  但是越親近的人
[00:01:54.000 --> 00:01:58.000]  很難看不到這些刺
[00:01:58.000 --> 00:02:04.000]  也很難不被這些刺所刺傷
[00:02:04.000 --> 00:02:09.000]  Everybody is normal till you get to know them
[00:02:09.000 --> 00:02:12.000]  儘管有刺會受傷害
[00:02:12.000 --> 00:02:15.000]  但是在我們的內心深處
[00:02:15.000 --> 00:02:19.000]  仍然想是靠近彼此
[00:02:19.000 --> 00:02:23.000]  因為上帝創天造地、創造萬物的時候
[00:02:23.000 --> 00:02:26.000]  我們受造就是群體化的設計
[00:02:26.000 --> 00:02:29.000]  而不是獨處
[00:02:29.000 --> 00:02:31.000]  就像在《創世紀》二章記載
[00:02:31.000 --> 00:02:34.000]  創世過程中神造萬物都是好的
[00:02:34.000 --> 00:02:41.000]  唯獨耶和華神認為亞當獨居不好
[00:02:41.000 --> 00:02:43.000]  耶和華神說那人獨居不好
[00:02:43.000 --> 00:02:48.000]  我要為他做一個配偶幫助他
[00:02:48.000 --> 00:02:51.000]  《玉子團契》這一本書
[00:02:51.000 --> 00:02:56.000]  就是要嘗試帶領著讀者去解決這個問題
[00:02:56.000 --> 00:03:00.000]  好像你和我這些不完全的人
[00:03:00.000 --> 00:03:03.000]  這麼有刺的人
[00:03:03.000 --> 00:03:07.000]  怎樣跟其他不完美、同樣有刺的人
[00:03:07.000 --> 00:03:11.000]  追求社群的生活呢?
[00:03:11.000 --> 00:03:18.000]  至於書名為什麼叫做《玉子團契》?
[00:03:18.000 --> 00:03:24.000]  你說 聖經裡面最精彩、最美好的團契的例子在哪裡?
[00:03:24.000 --> 00:03:28.000]  大家覺得記載在哪裡?
[00:03:28.000 --> 00:03:31.000]  作者就數在福音書裡面
[00:03:31.000 --> 00:03:34.000]  那個毯子被四個好朋友
[00:03:34.000 --> 00:03:39.000]  帶到去耶穌面前去求醫治的故事
[00:03:39.000 --> 00:03:42.000]  作為第一
[00:03:42.000 --> 00:03:44.000]  現代的毯子
[00:03:44.000 --> 00:03:46.000]  尤其是在溫哥華
[00:03:46.000 --> 00:03:48.000]  如果身體不能夠活動的
[00:03:48.000 --> 00:03:50.000]  有extended care
[00:03:50.000 --> 00:03:53.000]  而在古代的毯子
[00:03:53.000 --> 00:03:56.000]  比現代社會的處境更加的惡劣
[00:03:56.000 --> 00:04:00.000]  通常是任憑生死
[00:04:00.000 --> 00:04:03.000]  但是這個毯子他非常之感恩
[00:04:03.000 --> 00:04:05.000]  他有團契生活
[00:04:05.000 --> 00:04:08.000]  有四個出生入死的朋友
[00:04:08.000 --> 00:04:11.000]  他們面對多重強大的障礙
[00:04:11.000 --> 00:04:16.000]  包括社會的鄙視、運送的困難、種種的不便
[00:04:16.000 --> 00:04:20.000]  甚至把屋頂都拆了
[00:04:20.000 --> 00:04:26.000]  把毯子、連他躺臥的那張玉子都摘下去
[00:04:26.000 --> 00:04:29.000]  向耶穌求醫治
[00:04:29.000 --> 00:04:32.000]  在《馬赫福音》二章1到5節
[00:04:32.000 --> 00:04:35.000]  過了些日子 耶穌又進了加伯隆
[00:04:35.000 --> 00:04:39.000]  人聽見他在房子裡 就有許多人聚集
[00:04:39.000 --> 00:04:42.000]  甚至連門前都沒有空地
[00:04:42.000 --> 00:04:44.000]  耶穌就對他們說道
[00:04:44.000 --> 00:04:47.000]  有人帶著一個毯子來見耶穌
[00:04:47.000 --> 00:04:49.000]  是用四個人抬來的
[00:04:49.000 --> 00:04:52.000]  因為人多 不得更前
[00:04:52.000 --> 00:04:55.000]  就把耶穌所在的房子拆了房頂
[00:04:55.000 --> 00:05:02.000]  既拆通了 就把毯子、連所躺臥的玉子都摘下去了
[00:05:02.000 --> 00:05:06.000]  耶穌見他們的信心 就對毯子說
[00:05:06.000 --> 00:05:12.000]  小子 你的罪赦了
[00:05:12.000 --> 00:05:15.000]  這種禁心口關係的友誼
[00:05:15.000 --> 00:05:20.000]  實在令到現代人十分之驚奇
[00:05:20.000 --> 00:05:23.000]  因為現代人步伐急促
[00:05:23.000 --> 00:05:27.000]  凡事促成微波的處理
[00:05:27.000 --> 00:05:30.000]  無論是夫妻關係、親子關係
[00:05:30.000 --> 00:05:36.000]  或者其他各種人際關係來去衝亡
[00:05:36.000 --> 00:05:44.000]  通訊時間快了 但卻沒有深度
[00:05:44.000 --> 00:05:46.000]  過時過節 一個祝福
[00:05:46.000 --> 00:05:49.000]  在手機裡按一個按鈕就可以
[00:05:49.000 --> 00:05:54.000]  但是你發給誰 你自己都未必知道
[00:05:54.000 --> 00:05:59.000]  要達到玉子團契深刻的相交
[00:05:59.000 --> 00:06:02.000]  並不容易見得到
[00:06:02.000 --> 00:06:07.000]  玉子團契這本需要慢慢細讀
[00:06:07.000 --> 00:06:09.000]  慢慢默想的書
[00:06:09.000 --> 00:06:14.000]  就是寫給想要建立玉子關係的箭豬
[00:06:14.000 --> 00:06:16.000]  好像我們一樣
[00:06:16.000 --> 00:06:18.000]  作者點出我們的迷惑
[00:06:18.000 --> 00:06:22.000]  盼望扭轉個人的心態
[00:06:22.000 --> 00:06:27.000]  幫助天生會彼此傷害的我們
[00:06:27.000 --> 00:06:31.000]  仍然會有方向朝向建立玉子團契
[00:06:31.000 --> 00:06:37.000]  一樣美好的團契生活去努力
[00:06:37.000 --> 00:06:43.000]  約翰一書的大主題是愛
[00:06:43.000 --> 00:06:46.000]  當中提到父神的慈愛
[00:06:46.000 --> 00:06:48.000]  主寫命的愛
