
[00:00:00.000 --> 00:00:03.640]  各位弟兄姊妹 各位朋友 聖誕快樂
[00:00:03.640 --> 00:00:05.600]  還有十天就是聖誕節了
[00:00:05.600 --> 00:00:10.400]  大家回到教會都看到佈置了這個聖誕的裝飾
[00:00:10.400 --> 00:00:13.680]  有人說聖誕節是一個愛的季節
[00:00:13.680 --> 00:00:17.200]  應該大家都略略感受一下
[00:00:17.200 --> 00:00:21.000]  聖誕節給人的感覺都很浪漫
[00:00:21.000 --> 00:00:23.920]  今天就好像很配合我說的題目
[00:00:23.920 --> 00:00:27.440]  神的愛永在 說到愛
[00:00:27.440 --> 00:00:31.440]  有人說人在離開世界之前所想到的
[00:00:31.440 --> 00:00:35.600]  不是自己有多少成就 有多少功績
[00:00:35.600 --> 00:00:40.520]  或者有多少財富 多少學問或者學位
[00:00:40.520 --> 00:00:44.480]  想到的只是自己愛過哪一個
[00:00:44.480 --> 00:00:47.920]  或者哪一個愛過自己
[00:00:47.920 --> 00:00:50.760]  對於這個理論我不能夠考證
[00:00:50.760 --> 00:00:53.080]  因為我沒有這個經驗
[00:00:53.080 --> 00:00:59.040]  可能有些人經常有機會去送別一些離開世界的人
[00:00:59.040 --> 00:01:02.760]  或者可以證明一下
[00:01:02.760 --> 00:01:06.400]  不過我覺得這樣的說話也有些道理
[00:01:06.400 --> 00:01:10.000]  因為人生在世 什麼是最重要的呢?
[00:01:10.000 --> 00:01:15.680]  除了財富 名譽 地位這些所謂的身外物之外
[00:01:15.680 --> 00:01:19.600]  很多人都認為健康是最重要的
[00:01:19.600 --> 00:01:21.520]  健康最重要
[00:01:21.520 --> 00:01:28.440]  但是與健康相比 其實愛可能更加重要
[00:01:28.440 --> 00:01:32.720]  人有了一切 包括健康
[00:01:32.720 --> 00:01:34.920]  但是如果沒有愛的話
[00:01:34.920 --> 00:01:38.920]  或者感受不到愛的話 有什麼益處呢?
[00:01:38.920 --> 00:01:44.800]  沒有愛的人生還有什麼意義呢?
[00:01:44.800 --> 00:01:47.720]  此時此刻 請問大家
[00:01:47.720 --> 00:01:51.240]  你想到誰最愛你呢?
[00:01:51.240 --> 00:01:53.080]  你也不用告訴我
[00:01:53.080 --> 00:01:58.040]  我只是想你感覺一下那種愛的感受
[00:01:58.040 --> 00:02:02.560]  今天講到的題目是「神的愛永在」
[00:02:02.560 --> 00:02:05.600]  講到神的愛的時候
[00:02:05.600 --> 00:02:07.280]  我們就問
[00:02:07.280 --> 00:02:09.520]  「神愛我」有什麼證據呢?
[00:02:09.520 --> 00:02:13.640]  有什麼證明神是愛人呢?
[00:02:13.640 --> 00:02:16.240]  很明顯 剛才主席和我們讀經
[00:02:16.240 --> 00:02:19.960]  讀了《二賽亞書》第54章第10節
[00:02:19.960 --> 00:02:24.600]  「大山可以挪開 小山可以遷移
[00:02:24.600 --> 00:02:27.080]  但我的慈愛必不離開你
[00:02:27.080 --> 00:02:29.200]  我平安的約也不遷移
[00:02:29.200 --> 00:02:33.520]  這是連率你的 耶和華說的」
[00:02:33.520 --> 00:02:35.640]  所以神愛的證據
[00:02:35.640 --> 00:02:38.120]  第一方面很重要的就是
[00:02:38.120 --> 00:02:41.840]  神自己說 是神自己的話語
[00:02:41.840 --> 00:02:45.320]  神告訴你 祂很愛你
[00:02:45.320 --> 00:02:49.160]  這就是聖經 神的話語的證據
[00:02:49.160 --> 00:02:51.160]  《二賽亞書》第54章第10節
[00:02:51.160 --> 00:02:54.480]  講到「大山可以挪開 小山可以遷移」
[00:02:54.480 --> 00:02:56.720]  講到山
[00:02:56.720 --> 00:02:59.000]  山是很穩固的
[00:02:59.000 --> 00:03:02.080]  哈巴谷書第3章第6節講到
[00:03:02.080 --> 00:03:04.720]  「永久的山 長存的嶺」
[00:03:04.720 --> 00:03:07.680]  你知道山嶺是很永久的
[00:03:07.680 --> 00:03:10.200]  不會那麼容易動搖
[00:03:10.200 --> 00:03:12.680]  中國人又說要有靠山
[00:03:12.680 --> 00:03:15.840]  或者形容一個公司
[00:03:15.840 --> 00:03:19.400]  或者一個企業找余泰山
[00:03:19.400 --> 00:03:21.920]  山是不容易被搖動
[00:03:21.920 --> 00:03:24.720]  但有時山也會被搖動
[00:03:24.720 --> 00:03:27.160]  地震的時候山會搖動
